window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,15,1.126820189534606,0.0024708476965742943,1.0,18.029123032553695,0,0.05,0.0,0.0009996237068752634,1.126820189534606,0.0024708476965742943,0.05,0.0
1,1,16,1.1396318050783873,5.8880371580661e-06,1.0,18.234108881254198,0,0.05,0.0,2.9898919503024147e-05,1.1396318050783873,5.8880371580661e-06,0.05,0.0
2,2,17,1.1402172911778419,2.715290513242351e-06,1.0,18.24347665884547,0,0.05,0.0,8.942818995778812e-07,1.1402172911778419,2.715290513242351e-06,0.05,0.0
3,3,18,1.1401591541553613,2.7479828343856558e-06,1.0,18.24254646648578,0,0.05,0.0,2.6748127664351363e-08,1.1401591541553613,2.7479828343856558e-06,0.05,0.0
4,4,19,1.1400950561867411,3.00783813487876e-06,1.0,18.241520898987858,0,0.05,0.0,8.000411650874173e-10,1.1400950561867411,3.00783813487876e-06,0.05,0.0
5,5,20,1.140066770321259,3.077298258934009e-06,1.0,18.241068325140144,0,0.05,0.0,2.3929370117359293e-11,1.140066770321259,3.077298258934009e-06,0.05,0.0
6,6,21,1.1398479373005628,2.5252530830928348e-06,1.0,18.237566996809004,0,0.05,0.0,7.157305997873564e-13,1.1398479373005628,2.5252530830928348e-06,0.05,0.0
7,7,22,1.1399821635909466,2.916273919012873e-06,1.0,18.239714617455146,0,0.05,0.0,2.1406661165901398e-14,1.1399821635909466,2.916273919012873e-06,0.05,0.0
8,8,23,1.1398062442575592,2.285219437514119e-06,1.0,18.236899908120947,0,0.05,0.0,6.394190732450511e-16,1.1398062442575592,2.285219437514119e-06,0.05,0.0
9,9,24,1.1397333364766462,2.059740070331916e-06,1.0,18.23573338362634,0,0.05,0.0,1.8388068845354155e-17,1.1397333364766462,2.059740070331916e-06,0.05,0.0
10,10,25,1.1396229454014604,2.0778677318330887e-06,1.0,18.233967126423366,0,0.05,0.0,0.0,1.1396229454014604,2.0778677318330887e-06,0.05,0.0
11,11,26,1.1396648758655616,1.999751948351998e-06,1.0,18.234638013848986,0,0.05,0.0,0.0,1.1396648758655616,1.999751948351998e-06,0.05,0.0
12,12,27,1.1397247242167428,2.0778085969860015e-06,1.0,18.235595587467884,0,0.05,0.0,0.0,1.1397247242167428,2.0778085969860015e-06,0.05,0.0
13,13,28,1.1399023700065205,1.9232955404222783e-06,1.0,18.238437920104328,0,0.05,0.0,0.0,1.1399023700065205,1.9232955404222783e-06,0.05,0.0
14,14,29,1.1400525624130748,1.965574997751511e-06,1.0,18.240840998609197,0,0.05,0.0,0.0,1.1400525624130748,1.965574997751511e-06,0.05,0.0
15,15,30,1.1401463098609343,1.7463058188211112e-06,1.0,18.24234095777495,0,0.05,0.0,0.0,1.1401463098609343,1.7463058188211112e-06,0.05,0.0
16,16,31,1.1399256962030202,1.6785597348193934e-06,1.0,18.238811139248323,0,0.05,0.0,0.0,1.1399256962030202,1.6785597348193934e-06,0.05,0.0
17,17,32,1.1401747473911916,2.406247912392972e-06,1.0,18.242795958259066,0,0.05,0.0,0.0,1.1401747473911916,2.406247912392972e-06,0.05,0.0
18,18,33,1.1400162565983554,2.236500867209213e-06,1.0,18.240260105573686,0,0.05,0.0,0.0,1.1400162565983554,2.236500867209213e-06,0.05,0.0
19,19,34,1.1400653355110735,2.216260293852515e-06,1.0,18.241045368177176,0,0.05,0.0,0.0,1.1400653355110735,2.216260293852515e-06,0.05,0.0
20,20,35,1.1403062699580344,1.8929154738616464e-06,1.0,18.24490031932855,0,0.05,0.0,0.0,1.1403062699580344,1.8929154738616464e-06,0.05,0.0
21,21,36,1.140512778436248,1.8389531754793365e-06,1.0,18.24820445497997,0,0.05,0.0,0.0,1.140512778436248,1.8389531754793365e-06,0.05,0.0
22,22,37,1.140886048260933,3.1489613418501095e-06,1.0,18.25417677217493,0,0.05,0.0,0.0,1.140886048260933,3.1489613418501095e-06,0.05,0.0
23,23,38,1.140658286586783,3.216755443863605e-06,1.0,18.250532585388527,0,0.05,0.0,0.0,1.140658286586783,3.216755443863605e-06,0.05,0.0
24,24,39,1.1406621602116138,3.2140532444876107e-06,1.0,18.25059456338582,0,0.05,0.0,0.0,1.1406621602116138,3.2140532444876107e-06,0.05,0.0
25,25,40,1.1406695222034218,3.215907222506945e-06,1.0,18.25071235525475,0,0.05,0.0,0.0,1.1406695222034218,3.215907222506945e-06,0.05,0.0
26,26,41,1.1406457494533753,3.3174126833405747e-06,1.0,18.250331991254004,0,0.05,0.0,0.0,1.1406457494533753,3.3174126833405747e-06,0.05,0.0
27,27,42,1.140596459439483,3.5113750204962986e-06,1.0,18.24954335103173,0,0.05,0.0,0.0,1.140596459439483,3.5113750204962986e-06,0.05,0.0
28,28,43,1.140573431298359,3.508771152778086e-06,1.0,18.249174900773745,0,0.05,0.0,0.0,1.140573431298359,3.508771152778086e-06,0.05,0.0
