evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
1,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
2,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
3,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
4,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
5,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
6,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
7,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1332902027764515,1.0732902027764515,1.1287647751396725,1.0687647751396725,False,no_candidate_improvement,-0.06000000000000005,0.13,False
8,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134975173678749,1.074975173678749,1.1347886685184951,1.074788668518495,False,no_candidate_improvement,-0.06000000000000005,0.13,False
9,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1349879608109585,1.0749879608109585,1.134823287697702,1.074823287697702,False,no_candidate_improvement,-0.06000000000000005,0.13,False
10,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1349136835244804,1.0749136835244804,1.1347354992370648,1.0747354992370648,False,no_candidate_improvement,-0.06000000000000005,0.13,False
11,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348519174440277,1.0748519174440276,1.1346839908037252,1.0746839908037251,False,no_candidate_improvement,-0.06000000000000005,0.13,False
12,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348056491985163,1.0748056491985163,1.1346616315912696,1.0746616315912696,False,no_candidate_improvement,-0.06000000000000005,0.13,False
13,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347851280092418,1.0747851280092418,1.1346711230373194,1.0746711230373194,False,no_candidate_improvement,-0.06000000000000005,0.13,False
14,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134810720140258,1.074810720140258,1.1346665992521305,1.0746665992521305,False,no_candidate_improvement,-0.06000000000000005,0.13,False
15,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134831267673209,1.074831267673209,1.134655917311995,1.074655917311995,False,no_candidate_improvement,-0.06000000000000005,0.13,False
