evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
1,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
2,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
3,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
4,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
5,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
6,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
7,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1332341585793415,1.0732341585793415,1.128870281497724,1.068870281497724,False,no_candidate_improvement,-0.06000000000000005,0.13,False
8,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348316638270848,1.0748316638270847,1.1346001927488054,1.0746001927488054,False,no_candidate_improvement,-0.06000000000000005,0.13,False
9,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347509684768808,1.0747509684768808,1.1344606247957654,1.0744606247957653,False,no_candidate_improvement,-0.06000000000000005,0.13,False
10,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1346781309040628,1.0746781309040627,1.1344179793151759,1.0744179793151758,False,no_candidate_improvement,-0.06000000000000005,0.13,False
11,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134608304793037,1.074608304793037,1.1343661736044126,1.0743661736044126,False,no_candidate_improvement,-0.06000000000000005,0.13,False
12,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1345607171659187,1.0745607171659186,1.1343662836897745,1.0743662836897745,False,no_candidate_improvement,-0.06000000000000005,0.13,False
13,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134541633586564,1.0745416335865638,1.13438370317682,1.07438370317682,False,no_candidate_improvement,-0.06000000000000005,0.13,False
14,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1345643021568474,1.0745643021568474,1.1343734781678059,1.0743734781678058,False,no_candidate_improvement,-0.06000000000000005,0.13,False
15,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.13460548671921,1.0746054867192099,1.134404313410033,1.074404313410033,False,no_candidate_improvement,-0.06000000000000005,0.13,False
