episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9368053208891023,True,fixed,40,0.05,0.015264919461288667,True
1,1.135530282580889,True,fixed,40,0.05,0.00045657640475525176,False
2,1.1402203287086654,True,fixed,40,0.05,1.3656279937010463e-05,False
3,1.1402780173748361,True,fixed,40,0.05,4.0846171588115876e-07,False
4,1.1404395938904497,True,fixed,40,0.05,1.2217161196592662e-08,False
5,1.1415557778170897,True,fixed,40,0.05,3.654174213219008e-10,False
6,1.1401069696953323,True,fixed,40,0.05,1.0929701588224816e-11,False
7,1.141540116377139,True,fixed,40,0.05,3.269079451584389e-13,False
8,1.1429235805345654,True,fixed,40,0.05,9.778289289386067e-15,False
9,1.1378366824151371,True,fixed,40,0.05,2.886579864025407e-16,False
10,1.1405226322332473,True,fixed,40,0.05,0.0,False
11,1.1375347012098598,True,fixed,40,0.05,0.0,False
12,1.1392919563049788,True,fixed,40,0.05,0.0,False
13,1.1390350266227083,True,fixed,40,0.05,0.0,False
14,1.140820157467085,True,fixed,40,0.05,0.0,False
15,1.1404889491376289,True,fixed,40,0.05,0.0,False
16,1.140664675808335,True,fixed,40,0.05,0.0,False
17,1.1386665386301913,True,fixed,40,0.05,0.0,False
18,1.1380985616600998,True,fixed,40,0.05,0.0,False
19,1.1403790402109815,True,fixed,40,0.05,0.0,False
20,1.1399733387339075,True,fixed,40,0.05,0.0,False
21,1.1375692743512948,True,fixed,40,0.05,0.0,False
22,1.136174575597801,True,fixed,40,0.05,0.0,False
23,1.1416991253928983,True,fixed,40,0.05,0.0,False
24,1.1397026420550174,True,fixed,40,0.05,0.0,False
25,1.141983234288621,True,fixed,40,0.05,0.0,False
26,1.138785454523234,True,fixed,40,0.05,0.0,False
27,1.1404816314814143,True,fixed,40,0.05,0.0,False
28,1.142475752851745,True,fixed,40,0.05,0.0,False
29,1.1403922786844243,True,fixed,40,0.05,0.0,False
30,1.1392554076648431,True,fixed,40,0.05,0.0,False
31,1.1368663399084262,True,fixed,40,0.05,0.0,False
32,1.1374318098594751,True,fixed,40,0.05,0.0,False
33,1.140195551516801,True,fixed,40,0.05,0.0,False
34,1.1415007001036972,True,fixed,40,0.05,0.0,False
35,1.1407752298714984,True,fixed,40,0.05,0.0,False
36,1.1393178160935453,True,fixed,40,0.05,0.0,False
37,1.1380919556290272,True,fixed,40,0.05,0.0,False
38,1.1390415711033535,True,fixed,40,0.05,0.0,False
39,1.140666433151122,True,fixed,40,0.05,0.0,False
40,1.138277258327845,True,fixed,40,0.05,0.0,False
41,1.140774099445535,True,fixed,40,0.05,0.0,False
42,1.138385582414373,True,fixed,40,0.05,0.0,False
43,1.1402389442814538,True,fixed,40,0.05,0.0,False
44,1.1406971508561605,True,fixed,40,0.05,0.0,False
45,1.1421596980827426,True,fixed,40,0.05,0.0,False
46,1.1405807454352712,True,fixed,40,0.05,0.0,False
47,1.13881149080431,True,fixed,40,0.05,0.0,False
48,1.1386604941599372,True,fixed,40,0.05,0.0,False
49,1.1404760086061212,True,fixed,40,0.05,0.0,False
50,1.1412213639667779,True,fixed,40,0.05,0.0,False
51,1.140705848330109,True,fixed,40,0.05,0.0,False
52,1.138799936355518,True,fixed,40,0.05,0.0,False
53,1.1384606274177016,True,fixed,40,0.05,0.0,False
54,1.140175612227267,True,fixed,40,0.05,0.0,False
55,1.1396156191273572,True,fixed,40,0.05,0.0,False
56,1.1411887140692996,True,fixed,40,0.05,0.0,False
57,1.1358616736482945,True,fixed,40,0.05,0.0,False
58,1.14056520981505,True,fixed,40,0.05,0.0,False
59,1.1413723546336243,True,fixed,40,0.05,0.0,False
60,1.1381274645997534,True,fixed,40,0.05,0.0,False
61,1.1389257384183435,True,fixed,40,0.05,0.0,False
62,1.1409373045067086,True,fixed,40,0.05,0.0,False
63,1.1430072168595484,True,fixed,40,0.05,0.0,False
64,1.1412742388316879,True,fixed,40,0.05,0.0,False
65,1.1395035097441304,True,fixed,40,0.05,0.0,False
66,1.1385244208390357,True,fixed,40,0.05,0.0,False
67,1.1403296186849585,True,fixed,40,0.05,0.0,False
68,1.1416724400737188,True,fixed,40,0.05,0.0,False
69,1.1414810947010294,True,fixed,40,0.05,0.0,False
70,1.142210316478018,True,fixed,40,0.05,0.0,False
71,1.1392495469278188,True,fixed,40,0.05,0.0,False
72,1.1416758958915874,True,fixed,40,0.05,0.0,False
73,1.14102544146148,True,fixed,40,0.05,0.0,False
74,1.1407629951561211,True,fixed,40,0.05,0.0,False
75,1.1412953889174047,True,fixed,40,0.05,0.0,False
76,1.1385645963250621,True,fixed,40,0.05,0.0,False
77,1.1423072486342025,True,fixed,40,0.05,0.0,False
78,1.1427224159958564,True,fixed,40,0.05,0.0,False
79,1.1392113371927333,True,fixed,40,0.05,0.0,False
80,1.1386343610014067,True,fixed,40,0.05,0.0,False
81,1.137364318072859,True,fixed,40,0.05,0.0,False
82,1.1386161992312727,True,fixed,40,0.05,0.0,False
83,1.1425021574500764,True,fixed,40,0.05,0.0,False
84,1.1426796741613394,True,fixed,40,0.05,0.0,False
85,1.1413350421807311,True,fixed,40,0.05,0.0,False
86,1.1414163539783693,True,fixed,40,0.05,0.0,False
87,1.140536891851098,True,fixed,40,0.05,0.0,False
88,1.1417506647090152,True,fixed,40,0.05,0.0,False
89,1.1403682033758742,True,fixed,40,0.05,0.0,False
90,1.1389917222757946,True,fixed,40,0.05,0.0,False
91,1.1384249392820327,True,fixed,40,0.05,0.0,False
92,1.139404699707236,True,fixed,40,0.05,0.0,False
93,1.1412628154755988,True,fixed,40,0.05,0.0,False
94,1.1381991827951794,True,fixed,40,0.05,0.0,False
95,1.1383209189049022,True,fixed,40,0.05,0.0,False
96,1.1399321165032574,True,fixed,40,0.05,0.0,False
97,1.1387051797772259,True,fixed,40,0.05,0.0,False
98,1.140105410046733,True,fixed,40,0.05,0.0,False
99,1.1403050805496293,True,fixed,40,0.05,0.0,False
