window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,15,1.1271831308286697,0.002419171693224839,1.0,18.034930093258716,0,0.05,0.0,0.0009834733250963816,1.1271831308286697,0.002419171693224839,0.05,0.0
1,1,16,1.1399243405111217,2.9608651559233157e-06,1.0,18.238789448177947,0,0.05,0.0,2.941585876583986e-05,1.1399243405111217,2.9608651559233157e-06,0.05,0.0
2,2,17,1.140120356514203,1.8145879122987972e-06,1.0,18.24192570422725,0,0.05,0.0,8.79833468636626e-07,1.140120356514203,1.8145879122987972e-06,0.05,0.0
3,3,18,1.1399877460736678,2.0518561328856203e-06,1.0,18.239803937178685,0,0.05,0.0,2.6315972573472123e-08,1.1399877460736678,2.0518561328856203e-06,0.05,0.0
4,4,19,1.1399940600009268,2.0561196218090685e-06,1.0,18.23990496001483,0,0.05,0.0,7.871153308997013e-10,1.1399940600009268,2.0561196218090685e-06,0.05,0.0
5,5,20,1.139964919053643,2.0428909847625603e-06,1.0,18.239438704858287,0,0.05,0.0,2.354275611265999e-11,1.139964919053643,2.0428909847625603e-06,0.05,0.0
6,6,21,1.1397157625870307,2.181329660823706e-06,1.0,18.23545220139249,0,0.05,0.0,7.041672800411902e-13,1.1397157625870307,2.181329660823706e-06,0.05,0.0
7,7,22,1.1394699879559351,2.8951096347275014e-06,1.0,18.231519807294962,0,0.05,0.0,2.106093077713922e-14,1.1394699879559351,2.8951096347275014e-06,0.05,0.0
8,8,23,1.13947992601942,2.9377372466588333e-06,1.0,18.23167881631072,0,0.05,0.0,6.291842047367879e-16,1.13947992601942,2.9377372466588333e-06,0.05,0.0
9,9,24,1.1392786173644482,2.1591399478942093e-06,1.0,18.228457877831172,0,0.05,0.0,1.8041124150158794e-17,1.1392786173644482,2.1591399478942093e-06,0.05,0.0
10,10,25,1.139537776856541,2.4192123248322216e-06,1.0,18.232604429704654,0,0.05,0.0,0.0,1.139537776856541,2.4192123248322216e-06,0.05,0.0
11,11,26,1.1394292032496651,2.382177145482499e-06,1.0,18.230867251994642,0,0.05,0.0,0.0,1.1394292032496651,2.382177145482499e-06,0.05,0.0
12,12,27,1.1396133863916373,2.1931579159555132e-06,1.0,18.233814182266197,0,0.05,0.0,0.0,1.1396133863916373,2.1931579159555132e-06,0.05,0.0
13,13,28,1.1398123736758101,2.659176004901795e-06,1.0,18.236997978812962,0,0.05,0.0,0.0,1.1398123736758101,2.659176004901795e-06,0.05,0.0
14,14,29,1.1398972019296674,2.635231508377415e-06,1.0,18.238355230874678,0,0.05,0.0,0.0,1.1398972019296674,2.635231508377415e-06,0.05,0.0
15,15,30,1.1397994050670273,2.5981705916796335e-06,1.0,18.236790481072436,0,0.05,0.0,0.0,1.1397994050670273,2.5981705916796335e-06,0.05,0.0
16,16,31,1.1395729919902022,3.0548702227783173e-06,1.0,18.233167871843236,0,0.05,0.0,0.0,1.1395729919902022,3.0548702227783173e-06,0.05,0.0
17,17,32,1.1393709378683985,3.226099814526173e-06,1.0,18.229935005894376,0,0.05,0.0,0.0,1.1393709378683985,3.226099814526173e-06,0.05,0.0
18,18,33,1.1394665011738114,3.228455555581255e-06,1.0,18.231464018780983,0,0.05,0.0,0.0,1.1394665011738114,3.228455555581255e-06,0.05,0.0
19,19,34,1.1396791348265363,3.3249116586335348e-06,1.0,18.23486615722458,0,0.05,0.0,0.0,1.1396791348265363,3.3249116586335348e-06,0.05,0.0
20,20,35,1.1397038966803186,3.3687708092567375e-06,1.0,18.235262346885097,0,0.05,0.0,0.0,1.1397038966803186,3.3687708092567375e-06,0.05,0.0
21,21,36,1.139662926515296,3.3718709547873236e-06,1.0,18.234606824244736,0,0.05,0.0,0.0,1.139662926515296,3.3718709547873236e-06,0.05,0.0
22,22,37,1.1396955940951543,3.2510894178683648e-06,1.0,18.23512950552247,0,0.05,0.0,0.0,1.1396955940951543,3.2510894178683648e-06,0.05,0.0
23,23,38,1.1398747813142514,2.4708672843243847e-06,1.0,18.23799650102802,0,0.05,0.0,0.0,1.1398747813142514,2.4708672843243847e-06,0.05,0.0
24,24,39,1.1398102380491404,2.2978565333485996e-06,1.0,18.236963808786246,0,0.05,0.0,0.0,1.1398102380491404,2.2978565333485996e-06,0.05,0.0
25,25,40,1.139721151566192,2.43607325240145e-06,1.0,18.235538425059072,0,0.05,0.0,0.0,1.139721151566192,2.43607325240145e-06,0.05,0.0
26,26,41,1.1396455806384993,2.1798423493829534e-06,1.0,18.23432929021599,0,0.05,0.0,0.0,1.1396455806384993,2.1798423493829534e-06,0.05,0.0
27,27,42,1.1396205886316955,2.23220391089389e-06,1.0,18.233929418107127,0,0.05,0.0,0.0,1.1396205886316955,2.23220391089389e-06,0.05,0.0
28,28,43,1.139605420681698,2.2095344017202604e-06,1.0,18.233686730907166,0,0.05,0.0,0.0,1.139605420681698,2.2095344017202604e-06,0.05,0.0
29,29,44,1.1394942580569738,1.7567440230487378e-06,1.0,18.23190812891158,0,0.05,0.0,0.0,1.1394942580569738,1.7567440230487378e-06,0.05,0.0
30,30,45,1.1396047217693688,2.138174884020431e-06,1.0,18.2336755483099,0,0.05,0.0,0.0,1.1396047217693688,2.138174884020431e-06,0.05,0.0
31,31,46,1.1396875553800205,2.183226092765655e-06,1.0,18.23500088608033,0,0.05,0.0,0.0,1.1396875553800205,2.183226092765655e-06,0.05,0.0
32,32,47,1.1398091273110131,1.7189608835885971e-06,1.0,18.23694603697621,0,0.05,0.0,0.0,1.1398091273110131,1.7189608835885971e-06,0.05,0.0
33,33,48,1.1398859200797922,1.442296244899576e-06,1.0,18.238174721276675,0,0.05,0.0,0.0,1.1398859200797922,1.442296244899576e-06,0.05,0.0
34,34,49,1.1399034486478745,1.4577597968331203e-06,1.0,18.238455178365992,0,0.05,0.0,0.0,1.1399034486478745,1.4577597968331203e-06,0.05,0.0
35,35,50,1.1398859901393172,1.4065605332291e-06,1.0,18.238175842229076,0,0.05,0.0,0.0,1.1398859901393172,1.4065605332291e-06,0.05,0.0
36,36,51,1.1398816537929803,1.3991304888119591e-06,1.0,18.238106460687685,0,0.05,0.0,0.0,1.1398816537929803,1.3991304888119591e-06,0.05,0.0
37,37,52,1.1398492863093537,1.4513453137660127e-06,1.0,18.23758858094966,0,0.05,0.0,0.0,1.1398492863093537,1.4513453137660127e-06,0.05,0.0
38,38,53,1.1398723282961458,1.3783245304449185e-06,1.0,18.237957252738333,0,0.05,0.0,0.0,1.1398723282961458,1.3783245304449185e-06,0.05,0.0
39,39,54,1.1399432058663903,1.3359148773249113e-06,1.0,18.239091293862245,0,0.05,0.0,0.0,1.1399432058663903,1.3359148773249113e-06,0.05,0.0
40,40,55,1.139877529989905,1.3056175169609198e-06,1.0,18.23804047983848,0,0.05,0.0,0.0,1.139877529989905,1.3056175169609198e-06,0.05,0.0
41,41,56,1.140059495973746,1.2199017912898369e-06,1.0,18.240951935579936,0,0.05,0.0,0.0,1.140059495973746,1.2199017912898369e-06,0.05,0.0
42,42,57,1.1397524693614183,2.195077335247847e-06,1.0,18.236039509782692,0,0.05,0.0,0.0,1.1397524693614183,2.195077335247847e-06,0.05,0.0
43,43,58,1.1398886960739607,2.101030062973144e-06,1.0,18.23821913718337,0,0.05,0.0,0.0,1.1398886960739607,2.101030062973144e-06,0.05,0.0
44,44,59,1.1399595342209714,2.225922577076924e-06,1.0,18.239352547535542,0,0.05,0.0,0.0,1.1399595342209714,2.225922577076924e-06,0.05,0.0
45,45,60,1.139798928829946,2.3759035352306e-06,1.0,18.236782861279135,0,0.05,0.0,0.0,1.139798928829946,2.3759035352306e-06,0.05,0.0
46,46,61,1.139596806350921,2.0343769155761554e-06,1.0,18.233548901614736,0,0.05,0.0,0.0,1.139596806350921,2.0343769155761554e-06,0.05,0.0
47,47,62,1.1396190912928859,2.085680245935157e-06,1.0,18.233905460686174,0,0.05,0.0,0.0,1.1396190912928859,2.085680245935157e-06,0.05,0.0
48,48,63,1.1398813241713381,2.693612682539048e-06,1.0,18.23810118674141,0,0.05,0.0,0.0,1.1398813241713381,2.693612682539048e-06,0.05,0.0
49,49,64,1.1400446832133226,2.695038089333459e-06,1.0,18.240714931413162,0,0.05,0.0,0.0,1.1400446832133226,2.695038089333459e-06,0.05,0.0
50,50,65,1.1399839020344482,2.6980204332083893e-06,1.0,18.23974243255117,0,0.05,0.0,0.0,1.1399839020344482,2.6980204332083893e-06,0.05,0.0
51,51,66,1.1398153430889644,2.7070316479681e-06,1.0,18.23704548942343,0,0.05,0.0,0.0,1.1398153430889644,2.7070316479681e-06,0.05,0.0
52,52,67,1.1397918287361424,2.673446210937543e-06,1.0,18.236669259778278,0,0.05,0.0,0.0,1.1397918287361424,2.673446210937543e-06,0.05,0.0
53,53,68,1.13997136021853,2.8007676895367656e-06,1.0,18.23954176349648,0,0.05,0.0,0.0,1.13997136021853,2.8007676895367656e-06,0.05,0.0
54,54,69,1.140160139423738,2.764941639477127e-06,1.0,18.242562230779807,0,0.05,0.0,0.0,1.140160139423738,2.764941639477127e-06,0.05,0.0
55,55,70,1.1402873084394098,3.011456340070606e-06,1.0,18.244596935030557,0,0.05,0.0,0.0,1.1402873084394098,3.011456340070606e-06,0.05,0.0
56,56,71,1.1402644289269388,3.0500442694180688e-06,1.0,18.24423086283102,0,0.05,0.0,0.0,1.1402644289269388,3.0500442694180688e-06,0.05,0.0
57,57,72,1.1402948777908317,3.1202381340997833e-06,1.0,18.244718044653307,0,0.05,0.0,0.0,1.1402948777908317,3.1202381340997833e-06,0.05,0.0
58,58,73,1.140617613279156,1.8211064578923482e-06,1.0,18.249881812466494,0,0.05,0.0,0.0,1.140617613279156,1.8211064578923482e-06,0.05,0.0
59,59,74,1.1406299748629727,1.822103009581614e-06,1.0,18.250079597807563,0,0.05,0.0,0.0,1.1406299748629727,1.822103009581614e-06,0.05,0.0
60,60,75,1.140625164505709,1.81530787879229e-06,1.0,18.250002632091345,0,0.05,0.0,0.0,1.140625164505709,1.81530787879229e-06,0.05,0.0
61,61,76,1.140652485238541,1.6900262317800702e-06,1.0,18.250439763816654,0,0.05,0.0,0.0,1.140652485238541,1.6900262317800702e-06,0.05,0.0
62,62,77,1.140863829627032,1.6301464883933794e-06,1.0,18.25382127403251,0,0.05,0.0,0.0,1.140863829627032,1.6301464883933794e-06,0.05,0.0
63,63,78,1.1409753990951037,1.833257787964848e-06,1.0,18.25560638552166,0,0.05,0.0,0.0,1.1409753990951037,1.833257787964848e-06,0.05,0.0
