episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9310682056274802,True,fixed,40,0.05,0.01584782214553157,True
1,1.134942764951292,True,fixed,40,0.05,0.0004740111257551749,False
2,1.1394124471780225,True,fixed,40,0.05,1.4177755484404141e-05,False
3,1.142176141215374,True,fixed,40,0.05,4.240591405024752e-07,False
4,1.13924852549892,True,fixed,40,0.05,1.2683682887315583e-08,False
5,1.140251726532926,True,fixed,40,0.05,3.7937116781350257e-10,False
6,1.1409904289628048,True,fixed,40,0.05,1.1347059403199467e-11,False
7,1.139685815537744,True,fixed,40,0.05,3.393924030703488e-13,False
8,1.140514226773521,True,fixed,40,0.05,1.0147438445073931e-14,False
9,1.1401003324403232,True,fixed,40,0.05,3.0253577421035517e-16,False
10,1.138702519488401,True,fixed,40,0.05,0.0,False
11,1.1395168989572073,True,fixed,40,0.05,0.0,False
12,1.1393516485485429,True,fixed,40,0.05,0.0,False
13,1.1409527226354155,True,fixed,40,0.05,0.0,False
14,1.1368102596729492,True,fixed,40,0.05,0.0,False
15,1.1405021217364533,True,fixed,40,0.05,0.0,False
16,1.1409898090856216,True,fixed,40,0.05,0.0,False
17,1.1387701528291951,True,fixed,40,0.05,0.0,False
18,1.1380447110034722,True,fixed,40,0.05,0.0,False
19,1.143254375540446,True,fixed,40,0.05,0.0,False
20,1.140773514450485,True,fixed,40,0.05,0.0,False
21,1.1388252053909125,True,fixed,40,0.05,0.0,False
22,1.1370307279581005,True,fixed,40,0.05,0.0,False
23,1.1406986586973644,True,fixed,40,0.05,0.0,False
24,1.138098119794997,True,fixed,40,0.05,0.0,False
25,1.1416112280899313,True,fixed,40,0.05,0.0,False
26,1.1395626257370937,True,fixed,40,0.05,0.0,False
27,1.1366473544588263,True,fixed,40,0.05,0.0,False
28,1.1406889177001274,True,fixed,40,0.05,0.0,False
29,1.138597319356529,True,fixed,40,0.05,0.0,False
30,1.1387018377601072,True,fixed,40,0.05,0.0,False
31,1.1379301777373039,True,fixed,40,0.05,0.0,False
32,1.1411788553701752,True,fixed,40,0.05,0.0,False
33,1.1399978139089142,True,fixed,40,0.05,0.0,False
34,1.1404428343961712,True,fixed,40,0.05,0.0,False
35,1.139750796932078,True,fixed,40,0.05,0.0,False
36,1.1428307911944893,True,fixed,40,0.05,0.0,False
37,1.1371094132915114,True,fixed,40,0.05,0.0,False
38,1.139535246410117,True,fixed,40,0.05,0.0,False
39,1.1399502548955962,True,fixed,40,0.05,0.0,False
40,1.1420531313487754,True,fixed,40,0.05,0.0,False
41,1.1396756620222122,True,fixed,40,0.05,0.0,False
42,1.139773743527356,True,fixed,40,0.05,0.0,False
43,1.1399225079890911,True,fixed,40,0.05,0.0,False
44,1.1393453942560325,True,fixed,40,0.05,0.0,False
45,1.1425799634087013,True,fixed,40,0.05,0.0,False
46,1.1391908977768213,True,fixed,40,0.05,0.0,False
47,1.1405245154493908,True,fixed,40,0.05,0.0,False
48,1.1382735485131028,True,fixed,40,0.05,0.0,False
49,1.1388857872788027,True,fixed,40,0.05,0.0,False
50,1.1388901153844881,True,fixed,40,0.05,0.0,False
51,1.1402875158150472,True,fixed,40,0.05,0.0,False
52,1.1384025856430322,True,fixed,40,0.05,0.0,False
53,1.1403743021825392,True,fixed,40,0.05,0.0,False
54,1.1428340936712673,True,fixed,40,0.05,0.0,False
55,1.1397720657474144,True,fixed,40,0.05,0.0,False
56,1.1405158083579863,True,fixed,40,0.05,0.0,False
57,1.1394865513083303,True,fixed,40,0.05,0.0,False
58,1.137703020584711,True,fixed,40,0.05,0.0,False
59,1.1390100780886574,True,fixed,40,0.05,0.0,False
60,1.138340388918099,True,fixed,40,0.05,0.0,False
61,1.1399469977946302,True,fixed,40,0.05,0.0,False
62,1.1398435633330912,True,fixed,40,0.05,0.0,False
63,1.1380172384567069,True,fixed,40,0.05,0.0,False
64,1.140325960616898,True,fixed,40,0.05,0.0,False
65,1.140313463681845,True,fixed,40,0.05,0.0,False
66,1.1383091747014438,True,fixed,40,0.05,0.0,False
67,1.1393548813667536,True,fixed,40,0.05,0.0,False
68,1.1419080290615642,True,fixed,40,0.05,0.0,False
69,1.1389720111065988,True,fixed,40,0.05,0.0,False
70,1.1387021463678575,True,fixed,40,0.05,0.0,False
71,1.1371030209415507,True,fixed,40,0.05,0.0,False
72,1.1400179978151184,True,fixed,40,0.05,0.0,False
73,1.1404407464351036,True,fixed,40,0.05,0.0,False
74,1.1387823635864744,True,fixed,40,0.05,0.0,False
75,1.1392258916658977,True,fixed,40,0.05,0.0,False
76,1.1382410853618863,True,fixed,40,0.05,0.0,False
77,1.1397964650361125,True,fixed,40,0.05,0.0,False
78,1.1385380463360089,True,fixed,40,0.05,0.0,False
79,1.1394758252223371,True,fixed,40,0.05,0.0,False
80,1.1413577186041821,True,fixed,40,0.05,0.0,False
81,1.139120575863737,True,fixed,40,0.05,0.0,False
82,1.137239671053791,True,fixed,40,0.05,0.0,False
83,1.1417455715546514,True,fixed,40,0.05,0.0,False
84,1.1376121186726231,True,fixed,40,0.05,0.0,False
85,1.1390574418763584,True,fixed,40,0.05,0.0,False
86,1.1372203540988122,True,fixed,40,0.05,0.0,False
87,1.1384079433004524,True,fixed,40,0.05,0.0,False
88,1.1400441675982271,True,fixed,40,0.05,0.0,False
89,1.1389093627491127,True,fixed,40,0.05,0.0,False
90,1.1425592985794693,True,fixed,40,0.05,0.0,False
91,1.1380787815706501,True,fixed,40,0.05,0.0,False
92,1.1387666164424524,True,fixed,40,0.05,0.0,False
93,1.1379289898831708,True,fixed,40,0.05,0.0,False
94,1.140513947456676,True,fixed,40,0.05,0.0,False
95,1.140236183912979,True,fixed,40,0.05,0.0,False
96,1.1391582519047463,True,fixed,40,0.05,0.0,False
97,1.13895729465395,True,fixed,40,0.05,0.0,False
98,1.137526608230074,True,fixed,40,0.05,0.0,False
99,1.1388909951618151,True,fixed,40,0.05,0.0,False
