window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,15,1.1265141741098361,0.002549307801574689,1.0,18.024226785757378,0,0.05,0.0,0.001021028010041413,1.1265141741098361,0.002549307801574689,0.05,0.0
1,1,16,1.13963427432597,2.8218601399268853e-06,1.0,18.23414838921552,0,0.05,0.0,3.0539125945689906e-05,1.13963427432597,2.8218601399268853e-06,0.05,0.0
2,2,17,1.1398734860683388,1.4356657415207933e-06,1.0,18.23797577709342,0,0.05,0.0,9.134305859914704e-07,1.1398734860683388,1.4356657415207933e-06,0.05,0.0
3,3,18,1.1397880025574294,1.6240996471017724e-06,1.0,18.23660804091887,0,0.05,0.0,2.7320868216211547e-08,1.1397880025574294,1.6240996471017724e-06,0.05,0.0
4,4,19,1.1398553922027466,2.0140917457944897e-06,1.0,18.237686275243945,0,0.05,0.0,8.171719348068485e-10,1.1398553922027466,2.0140917457944897e-06,0.05,0.0
5,5,20,1.1399507040122192,2.034673733868203e-06,1.0,18.239211264195507,0,0.05,0.0,2.444175434962448e-11,1.1399507040122192,2.034673733868203e-06,0.05,0.0
6,6,21,1.1398615464408435,2.100232948121494e-06,1.0,18.237784743053496,0,0.05,0.0,7.310563612805688e-13,1.1398615464408435,2.100232948121494e-06,0.05,0.0
7,7,22,1.1396140651280493,2.4601832938048274e-06,1.0,18.23382504204879,0,0.05,0.0,2.1865148580602067e-14,1.1396140651280493,2.4601832938048274e-06,0.05,0.0
8,8,23,1.1396773678255256,2.529375755378814e-06,1.0,18.23483788520841,0,0.05,0.0,6.531233887052679e-16,1.1396773678255256,2.529375755378814e-06,0.05,0.0
9,9,24,1.139526361139368,2.6186784513074936e-06,1.0,18.232421778229888,0,0.05,0.0,1.8908485888147198e-17,1.139526361139368,2.6186784513074936e-06,0.05,0.0
10,10,25,1.1396207921174684,2.860837938384429e-06,1.0,18.233932673879494,0,0.05,0.0,0.0,1.1396207921174684,2.860837938384429e-06,0.05,0.0
11,11,26,1.1396745487580118,2.8054580811389045e-06,1.0,18.23479278012819,0,0.05,0.0,0.0,1.1396745487580118,2.8054580811389045e-06,0.05,0.0
12,12,27,1.139495202226863,3.344483644486748e-06,1.0,18.231923235629807,0,0.05,0.0,0.0,1.139495202226863,3.344483644486748e-06,0.05,0.0
13,13,28,1.139578781548837,3.425269952209597e-06,1.0,18.23326050478139,0,0.05,0.0,0.0,1.139578781548837,3.425269952209597e-06,0.05,0.0
14,14,29,1.1394315688439065,3.3458204920629917e-06,1.0,18.230905101502504,0,0.05,0.0,0.0,1.1394315688439065,3.3458204920629917e-06,0.05,0.0
15,15,30,1.1395497924743538,2.9356715205742135e-06,1.0,18.23279667958966,0,0.05,0.0,0.0,1.1395497924743538,2.9356715205742135e-06,0.05,0.0
16,16,31,1.1393890459744072,3.0170958878927396e-06,1.0,18.230224735590514,0,0.05,0.0,0.0,1.1393890459744072,3.0170958878927396e-06,0.05,0.0
17,17,32,1.1394008613671918,3.0570172303207343e-06,1.0,18.23041378187507,0,0.05,0.0,0.0,1.1394008613671918,3.0570172303207343e-06,0.05,0.0
18,18,33,1.139477590184674,3.0485398612114344e-06,1.0,18.231641442954786,0,0.05,0.0,0.0,1.139477590184674,3.0485398612114344e-06,0.05,0.0
19,19,34,1.1396274728967177,2.9559846363360314e-06,1.0,18.234039566347484,0,0.05,0.0,0.0,1.1396274728967177,2.9559846363360314e-06,0.05,0.0
20,20,35,1.1394084992336948,2.086834298151718e-06,1.0,18.230535987739117,0,0.05,0.0,0.0,1.1394084992336948,2.086834298151718e-06,0.05,0.0
21,21,36,1.139537079030195,2.6858525167617877e-06,1.0,18.23259326448312,0,0.05,0.0,0.0,1.139537079030195,2.6858525167617877e-06,0.05,0.0
22,22,37,1.1394298420239826,3.0110275450399244e-06,1.0,18.23087747238372,0,0.05,0.0,0.0,1.1394298420239826,3.0110275450399244e-06,0.05,0.0
23,23,38,1.1395863744272334,2.6274852632413377e-06,1.0,18.233381990835735,0,0.05,0.0,0.0,1.1395863744272334,2.6274852632413377e-06,0.05,0.0
24,24,39,1.139539599189623,2.556249383992519e-06,1.0,18.23263358703397,0,0.05,0.0,0.0,1.139539599189623,2.556249383992519e-06,0.05,0.0
25,25,40,1.1397867874117342,2.760146183714684e-06,1.0,18.236588598587748,0,0.05,0.0,0.0,1.1397867874117342,2.760146183714684e-06,0.05,0.0
26,26,41,1.1396658145325018,2.538247062700889e-06,1.0,18.23465303252003,0,0.05,0.0,0.0,1.1396658145325018,2.538247062700889e-06,0.05,0.0
27,27,42,1.1396790093943931,2.5381355045975876e-06,1.0,18.23486415031029,0,0.05,0.0,0.0,1.1396790093943931,2.5381355045975876e-06,0.05,0.0
28,28,43,1.1398837064900347,1.9255070984630646e-06,1.0,18.238139303840555,0,0.05,0.0,0.0,1.1398837064900347,1.9255070984630646e-06,0.05,0.0
29,29,44,1.1397997362747787,1.896044536939025e-06,1.0,18.23679578039646,0,0.05,0.0,0.0,1.1397997362747787,1.896044536939025e-06,0.05,0.0
30,30,45,1.1400486515280395,2.2268267630647885e-06,1.0,18.24077842444863,0,0.05,0.0,0.0,1.1400486515280395,2.2268267630647885e-06,0.05,0.0
31,31,46,1.1400792177790842,2.1585071031266846e-06,1.0,18.241267484465347,0,0.05,0.0,0.0,1.1400792177790842,2.1585071031266846e-06,0.05,0.0
32,32,47,1.1402413638860895,1.8559605502350238e-06,1.0,18.243861822177433,0,0.05,0.0,0.0,1.1402413638860895,1.8559605502350238e-06,0.05,0.0
33,33,48,1.1400597822075225,2.010076585458179e-06,1.0,18.24095651532036,0,0.05,0.0,0.0,1.1400597822075225,2.010076585458179e-06,0.05,0.0
34,34,49,1.1399902805431406,2.0911476055205267e-06,1.0,18.23984448869025,0,0.05,0.0,0.0,1.1399902805431406,2.0911476055205267e-06,0.05,0.0
35,35,50,1.1398932356049103,2.1445772846356634e-06,1.0,18.238291769678565,0,0.05,0.0,0.0,1.1398932356049103,2.1445772846356634e-06,0.05,0.0
36,36,51,1.1399267805350959,2.151900029081211e-06,1.0,18.238828488561534,0,0.05,0.0,0.0,1.1399267805350959,2.151900029081211e-06,0.05,0.0
37,37,52,1.13965001768813,1.69342061556565e-06,1.0,18.23440028301008,0,0.05,0.0,0.0,1.13965001768813,1.69342061556565e-06,0.05,0.0
38,38,53,1.1398540732438192,1.281151778803287e-06,1.0,18.237665171901106,0,0.05,0.0,0.0,1.1398540732438192,1.281151778803287e-06,0.05,0.0
39,39,54,1.140060251197641,1.787321880043597e-06,1.0,18.240964019162256,0,0.05,0.0,0.0,1.140060251197641,1.787321880043597e-06,0.05,0.0
40,40,55,1.1400491143758797,1.7916323304483266e-06,1.0,18.240785830014076,0,0.05,0.0,0.0,1.1400491143758797,1.7916323304483266e-06,0.05,0.0
41,41,56,1.1399530316889552,1.5450079005517512e-06,1.0,18.239248507023284,0,0.05,0.0,0.0,1.1399530316889552,1.5450079005517512e-06,0.05,0.0
42,42,57,1.1399412122693378,1.5536600777140814e-06,1.0,18.239059396309404,0,0.05,0.0,0.0,1.1399412122693378,1.5536600777140814e-06,0.05,0.0
