episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9359199124428838,True,fixed,40,0.05,0.01548890439280913,True
1,1.1326952922519928,True,fixed,40,0.05,0.000463275833141516,False
2,1.140586896218793,True,fixed,40,0.05,1.385666100906513e-05,False
3,1.1389179879808582,True,fixed,40,0.05,4.1445514871174537e-07,False
4,1.1389734889994387,True,fixed,40,0.05,1.2396425816407763e-08,False
5,1.1403839759984473,True,fixed,40,0.05,3.7077926284823095e-10,False
6,1.1403433044066518,True,fixed,40,0.05,1.1090070528574359e-11,False
7,1.1392297186258493,True,fixed,40,0.05,3.317096597399427e-13,False
8,1.139840110096281,True,fixed,40,0.05,9.917067167464211e-15,False
9,1.1405952886013813,True,fixed,40,0.05,2.9420910152566647e-16,False
10,1.1395291424529057,True,fixed,40,0.05,0.0,False
11,1.1377562643432582,True,fixed,40,0.05,0.0,False
12,1.1405183982074611,True,fixed,40,0.05,0.0,False
13,1.1388579852034948,True,fixed,40,0.05,0.0,False
14,1.1401669358170705,True,fixed,40,0.05,0.0,False
15,1.139614863985005,True,fixed,40,0.05,0.0,False
16,1.1396406960416212,True,fixed,40,0.05,0.0,False
17,1.1408629123633631,True,fixed,40,0.05,0.0,False
18,1.1415411925387675,True,fixed,40,0.05,0.0,False
19,1.1414313084036791,True,fixed,40,0.05,0.0,False
20,1.1394840574379537,True,fixed,40,0.05,0.0,False
21,1.1415442869810444,True,fixed,40,0.05,0.0,False
22,1.1382414749468175,True,fixed,40,0.05,0.0,False
23,1.1428791258037505,True,fixed,40,0.05,0.0,False
24,1.1401102059248847,True,fixed,40,0.05,0.0,False
25,1.1384655027753865,True,fixed,40,0.05,0.0,False
26,1.1395422436048928,True,fixed,40,0.05,0.0,False
27,1.140110365535888,True,fixed,40,0.05,0.0,False
28,1.142204163189228,True,fixed,40,0.05,0.0,False
29,1.1391522641416336,True,fixed,40,0.05,0.0,False
30,1.1406339960777774,True,fixed,40,0.05,0.0,False
31,1.1406672854709885,True,fixed,40,0.05,0.0,False
32,1.1436777303002594,True,fixed,40,0.05,0.0,False
33,1.1382047067699381,True,fixed,40,0.05,0.0,False
34,1.141354642447482,True,fixed,40,0.05,0.0,False
