evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
1,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
2,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
3,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
4,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
5,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
6,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
7,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.132953481694341,1.072953481694341,1.128309149907165,1.0683091499071649,False,no_candidate_improvement,-0.06000000000000005,0.13,False
8,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347152137231802,1.0747152137231801,1.1344787599572597,1.0744787599572596,False,no_candidate_improvement,-0.06000000000000005,0.13,False
9,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348104905330745,1.0748104905330744,1.1347310688537167,1.0747310688537166,False,no_candidate_improvement,-0.06000000000000005,0.13,False
10,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348625867253734,1.0748625867253734,1.1347921349310681,1.074792134931068,False,no_candidate_improvement,-0.06000000000000005,0.13,False
11,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1348955198067427,1.0748955198067427,1.1347924932200857,1.0747924932200856,False,no_candidate_improvement,-0.06000000000000005,0.13,False
12,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.13492843740523,1.07492843740523,1.1348033212120219,1.0748033212120218,False,no_candidate_improvement,-0.06000000000000005,0.13,False
13,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1349755058538018,1.0749755058538017,1.1348189801424238,1.0748189801424237,False,no_candidate_improvement,-0.06000000000000005,0.13,False
14,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1350481013256941,1.075048101325694,1.1348484785064668,1.0748484785064667,False,no_candidate_improvement,-0.06000000000000005,0.13,False
15,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1351224041635686,1.0751224041635685,1.1349060548541243,1.0749060548541243,False,no_candidate_improvement,-0.06000000000000005,0.13,False
