episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9342506275358538,True,fixed,40,0.05,0.015621477319328548,True
1,1.1341980271716863,True,fixed,40,0.05,0.00046724111250716626,False
2,1.1359579694105122,True,fixed,40,0.05,1.3975263206814082e-05,False
3,1.1376428566628882,True,fixed,40,0.05,4.180025611449922e-07,False
4,1.142054522940577,True,fixed,40,0.05,1.2502529547764319e-08,False
5,1.1398601610873424,True,fixed,40,0.05,3.7395283258856436e-10,False
6,1.1406207431259745,True,fixed,40,0.05,1.1185000148294932e-11,False
7,1.1399773654538552,True,fixed,40,0.05,3.3454350401029844e-13,False
8,1.1378048083794068,True,fixed,40,0.05,1.000310945187266e-14,False
9,1.1385007131694844,True,fixed,40,0.05,2.9698465908722935e-16,False
10,1.1417815380807352,True,fixed,40,0.05,0.0,False
11,1.1380476425089234,True,fixed,40,0.05,0.0,False
12,1.1375726835296527,True,fixed,40,0.05,0.0,False
13,1.13929636327915,True,fixed,40,0.05,0.0,False
14,1.1410381465754749,True,fixed,40,0.05,0.0,False
15,1.1401713517228533,True,fixed,40,0.05,0.0,False
16,1.1414323927832997,True,fixed,40,0.05,0.0,False
17,1.1420951918052733,True,fixed,40,0.05,0.0,False
18,1.1394409903924587,True,fixed,40,0.05,0.0,False
19,1.1380223946502865,True,fixed,40,0.05,0.0,False
20,1.1420675453955498,True,fixed,40,0.05,0.0,False
21,1.1393716868499495,True,fixed,40,0.05,0.0,False
22,1.1407443719120554,True,fixed,40,0.05,0.0,False
23,1.139025761888858,True,fixed,40,0.05,0.0,False
24,1.1395363646920995,True,fixed,40,0.05,0.0,False
25,1.1408743634595173,True,fixed,40,0.05,0.0,False
26,1.1428154262622015,True,fixed,40,0.05,0.0,False
27,1.1384252214720982,True,fixed,40,0.05,0.0,False
28,1.1393957684435154,True,fixed,40,0.05,0.0,False
29,1.1420757090226505,True,fixed,40,0.05,0.0,False
30,1.1413803843043921,True,fixed,40,0.05,0.0,False
31,1.1383126448338632,True,fixed,40,0.05,0.0,False
32,1.1401234636099202,True,fixed,40,0.05,0.0,False
