window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,15,1.1261734700396482,0.0024597354525329354,1.0,18.01877552063437,0,0.05,0.0,0.0010064452866009935,1.1261734700396482,0.0024597354525329354,0.05,0.0
1,1,16,1.1391223303676135,4.466046774808755e-06,1.0,18.225957285881815,0,0.05,0.0,3.0102954142959338e-05,1.1391223303676135,4.466046774808755e-06,0.05,0.0
2,2,17,1.1396159031572126,3.2592541238076192e-06,1.0,18.233854450515402,0,0.05,0.0,9.003846112614483e-07,1.1396159031572126,3.2592541238076192e-06,0.05,0.0
3,3,18,1.1398335919685842,2.3774979039626803e-06,1.0,18.237337471497348,0,0.05,0.0,2.693066083556822e-08,1.1398335919685842,2.3774979039626803e-06,0.05,0.0
4,4,19,1.1398573130927967,2.282004871365385e-06,1.0,18.237717009484747,0,0.05,0.0,8.055007640062062e-10,1.1398573130927967,2.282004871365385e-06,0.05,0.0
5,5,20,1.1398581269962325,2.285591441235994e-06,1.0,18.23773003193972,0,0.05,0.0,2.4092667270936285e-11,1.1398581269962325,2.285591441235994e-06,0.05,0.0
6,6,21,1.1398275973563954,2.299448124726741e-06,1.0,18.237241557702326,0,0.05,0.0,7.206152341510119e-13,1.1398275973563954,2.299448124726741e-06,0.05,0.0
7,7,22,1.1398353241555255,2.3126006321834613e-06,1.0,18.237365186488407,0,0.05,0.0,2.1552724882578646e-14,1.1398353241555255,2.3126006321834613e-06,0.05,0.0
8,8,23,1.1397758489327132,2.3487642883786846e-06,1.0,18.23641358292341,0,0.05,0.0,6.437558819349931e-16,1.1397758489327132,2.3487642883786846e-06,0.05,0.0
9,9,24,1.1398840712022564,2.0978242186738194e-06,1.0,18.238145139236103,0,0.05,0.0,1.8561541192951835e-17,1.1398840712022564,2.0978242186738194e-06,0.05,0.0
10,10,25,1.1400324243453837,2.017503020345369e-06,1.0,18.24051878952614,0,0.05,0.0,0.0,1.1400324243453837,2.017503020345369e-06,0.05,0.0
11,11,26,1.1400970423567252,2.3061838335691292e-06,1.0,18.241552677707602,0,0.05,0.0,0.0,1.1400970423567252,2.3061838335691292e-06,0.05,0.0
12,12,27,1.1401206410419236,2.2178110190075945e-06,1.0,18.241930256670777,0,0.05,0.0,0.0,1.1401206410419236,2.2178110190075945e-06,0.05,0.0
13,13,28,1.14023458384904,1.8319126056880932e-06,1.0,18.24375334158464,0,0.05,0.0,0.0,1.14023458384904,1.8319126056880932e-06,0.05,0.0
14,14,29,1.1404082929580088,1.9585805053454477e-06,1.0,18.24653268732814,0,0.05,0.0,0.0,1.1404082929580088,1.9585805053454477e-06,0.05,0.0
15,15,30,1.1404296828160663,1.9923883547101267e-06,1.0,18.24687492505706,0,0.05,0.0,0.0,1.1404296828160663,1.9923883547101267e-06,0.05,0.0
16,16,31,1.1403135136355043,2.2548377552208044e-06,1.0,18.245016218168068,0,0.05,0.0,0.0,1.1403135136355043,2.2548377552208044e-06,0.05,0.0
17,17,32,1.140231705562168,2.1721594734111455e-06,1.0,18.24370728899469,0,0.05,0.0,0.0,1.140231705562168,2.1721594734111455e-06,0.05,0.0
18,18,33,1.1400392689274084,2.0104313062875144e-06,1.0,18.240628302838534,0,0.05,0.0,0.0,1.1400392689274084,2.0104313062875144e-06,0.05,0.0
19,19,34,1.1400197762716542,2.039454835766485e-06,1.0,18.240316420346467,0,0.05,0.0,0.0,1.1400197762716542,2.039454835766485e-06,0.05,0.0
20,20,35,1.1401839609574576,1.7879250536845182e-06,1.0,18.24294337531932,0,0.05,0.0,0.0,1.1401839609574576,1.7879250536845182e-06,0.05,0.0
21,21,36,1.1400041404038157,1.5955421333876676e-06,1.0,18.24006624646105,0,0.05,0.0,0.0,1.1400041404038157,1.5955421333876676e-06,0.05,0.0
22,22,37,1.1400140313254714,1.5844984912513396e-06,1.0,18.240224501207543,0,0.05,0.0,0.0,1.1400140313254714,1.5844984912513396e-06,0.05,0.0
23,23,38,1.1399517985779042,1.5516900115719164e-06,1.0,18.239228777246467,0,0.05,0.0,0.0,1.1399517985779042,1.5516900115719164e-06,0.05,0.0
24,24,39,1.1398874297384116,1.7330560380391054e-06,1.0,18.238198875814586,0,0.05,0.0,0.0,1.1398874297384116,1.7330560380391054e-06,0.05,0.0
25,25,40,1.139950492858501,1.748431880420748e-06,1.0,18.239207885736015,0,0.05,0.0,0.0,1.139950492858501,1.748431880420748e-06,0.05,0.0
26,26,41,1.1399915918447108,1.8497090706141147e-06,1.0,18.239865469515372,0,0.05,0.0,0.0,1.1399915918447108,1.8497090706141147e-06,0.05,0.0
27,27,42,1.1398909710657052,1.4333043503882043e-06,1.0,18.238255537051284,0,0.05,0.0,0.0,1.1398909710657052,1.4333043503882043e-06,0.05,0.0
28,28,43,1.1402029298657919,1.978571775762958e-06,1.0,18.24324687785267,0,0.05,0.0,0.0,1.1402029298657919,1.978571775762958e-06,0.05,0.0
29,29,44,1.1403218694439434,1.9987642463945635e-06,1.0,18.245149911103095,0,0.05,0.0,0.0,1.1403218694439434,1.9987642463945635e-06,0.05,0.0
30,30,45,1.14019576544609,1.7949651555767815e-06,1.0,18.24313224713744,0,0.05,0.0,0.0,1.14019576544609,1.7949651555767815e-06,0.05,0.0
31,31,46,1.1399539941744594,2.098951756826668e-06,1.0,18.23926390679135,0,0.05,0.0,0.0,1.1399539941744594,2.098951756826668e-06,0.05,0.0
32,32,47,1.1401253739759303,1.976929053838348e-06,1.0,18.242005983614884,0,0.05,0.0,0.0,1.1401253739759303,1.976929053838348e-06,0.05,0.0
33,33,48,1.1401419713968721,1.9809977552695278e-06,1.0,18.242271542349954,0,0.05,0.0,0.0,1.1401419713968721,1.9809977552695278e-06,0.05,0.0
34,34,49,1.140144922516521,1.9744838530411557e-06,1.0,18.242318760264336,0,0.05,0.0,0.0,1.140144922516521,1.9744838530411557e-06,0.05,0.0
35,35,50,1.1399987852523357,2.5917220906356347e-06,1.0,18.23998056403737,0,0.05,0.0,0.0,1.1399987852523357,2.5917220906356347e-06,0.05,0.0
36,36,51,1.1398451058495442,2.746025785304558e-06,1.0,18.237521693592708,0,0.05,0.0,0.0,1.1398451058495442,2.746025785304558e-06,0.05,0.0
37,37,52,1.1397930306043378,2.8548894656944097e-06,1.0,18.236688489669405,0,0.05,0.0,0.0,1.1397930306043378,2.8548894656944097e-06,0.05,0.0
38,38,53,1.1399476496395586,3.1321380193274113e-06,1.0,18.239162394232938,0,0.05,0.0,0.0,1.1399476496395586,3.1321380193274113e-06,0.05,0.0
39,39,54,1.1399944375895001,3.146352941136119e-06,1.0,18.239911001432002,0,0.05,0.0,0.0,1.1399944375895001,3.146352941136119e-06,0.05,0.0
40,40,55,1.1401380931533345,2.8816933067664424e-06,1.0,18.24220949045335,0,0.05,0.0,0.0,1.1401380931533345,2.8816933067664424e-06,0.05,0.0
41,41,56,1.14006605498695,2.9008561488174565e-06,1.0,18.2410568797912,0,0.05,0.0,0.0,1.14006605498695,2.9008561488174565e-06,0.05,0.0
42,42,57,1.1397294939227012,3.6132318855789232e-06,1.0,18.23567190276322,0,0.05,0.0,0.0,1.1397294939227012,3.6132318855789232e-06,0.05,0.0
43,43,58,1.1398080002324673,3.937431102543299e-06,1.0,18.236928003719477,0,0.05,0.0,0.0,1.1398080002324673,3.937431102543299e-06,0.05,0.0
44,44,59,1.1395462835102323,3.076023684290684e-06,1.0,18.232740536163718,0,0.05,0.0,0.0,1.1395462835102323,3.076023684290684e-06,0.05,0.0
45,45,60,1.1395068276982612,2.9610810448999384e-06,1.0,18.23210924317218,0,0.05,0.0,0.0,1.1395068276982612,2.9610810448999384e-06,0.05,0.0
46,46,61,1.13967826290294,3.590927607384127e-06,1.0,18.23485220644704,0,0.05,0.0,0.0,1.13967826290294,3.590927607384127e-06,0.05,0.0
47,47,62,1.1398494101024583,3.288813454091659e-06,1.0,18.237590561639333,0,0.05,0.0,0.0,1.1398494101024583,3.288813454091659e-06,0.05,0.0
48,48,63,1.1397498655029505,3.1974858514217867e-06,1.0,18.23599784804721,0,0.05,0.0,0.0,1.1397498655029505,3.1974858514217867e-06,0.05,0.0
49,49,64,1.1396915242111059,3.173962974721493e-06,1.0,18.235064387377694,0,0.05,0.0,0.0,1.1396915242111059,3.173962974721493e-06,0.05,0.0
50,50,65,1.139923424787088,3.6893173279227643e-06,1.0,18.238774796593408,0,0.05,0.0,0.0,1.139923424787088,3.6893173279227643e-06,0.05,0.0
51,51,66,1.140047475636032,3.1429647026231836e-06,1.0,18.24075961017651,0,0.05,0.0,0.0,1.140047475636032,3.1429647026231836e-06,0.05,0.0
52,52,67,1.1401729950327648,2.9131133367919874e-06,1.0,18.242767920524237,0,0.05,0.0,0.0,1.1401729950327648,2.9131133367919874e-06,0.05,0.0
53,53,68,1.1402736819224695,2.6995301149119423e-06,1.0,18.24437891075951,0,0.05,0.0,0.0,1.1402736819224695,2.6995301149119423e-06,0.05,0.0
54,54,69,1.1401157767414327,2.5271370135923693e-06,1.0,18.241852427862923,0,0.05,0.0,0.0,1.1401157767414327,2.5271370135923693e-06,0.05,0.0
55,55,70,1.1400798527862996,2.5190865454082114e-06,1.0,18.241277644580794,0,0.05,0.0,0.0,1.1400798527862996,2.5190865454082114e-06,0.05,0.0
56,56,71,1.1398893210800285,2.9818846703852317e-06,1.0,18.238229137280456,0,0.05,0.0,0.0,1.1398893210800285,2.9818846703852317e-06,0.05,0.0
57,57,72,1.1398504400372622,3.0431740205943534e-06,1.0,18.237607040596195,0,0.05,0.0,0.0,1.1398504400372622,3.0431740205943534e-06,0.05,0.0
58,58,73,1.1400055176455492,2.2552595034014318e-06,1.0,18.240088282328788,0,0.05,0.0,0.0,1.1400055176455492,2.2552595034014318e-06,0.05,0.0
59,59,74,1.1399440581035314,2.0100198844396333e-06,1.0,18.239104929656502,0,0.05,0.0,0.0,1.1399440581035314,2.0100198844396333e-06,0.05,0.0
60,60,75,1.1400774993851481,2.086307258010937e-06,1.0,18.24123999016237,0,0.05,0.0,0.0,1.1400774993851481,2.086307258010937e-06,0.05,0.0
61,61,76,1.1400481847942798,2.064605673090131e-06,1.0,18.240770956708477,0,0.05,0.0,0.0,1.1400481847942798,2.064605673090131e-06,0.05,0.0
62,62,77,1.1399777503412318,1.7512336153186395e-06,1.0,18.23964400545971,0,0.05,0.0,0.0,1.1399777503412318,1.7512336153186395e-06,0.05,0.0
