sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,river_logreg,river_nb,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: river_nb.
127,0,river_nb,river_nb,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
255,1,river_nb,river_logreg,switch,True,fixed_share_weight_advantage,0.13911911267085897,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3260 - 0.1869 = 0.1391 >= 0.0100.
383,2,river_logreg,river_logreg,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,river_logreg,river_nb,switch,True,fixed_share_weight_advantage,0.024321745887384533,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2205 - 0.1961 = 0.0243 >= 0.0100.
639,4,river_nb,river_hoeffding_tree,switch,True,fixed_share_weight_advantage,0.15484851478047043,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3273 - 0.1724 = 0.1548 >= 0.0100.
767,5,river_hoeffding_tree,windowed_rf,switch,True,fixed_share_weight_advantage,0.040072229973358325,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2332 - 0.1931 = 0.0401 >= 0.0100.
895,6,windowed_rf,windowed_histgb,switch,True,fixed_share_weight_advantage,0.18656314011946198,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3022 - 0.1156 = 0.1866 >= 0.0100.
1023,7,windowed_histgb,river_logreg,switch,True,fixed_share_weight_advantage,0.10585896426847552,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2503 - 0.1444 = 0.1059 >= 0.0100.
1151,8,river_logreg,river_hoeffding_tree,switch,True,fixed_share_weight_advantage,0.028725070172504114,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2232 - 0.1945 = 0.0287 >= 0.0100.
1279,9,river_hoeffding_tree,windowed_histgb,stay,False,fixed_share_margin_too_small,0.007973982465325324,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0080, threshold=0.0100."
1407,10,river_hoeffding_tree,windowed_histgb,stay,False,fixed_share_margin_too_small,0.000842301898342418,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0008, threshold=0.0100."
1535,11,river_hoeffding_tree,windowed_histgb,stay,False,fixed_share_margin_too_small,5.3585106074560684e-08,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0000, threshold=0.0100."
1663,12,river_hoeffding_tree,windowed_rf,switch,True,fixed_share_weight_advantage,0.04180035258333151,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2687 - 0.2269 = 0.0418 >= 0.0100.
1791,13,windowed_rf,river_hoeffding_tree,switch,True,fixed_share_weight_advantage,0.07090327320017259,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2681 - 0.1972 = 0.0709 >= 0.0100.
1919,14,river_hoeffding_tree,river_hoeffding_tree,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2047,15,river_hoeffding_tree,river_hoeffding_tree,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
