sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,2,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.05729166666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0319, candidate_std=0.0327, threshold=0.0140."
639,3,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.04427083333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0460, threshold=0.0140."
767,4,river_logreg,river_hoeffding_tree,stay,False,no_candidate_improvement,-0.015625,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0156, threshold=0.0140."
895,5,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.01692708333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0103, candidate_std=0.0178, threshold=0.0140."
1023,6,river_logreg,river_hoeffding_tree,stay,False,no_candidate_improvement,-0.02994791666666674,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0299, threshold=0.0140."
1151,7,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.01302083333333326,0.014,"Stay because utility uncertainty is too high: current_std=0.0164, candidate_std=0.0248, threshold=0.0140."
1279,8,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.02083333333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0319, threshold=0.0140."
1407,9,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.03776041666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0338, candidate_std=0.0256, threshold=0.0140."
1535,10,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.0390625,0.014,"Stay because utility uncertainty is too high: current_std=0.0249, candidate_std=0.0223, threshold=0.0140."
1663,11,river_logreg,windowed_rf,switch,True,switch_advantage,0.03125,0.014,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9792 - 0.9479 = 0.0312 > 0.0140.
1791,12,windowed_rf,river_hoeffding_tree,stay,False,high_uncertainty,0.00520833333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0513, candidate_std=0.0442, threshold=0.0140."
1919,13,windowed_rf,river_hoeffding_tree,stay,False,high_uncertainty,0.03125,0.014,"Stay because utility uncertainty is too high: current_std=0.0831, candidate_std=0.0513, threshold=0.0140."
2047,14,windowed_rf,river_hoeffding_tree,stay,False,high_uncertainty,0.08854166666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0742, candidate_std=0.0208, threshold=0.0140."
