sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,1,river_logreg,river_logreg,stay,False,recent_leader_warmup_same,0.0,0.002,Stay after warmup because the current strategy is already the recent leader.
383,2,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
511,3,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
639,4,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.01171875,0.002,Stay because the candidate fails the incumbent floor check: 0.846875 + 0.001000 < 0.868750.
767,5,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
895,6,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1023,7,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1151,8,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.04296875,0.002,Stay because the candidate fails the incumbent floor check: 0.860243 + 0.001000 < 0.875000.
1279,9,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.046875,0.002,Stay because the candidate fails the incumbent floor check: 0.868750 + 0.001000 < 0.882031.
1407,10,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.04296875,0.002,Stay because the candidate fails the incumbent floor check: 0.772727 + 0.001000 < 0.887784.
1535,11,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.05078125,0.002,Stay because the candidate fails the incumbent floor check: 0.791667 + 0.001000 < 0.893229.
1663,12,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.015625,0.002,Stay because the candidate fails the incumbent floor check: 0.893029 + 0.001000 < 0.897236.
1791,13,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1919,14,river_logreg,river_nb,stay,False,recent_leader_incumbent_floor,0.02734375,0.002,Stay because the candidate fails the incumbent floor check: 0.807813 + 0.001000 < 0.888542.
2047,15,river_logreg,river_hoeffding_tree,switch,True,recent_leader_advantage,0.046875,0.002,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.867188 - 0.820312 = 0.046875.
