sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,1,river_logreg,river_logreg,stay,False,recent_leader_warmup_same,0.0,0.002,Stay after warmup because the current strategy is already the recent leader.
383,2,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
511,3,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
639,4,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.01171875,0.002,Stay because the candidate fails the incumbent floor check: 0.846875 + 0.001000 < 0.868750.
767,5,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
895,6,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1023,7,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1151,8,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.04296875,0.002,Stay because the candidate fails the incumbent floor check: 0.860243 + 0.001000 < 0.875000.
1279,9,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.046875,0.002,Stay because the candidate fails the incumbent floor check: 0.868750 + 0.001000 < 0.882031.
1407,10,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.04296875,0.002,Stay because the candidate fails the incumbent floor check: 0.772727 + 0.001000 < 0.887784.
1535,11,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.05078125,0.002,Stay because the candidate fails the incumbent floor check: 0.791667 + 0.001000 < 0.893229.
1663,12,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.015625,0.002,Stay because the candidate fails the incumbent floor check: 0.893029 + 0.001000 < 0.897236.
1791,13,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1919,14,river_logreg,river_nb,stay,False,recent_leader_incumbent_floor,0.02734375,0.002,Stay because the candidate fails the incumbent floor check: 0.807813 + 0.001000 < 0.888542.
2047,15,river_logreg,river_hoeffding_tree,switch,True,recent_leader_advantage,0.046875,0.002,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.867188 - 0.820312 = 0.046875.
2175,16,river_hoeffding_tree,river_hoeffding_tree,stay,False,recent_leader_cooldown,0.0,0.002,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
2303,17,river_hoeffding_tree,river_logreg,switch,True,recent_leader_advantage,0.06640625,0.002,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.816406 - 0.750000 = 0.066406.
2431,18,river_logreg,river_logreg,stay,False,recent_leader_cooldown,0.0,0.002,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
2559,19,river_logreg,river_hoeffding_tree,switch,True,recent_leader_advantage,0.0546875,0.002,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.921875 - 0.867188 = 0.054688.
2687,20,river_hoeffding_tree,river_hoeffding_tree,stay,False,recent_leader_cooldown,0.0,0.002,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
2815,21,river_hoeffding_tree,river_logreg,switch,True,recent_leader_advantage,0.078125,0.002,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.914062 - 0.835938 = 0.078125.
2943,22,river_logreg,river_logreg,stay,False,recent_leader_cooldown,0.0,0.002,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
3071,23,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3199,24,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3327,25,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3455,26,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.00390625,0.002,Stay because the candidate fails the incumbent floor check: 0.877894 + 0.001000 < 0.884549.
3583,27,river_logreg,river_nb,stay,False,recent_leader_incumbent_floor,0.01171875,0.002,Stay because the candidate fails the incumbent floor check: 0.802176 + 0.001000 < 0.887556.
3711,28,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.05859375,0.002,Stay because the candidate fails the incumbent floor check: 0.815194 + 0.001000 < 0.886584.
3839,29,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.109375,0.002,Stay because the candidate fails the incumbent floor check: 0.820573 + 0.001000 < 0.886458.
3967,30,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.01953125,0.002,Stay because the candidate fails the incumbent floor check: 0.824093 + 0.001000 < 0.889617.
