metric,value
adaptive_score,0.7691971094941614
best_fixed_score,0.7725101892831245
oracle_score,0.924986872702723
oracle_gain,0.1524766834195984
oracle_capture_ratio,0.0
delta_vs_best_fixed,-0.0033130797889631136
switch_count,358
block_delta_mean,-0.0033178084935897435
block_delta_std,0.04766591606065309
block_delta_ci95,0.003740001017728109
fixed_score::river_hoeffding_tree,0.5586477633585878
fixed_score::river_logreg,0.7725101892831245
fixed_score::river_nb,0.48703523116545394
fixed_score::windowed_histgb,0.7654339509414148
fixed_score::windowed_rf,0.7666966719175856
