sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,river_logreg,river_nb,switch,True,recent_leader_warmup,,0.0,Switch after warmup because the recent block leader outperformed the initial incumbent: river_nb.
255,1,river_nb,river_logreg,switch,True,recent_leader_advantage,0.109375,0.0,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.828125 - 0.718750 = 0.109375.
383,2,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
511,3,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
639,4,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.046875,0.0,Stay because the candidate fails the incumbent floor check: 0.846875 + 0.000000 < 0.868750.
767,5,river_logreg,windowed_rf,stay,False,recent_leader_incumbent_floor,0.03125,0.0,Stay because the candidate fails the incumbent floor check: 0.777344 + 0.000000 < 0.875000.
895,6,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
1023,7,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
1151,8,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.09375,0.0,Stay because the candidate fails the incumbent floor check: 0.860243 + 0.000000 < 0.875000.
1279,9,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.03125,0.0,Stay because the candidate fails the incumbent floor check: 0.750000 + 0.000000 < 0.882031.
1407,10,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.0546875,0.0,Stay because the candidate fails the incumbent floor check: 0.772727 + 0.000000 < 0.887784.
1535,11,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.046875,0.0,Stay because the candidate fails the incumbent floor check: 0.889974 + 0.000000 < 0.893229.
1663,12,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
1791,13,river_logreg,river_nb,stay,False,recent_leader_incumbent_floor,0.0625,0.0,Stay because the candidate fails the incumbent floor check: 0.808036 + 0.000000 < 0.893973.
1919,14,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.015625,0.0,Stay because the candidate fails the incumbent floor check: 0.885938 + 0.000000 < 0.888542.
2047,15,river_logreg,river_hoeffding_tree,switch,True,recent_leader_advantage,0.078125,0.0,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.906250 - 0.828125 = 0.078125.
2175,16,river_hoeffding_tree,river_logreg,stay,False,recent_leader_incumbent_floor,0.0234375,0.0,Stay because the candidate fails the incumbent floor check: 0.879136 + 0.000000 < 0.880055.
2303,17,river_hoeffding_tree,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.140625,0.0,Stay because the candidate fails the incumbent floor check: 0.783854 + 0.000000 < 0.871962.
2431,18,river_hoeffding_tree,river_hoeffding_tree,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
2559,19,river_hoeffding_tree,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.0390625,0.0,Stay because the candidate fails the incumbent floor check: 0.787500 + 0.000000 < 0.876953.
2687,20,river_hoeffding_tree,river_hoeffding_tree,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
2815,21,river_hoeffding_tree,river_logreg,switch,True,recent_leader_advantage,0.1796875,0.0,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.882812 - 0.703125 = 0.179688.
2943,22,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
3071,23,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
3199,24,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
3327,25,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
3455,26,river_logreg,river_hoeffding_tree,stay,False,recent_leader_incumbent_floor,0.0546875,0.0,Stay because the candidate fails the incumbent floor check: 0.877894 + 0.000000 < 0.884549.
3583,27,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
3711,28,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.125,0.0,Stay because the candidate fails the incumbent floor check: 0.815194 + 0.000000 < 0.886584.
3839,29,river_logreg,windowed_histgb,stay,False,recent_leader_incumbent_floor,0.09375,0.0,Stay because the candidate fails the incumbent floor check: 0.820573 + 0.000000 < 0.886458.
3967,30,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
4095,31,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
4223,32,river_logreg,river_logreg,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
