metric,value
adaptive_score,0.8760151836158192
best_fixed_score,0.8768317443502824
oracle_score,0.9593926553672316
oracle_gain,0.08256091101694918
oracle_capture_ratio,0.0
delta_vs_best_fixed,-0.0008165607344632342
switch_count,4
block_delta_mean,-0.0008165607344632768
block_delta_std,0.014354777867214596
block_delta_ci95,0.0014953777580348341
fixed_score::river_hoeffding_tree,0.8339292019774012
fixed_score::river_logreg,0.8768317443502824
fixed_score::river_nb,0.7287252824858758
fixed_score::windowed_histgb,0.7870762711864406
fixed_score::windowed_rf,0.8017743644067796
