sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
23,0,pa_regressor,pa_regressor,stay,False,recent_leader_warmup_same,0.0,0.0,Stay after warmup because the current strategy is already the recent leader.
47,1,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
71,2,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
95,3,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
119,4,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
143,5,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
167,6,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
191,7,pa_regressor,lin_lr_0_0005,stay,False,recent_leader_incumbent_floor,0.18249043132361598,0.0,Stay because the candidate fails the incumbent floor check: 0.380887 + 0.000000 < 0.594518.
215,8,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.11052628783592233,0.0,Stay because the candidate fails the incumbent floor check: 0.429116 + 0.000000 < 0.600299.
239,9,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
263,10,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.0,Stay because the current strategy remains the recent block leader.
287,11,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.12623510513829506,0.0,Stay because the candidate fails the incumbent floor check: 0.472873 + 0.000000 < 0.625271.
311,12,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.2223808311880049,0.0,Stay because the candidate fails the incumbent floor check: 0.505122 + 0.000000 < 0.628690.
335,13,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.178120982466774,0.0,Stay because the candidate fails the incumbent floor check: 0.532232 + 0.000000 < 0.634251.
359,14,pa_regressor,lin_lr_0_0005,stay,False,recent_leader_incumbent_floor,0.15188596688022749,0.0,Stay because the candidate fails the incumbent floor check: 0.540698 + 0.000000 < 0.641427.
383,15,pa_regressor,lin_lr_0_0005,stay,False,recent_leader_incumbent_floor,0.19035690784532688,0.0,Stay because the candidate fails the incumbent floor check: 0.566546 + 0.000000 < 0.649082.
407,16,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.18171827721547862,0.0,Stay because the candidate fails the incumbent floor check: 0.601602 + 0.000000 < 0.656879.
431,17,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.16076869886787215,0.0,Stay because the candidate fails the incumbent floor check: 0.621384 + 0.000000 < 0.664658.
