sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,2,river_logreg,windowed_rf,stay,False,no_candidate_improvement,0.01171875,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0117, threshold=0.0140."
639,3,river_logreg,windowed_rf,stay,False,no_candidate_improvement,0.0078125,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0078, threshold=0.0140."
767,4,river_logreg,windowed_rf,stay,False,high_uncertainty,0.01822916666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0147, candidate_std=0.0092, threshold=0.0140."
895,5,river_logreg,windowed_rf,switch,True,switch_advantage,0.02864583333333337,0.014,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.8060 - 0.7773 = 0.0286 > 0.0140.
1023,6,windowed_rf,river_logreg,stay,False,high_uncertainty,0.02473958333333326,0.014,"Stay because utility uncertainty is too high: current_std=0.1309, candidate_std=0.0378, threshold=0.0140."
1151,7,windowed_rf,river_logreg,stay,False,high_uncertainty,0.13020833333333326,0.014,"Stay because utility uncertainty is too high: current_std=0.1813, candidate_std=0.0465, threshold=0.0140."
1279,8,windowed_rf,river_logreg,stay,False,high_uncertainty,0.17708333333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.1000, candidate_std=0.0223, threshold=0.0140."
1407,9,windowed_rf,river_logreg,stay,False,high_uncertainty,0.12760416666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.1469, candidate_std=0.0327, threshold=0.0140."
1535,10,windowed_rf,river_logreg,stay,False,high_uncertainty,0.0390625,0.014,"Stay because utility uncertainty is too high: current_std=0.0641, candidate_std=0.0310, threshold=0.0140."
1663,11,windowed_rf,river_logreg,stay,False,high_uncertainty,0.0078125,0.014,"Stay because utility uncertainty is too high: current_std=0.0187, candidate_std=0.0208, threshold=0.0140."
1791,12,windowed_rf,river_logreg,stay,False,high_uncertainty,0.0013020833333333703,0.014,"Stay because utility uncertainty is too high: current_std=0.0278, candidate_std=0.0381, threshold=0.0140."
1919,13,windowed_rf,river_logreg,stay,False,high_uncertainty,-0.01822916666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0355, candidate_std=0.0526, threshold=0.0140."
2047,14,windowed_rf,river_logreg,stay,False,high_uncertainty,-0.01822916666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0169, candidate_std=0.0256, threshold=0.0140."
2175,15,windowed_rf,river_logreg,stay,False,high_uncertainty,0.0078125,0.014,"Stay because utility uncertainty is too high: current_std=0.0080, candidate_std=0.0509, threshold=0.0140."
2303,16,windowed_rf,river_logreg,stay,False,high_uncertainty,0.04557291666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0144, candidate_std=0.0458, threshold=0.0140."
2431,17,windowed_rf,river_logreg,switch,True,switch_advantage,0.05859375,0.014,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.7604 - 0.7018 = 0.0586 > 0.0140.
2559,18,river_logreg,windowed_histgb,stay,False,high_uncertainty,-0.0234375,0.014,"Stay because utility uncertainty is too high: current_std=0.0255, candidate_std=0.0194, threshold=0.0140."
2687,19,river_logreg,windowed_rf,stay,False,high_uncertainty,-0.00390625,0.014,"Stay because utility uncertainty is too high: current_std=0.0271, candidate_std=0.0097, threshold=0.0140."
2815,20,river_logreg,windowed_rf,stay,False,high_uncertainty,0.00911458333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0176, candidate_std=0.0191, threshold=0.0140."
2943,21,river_logreg,windowed_rf,stay,False,high_uncertainty,0.00651041666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0146, threshold=0.0140."
3071,22,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0013020833333333703,0.014,"Stay because utility uncertainty is too high: current_std=0.0226, candidate_std=0.0241, threshold=0.0140."
3199,23,river_logreg,windowed_rf,stay,False,high_uncertainty,-0.0026041666666666297,0.014,"Stay because utility uncertainty is too high: current_std=0.0159, candidate_std=0.0121, threshold=0.0140."
3327,24,river_logreg,windowed_rf,stay,False,no_candidate_improvement,0.0026041666666666297,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0026, threshold=0.0140."
3455,25,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0026041666666666297,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0176, threshold=0.0140."
3583,26,river_logreg,windowed_rf,stay,False,high_uncertainty,-0.0013020833333333703,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0261, threshold=0.0140."
3711,27,river_logreg,windowed_rf,stay,False,high_uncertainty,0.00520833333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0723, candidate_std=0.0559, threshold=0.0140."
3839,28,river_logreg,windowed_histgb,stay,False,high_uncertainty,0.02734375,0.014,"Stay because utility uncertainty is too high: current_std=0.0635, candidate_std=0.0314, threshold=0.0140."
3967,29,river_logreg,windowed_histgb,stay,False,high_uncertainty,0.04036458333333326,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0080, threshold=0.0140."
4095,30,river_logreg,windowed_rf,stay,False,high_uncertainty,0.03515625,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0271, threshold=0.0140."
4223,31,river_logreg,windowed_rf,stay,False,high_uncertainty,0.03645833333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0147, threshold=0.0140."
4351,32,river_logreg,windowed_rf,stay,False,high_uncertainty,0.04296875,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0092, threshold=0.0140."
4479,33,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0390625,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0209, threshold=0.0140."
4607,34,river_logreg,windowed_rf,stay,False,high_uncertainty,0.03776041666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0208, candidate_std=0.0147, threshold=0.0140."
4735,35,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0234375,0.014,"Stay because utility uncertainty is too high: current_std=0.0133, candidate_std=0.0258, threshold=0.0140."
4863,36,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0013020833333333703,0.014,"Stay because utility uncertainty is too high: current_std=0.0169, candidate_std=0.0226, threshold=0.0140."
4991,37,river_logreg,windowed_histgb,stay,False,high_uncertainty,0.0026041666666667407,0.014,"Stay because utility uncertainty is too high: current_std=0.0184, candidate_std=0.0112, threshold=0.0140."
5119,38,river_logreg,windowed_histgb,stay,False,high_uncertainty,-0.005208333333333259,0.014,"Stay because utility uncertainty is too high: current_std=0.0129, candidate_std=0.0161, threshold=0.0140."
5247,39,river_logreg,windowed_histgb,stay,False,high_uncertainty,-0.02083333333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0151, candidate_std=0.0230, threshold=0.0140."
5375,40,river_logreg,windowed_histgb,stay,False,high_uncertainty,-0.02213541666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0166, candidate_std=0.0097, threshold=0.0140."
5503,41,river_logreg,windowed_histgb,stay,False,high_uncertainty,-0.01302083333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0166, candidate_std=0.0176, threshold=0.0140."
5631,42,river_logreg,windowed_histgb,stay,False,no_candidate_improvement,0.0078125,0.014,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0078, threshold=0.0140."
5759,43,river_logreg,windowed_histgb,stay,False,high_uncertainty,0.00651041666666663,0.014,"Stay because utility uncertainty is too high: current_std=0.0223, candidate_std=0.0296, threshold=0.0140."
5887,44,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0,0.014,"Stay because utility uncertainty is too high: current_std=0.0223, candidate_std=0.0064, threshold=0.0140."
6015,45,river_logreg,windowed_rf,stay,False,high_uncertainty,0.006510416666666741,0.014,"Stay because utility uncertainty is too high: current_std=0.0181, candidate_std=0.0112, threshold=0.0140."
6143,46,river_logreg,windowed_rf,stay,False,high_uncertainty,0.0078125,0.014,"Stay because utility uncertainty is too high: current_std=0.0209, candidate_std=0.0115, threshold=0.0140."
