metric,value
adaptive_score,0.7674343010026755
best_fixed_score,0.7725101892831245
oracle_score,0.924986872702723
oracle_gain,0.1524766834195984
oracle_capture_ratio,0.0
delta_vs_best_fixed,-0.005075888280449026
switch_count,37
block_delta_mean,-0.005083133012820513
block_delta_std,0.05956381793850857
block_delta_ci95,0.004673543658037097
fixed_score::river_logreg,0.7725101892831245
fixed_score::river_nb,0.48703523116545394
fixed_score::river_hoeffding_tree,0.5586477633585878
fixed_score::windowed_rf,0.7666966719175856
fixed_score::windowed_histgb,0.7654339509414148
