sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
63,0,river_linreg,river_hoeffding_tree,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: river_hoeffding_tree.
63,0,river_hoeffding_tree,windowed_rf,stay,False,fixed_share_margin_too_small,0.0024588965050148515,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0025, threshold=0.0100."
127,1,river_hoeffding_tree,windowed_rf,switch,True,fixed_share_weight_advantage,0.19346015792136612,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3115 - 0.1180 = 0.1935 >= 0.0100.
191,2,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
255,3,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
319,4,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
383,5,windowed_rf,river_linreg,switch,True,fixed_share_weight_advantage,0.36644958075252754,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4549 - 0.0884 = 0.3664 >= 0.0100.
447,6,river_linreg,windowed_rf,stay,False,fixed_share_margin_too_small,0.002092202830295431,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0021, threshold=0.0100."
511,7,river_linreg,windowed_rf,switch,True,fixed_share_weight_advantage,0.032624056553692465,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2681 - 0.2355 = 0.0326 >= 0.0100.
575,8,windowed_rf,windowed_histgb,stay,False,fixed_share_margin_too_small,0.00032469753091740605,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0003, threshold=0.0100."
639,9,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
703,10,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
767,11,windowed_rf,river_linreg,stay,False,fixed_share_margin_too_small,0.008893789396419993,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0089, threshold=0.0100."
831,12,windowed_rf,windowed_histgb,stay,False,fixed_share_margin_too_small,0.004405833139704718,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0044, threshold=0.0100."
895,13,windowed_rf,windowed_rf,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
959,14,windowed_rf,river_linreg,switch,True,fixed_share_weight_advantage,0.24403761297613608,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3361 - 0.0920 = 0.2440 >= 0.0100.
1023,15,river_linreg,river_linreg,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1087,16,river_linreg,river_linreg,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,17,river_linreg,windowed_rf,stay,False,fixed_share_margin_too_small,0.0016849277841465282,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0017, threshold=0.0100."
1215,18,river_linreg,windowed_rf,switch,True,fixed_share_weight_advantage,0.02435288562374413,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2601 - 0.2358 = 0.0244 >= 0.0100.
