sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
71,1,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.28190558350305783,0.003,"Stay because utility uncertainty is too high: current_std=0.1577, candidate_std=0.0541, threshold=0.0030."
95,2,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.36866747036231606,0.003,"Stay because utility uncertainty is too high: current_std=0.0376, candidate_std=0.0545, threshold=0.0030."
119,3,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.25155094393269434,0.003,"Stay because utility uncertainty is too high: current_std=0.1185, candidate_std=0.0183, threshold=0.0030."
143,4,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.1510898011228749,0.003,"Stay because utility uncertainty is too high: current_std=0.0124, candidate_std=0.0122, threshold=0.0030."
167,5,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.19133479414951604,0.003,"Stay because utility uncertainty is too high: current_std=0.1096, candidate_std=0.0691, threshold=0.0030."
191,6,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.13057530442197973,0.003,"Stay because utility uncertainty is too high: current_std=0.0298, candidate_std=0.0714, threshold=0.0030."
215,7,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.040623293340128375,0.003,"Stay because utility uncertainty is too high: current_std=0.0332, candidate_std=0.0367, threshold=0.0030."
239,8,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.036160439381325515,0.003,"Stay because utility uncertainty is too high: current_std=0.0108, candidate_std=0.0637, threshold=0.0030."
263,9,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.1045412963861978,0.003,"Stay because utility uncertainty is too high: current_std=0.0404, candidate_std=0.0259, threshold=0.0030."
287,10,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.09918984950026921,0.003,"Stay because utility uncertainty is too high: current_std=0.0010, candidate_std=0.0726, threshold=0.0030."
311,11,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.06290293822636661,0.003,"Stay because utility uncertainty is too high: current_std=0.0340, candidate_std=0.0565, threshold=0.0030."
335,12,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.15919077350010769,0.003,"Stay because utility uncertainty is too high: current_std=0.0175, candidate_std=0.0233, threshold=0.0030."
359,13,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.14468777941580147,0.003,"Stay because utility uncertainty is too high: current_std=0.0162, candidate_std=0.0041, threshold=0.0030."
383,14,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.13314973200704372,0.003,"Stay because utility uncertainty is too high: current_std=0.0115, candidate_std=0.0156, threshold=0.0030."
407,15,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.1409224380942108,0.003,"Stay because utility uncertainty is too high: current_std=0.0086, candidate_std=0.0122, threshold=0.0030."
431,16,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.13793266897802758,0.003,"Stay because utility uncertainty is too high: current_std=0.0072, candidate_std=0.0006, threshold=0.0030."
455,17,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.12747834358411247,0.003,"Stay because utility uncertainty is too high: current_std=0.0027, candidate_std=0.0038, threshold=0.0030."
479,18,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.11764832843835793,0.003,"Stay because utility uncertainty is too high: current_std=0.0007, candidate_std=0.0049, threshold=0.0030."
503,19,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.10807655681196882,0.003,"Stay because utility uncertainty is too high: current_std=0.0024, candidate_std=0.0078, threshold=0.0030."
527,20,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.10429322357929727,0.003,"Stay because utility uncertainty is too high: current_std=0.0067, candidate_std=0.0051, threshold=0.0030."
551,21,pa_regressor,lin_lr_0_0005,switch,True,switch_advantage,0.10568875553443124,0.003,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9273 - 0.8216 = 0.1057 > 0.0030.
575,22,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.009593949095167198,0.003,"Stay because utility uncertainty is too high: current_std=0.0097, candidate_std=0.0150, threshold=0.0030."
