sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
71,1,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.31396260835063,0.003,"Stay because utility uncertainty is too high: current_std=0.1710, candidate_std=0.0500, threshold=0.0030."
95,2,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.42388919569094663,0.003,"Stay because utility uncertainty is too high: current_std=0.0442, candidate_std=0.0553, threshold=0.0030."
119,3,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.29524943041398166,0.003,"Stay because utility uncertainty is too high: current_std=0.1345, candidate_std=0.0169, threshold=0.0030."
143,4,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.17573487989308223,0.003,"Stay because utility uncertainty is too high: current_std=0.0153, candidate_std=0.0133, threshold=0.0030."
167,5,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.22460577799907333,0.003,"Stay because utility uncertainty is too high: current_std=0.1234, candidate_std=0.0725, threshold=0.0030."
191,6,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.16075990736616486,0.003,"Stay because utility uncertainty is too high: current_std=0.0326, candidate_std=0.0821, threshold=0.0030."
215,7,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.039270900203971504,0.003,"Stay because utility uncertainty is too high: current_std=0.0366, candidate_std=0.0487, threshold=0.0030."
239,8,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.04033210942772225,0.003,"Stay because utility uncertainty is too high: current_std=0.0120, candidate_std=0.0723, threshold=0.0030."
263,9,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.12556757529024143,0.003,"Stay because utility uncertainty is too high: current_std=0.0454, candidate_std=0.0362, threshold=0.0030."
287,10,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.12601473178956546,0.003,"Stay because utility uncertainty is too high: current_std=0.0021, candidate_std=0.0833, threshold=0.0030."
311,11,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.06473013739979638,0.003,"Stay because utility uncertainty is too high: current_std=0.0396, candidate_std=0.0700, threshold=0.0030."
335,12,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.18727943749526954,0.003,"Stay because utility uncertainty is too high: current_std=0.0165, candidate_std=0.0295, threshold=0.0030."
359,13,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.17715434576331035,0.003,"Stay because utility uncertainty is too high: current_std=0.0180, candidate_std=0.0051, threshold=0.0030."
383,14,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.165334105693959,0.003,"Stay because utility uncertainty is too high: current_std=0.0143, candidate_std=0.0201, threshold=0.0030."
407,15,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.1769569648908651,0.003,"Stay because utility uncertainty is too high: current_std=0.0099, candidate_std=0.0158, threshold=0.0030."
