sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
47,1,pa_regressor,pa_regressor,stay,False,recent_leader_warmup_same,0.0,0.002,Stay after warmup because the current strategy is already the recent leader.
71,2,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
95,3,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
119,4,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
143,5,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
167,6,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
191,7,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
215,8,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.006124896737033869,0.002,Stay because the candidate fails the incumbent floor check: 0.429116 + 0.001000 < 0.600299.
239,9,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.016934049958322595,0.002,Stay because the candidate fails the incumbent floor check: 0.429558 + 0.001000 < 0.603465.
263,10,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
287,11,pa_regressor,pa_regressor,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
311,12,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.0442284814869639,0.002,Stay because the candidate fails the incumbent floor check: 0.505122 + 0.001000 < 0.628690.
335,13,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.17557897293102454,0.002,Stay because the candidate fails the incumbent floor check: 0.532232 + 0.001000 < 0.634251.
359,14,pa_regressor,lin_lr_0_001,stay,False,recent_leader_incumbent_floor,0.17683213352882254,0.002,Stay because the candidate fails the incumbent floor check: 0.554876 + 0.001000 < 0.641427.
383,15,pa_regressor,lin_lr_0_0005,stay,False,recent_leader_incumbent_floor,0.16981681863186981,0.002,Stay because the candidate fails the incumbent floor check: 0.566546 + 0.001000 < 0.649082.
407,16,pa_regressor,lin_lr_0_0005,stay,False,recent_leader_incumbent_floor,0.1724903172393779,0.002,Stay because the candidate fails the incumbent floor check: 0.589506 + 0.001000 < 0.656879.
