sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
71,1,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.31396260835063,0.003,"Stay because utility uncertainty is too high: current_std=0.1710, candidate_std=0.0500, threshold=0.0030."
95,2,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.42388919569094663,0.003,"Stay because utility uncertainty is too high: current_std=0.0442, candidate_std=0.0553, threshold=0.0030."
119,3,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.29524943041398166,0.003,"Stay because utility uncertainty is too high: current_std=0.1345, candidate_std=0.0169, threshold=0.0030."
143,4,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.17573487989308223,0.003,"Stay because utility uncertainty is too high: current_std=0.0153, candidate_std=0.0133, threshold=0.0030."
167,5,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.22460577799907333,0.003,"Stay because utility uncertainty is too high: current_std=0.1234, candidate_std=0.0725, threshold=0.0030."
191,6,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.16075990736616486,0.003,"Stay because utility uncertainty is too high: current_std=0.0326, candidate_std=0.0821, threshold=0.0030."
215,7,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.039270900203971504,0.003,"Stay because utility uncertainty is too high: current_std=0.0366, candidate_std=0.0487, threshold=0.0030."
239,8,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.04033210942772225,0.003,"Stay because utility uncertainty is too high: current_std=0.0120, candidate_std=0.0723, threshold=0.0030."
263,9,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.12556757529024143,0.003,"Stay because utility uncertainty is too high: current_std=0.0454, candidate_std=0.0362, threshold=0.0030."
287,10,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,-0.12601473178956546,0.003,"Stay because utility uncertainty is too high: current_std=0.0021, candidate_std=0.0833, threshold=0.0030."
311,11,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.06473013739979638,0.003,"Stay because utility uncertainty is too high: current_std=0.0396, candidate_std=0.0700, threshold=0.0030."
335,12,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.18727943749526954,0.003,"Stay because utility uncertainty is too high: current_std=0.0165, candidate_std=0.0295, threshold=0.0030."
359,13,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.17715434576331035,0.003,"Stay because utility uncertainty is too high: current_std=0.0180, candidate_std=0.0051, threshold=0.0030."
383,14,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.165334105693959,0.003,"Stay because utility uncertainty is too high: current_std=0.0143, candidate_std=0.0201, threshold=0.0030."
407,15,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.1769569648908651,0.003,"Stay because utility uncertainty is too high: current_std=0.0099, candidate_std=0.0158, threshold=0.0030."
431,16,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.17528424135421106,0.003,"Stay because utility uncertainty is too high: current_std=0.0083, candidate_std=0.0007, threshold=0.0030."
455,17,pa_regressor,lin_lr_0_001,stay,False,high_uncertainty,0.16264228600366848,0.003,"Stay because utility uncertainty is too high: current_std=0.0036, candidate_std=0.0050, threshold=0.0030."
479,18,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.1497295924475096,0.003,"Stay because utility uncertainty is too high: current_std=0.0010, candidate_std=0.0064, threshold=0.0030."
503,19,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.13713688558693649,0.003,"Stay because utility uncertainty is too high: current_std=0.0029, candidate_std=0.0100, threshold=0.0030."
527,20,pa_regressor,lin_lr_0_0005,stay,False,high_uncertainty,0.13148618008885316,0.003,"Stay because utility uncertainty is too high: current_std=0.0081, candidate_std=0.0066, threshold=0.0030."
551,21,pa_regressor,lin_lr_0_0005,switch,True,switch_advantage,0.13283924804677216,0.003,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9046 - 0.7717 = 0.1328 > 0.0030.
575,22,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.012313411655902384,0.003,"Stay because utility uncertainty is too high: current_std=0.0126, candidate_std=0.0195, threshold=0.0030."
599,23,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.0020940776721866117,0.003,"Stay because utility uncertainty is too high: current_std=0.0090, candidate_std=0.0123, threshold=0.0030."
623,24,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,0.0007870354183017181,0.003,"Stay because utility uncertainty is too high: current_std=0.0051, candidate_std=0.0056, threshold=0.0030."
647,25,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,0.002253172114843327,0.003,"Stay because utility uncertainty is too high: current_std=0.0023, candidate_std=0.0042, threshold=0.0030."
671,26,lin_lr_0_0005,lin_lr_0_001,switch,True,switch_advantage,0.0040506374225868225,0.003,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9452 - 0.9411 = 0.0041 > 0.0030.
695,27,lin_lr_0_001,lin_lr_0_0005,stay,False,high_uncertainty,-0.0007617241923310036,0.003,"Stay because utility uncertainty is too high: current_std=0.0050, candidate_std=0.0019, threshold=0.0030."
719,28,lin_lr_0_001,lin_lr_0_0005,switch,True,switch_advantage,0.005872661602672302,0.003,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9402 - 0.9343 = 0.0059 > 0.0030.
743,29,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.008642497834042695,0.003,"Stay because utility uncertainty is too high: current_std=0.0085, candidate_std=0.0092, threshold=0.0030."
767,30,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.004949312864251265,0.003,"Stay because utility uncertainty is too high: current_std=0.0053, candidate_std=0.0082, threshold=0.0030."
791,31,lin_lr_0_0005,lin_lr_0_001,stay,False,no_candidate_improvement,-0.0012727442084300433,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0013, threshold=0.0030."
815,32,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,0.0003116846616080249,0.003,"Stay because utility uncertainty is too high: current_std=0.0035, candidate_std=0.0026, threshold=0.0030."
