Time,water_flow_lps
2022-03-20 11:00:00+01:00,100.59
2022-03-20 12:00:00+01:00,100.89
2022-03-20 13:00:00+01:00,100.88
2022-03-20 14:00:00+01:00,101.34
2022-03-20 15:00:00+01:00,101.46
2022-03-20 16:00:00+01:00,101.23
2022-03-20 17:00:00+01:00,100.98
2022-03-20 18:00:00+01:00,100.9
2022-03-20 19:00:00+01:00,100.75
2022-03-20 20:00:00+01:00,100.96
2022-03-20 21:00:00+01:00,101.05
2022-03-20 22:00:00+01:00,101.15
2022-03-20 23:00:00+01:00,101.04
2022-03-21 00:00:00+01:00,100.57
2022-03-21 01:00:00+01:00,100.28
2022-03-21 02:00:00+01:00,100.36
2022-03-21 03:00:00+01:00,100.3
2022-03-21 04:00:00+01:00,100.74
2022-03-21 05:00:00+01:00,100.66
2022-03-21 06:00:00+01:00,101.15
2022-03-21 07:00:00+01:00,101.66
2022-03-21 08:00:00+01:00,101.99
2022-03-21 09:00:00+01:00,102.11
2022-03-21 10:00:00+01:00,101.84
2022-03-21 11:00:00+01:00,101.66
2022-03-21 12:00:00+01:00,101.15
2022-03-21 13:00:00+01:00,100.64
2022-03-21 14:00:00+01:00,100.52
2022-03-21 15:00:00+01:00,100.8
2022-03-21 16:00:00+01:00,100.91
2022-03-21 17:00:00+01:00,101.24
2022-03-21 18:00:00+01:00,101.53
2022-03-21 19:00:00+01:00,101.5
2022-03-21 20:00:00+01:00,100.85
2022-03-21 21:00:00+01:00,100.68
2022-03-21 22:00:00+01:00,100.63
2022-03-21 23:00:00+01:00,100.78
2022-03-22 00:00:00+01:00,100.66
2022-03-22 01:00:00+01:00,100.34
2022-03-22 02:00:00+01:00,100.32
2022-03-22 03:00:00+01:00,100.15
2022-03-22 04:00:00+01:00,100.45
2022-03-22 05:00:00+01:00,100.58
2022-03-22 06:00:00+01:00,101.38
2022-03-22 07:00:00+01:00,101.96
2022-03-22 08:00:00+01:00,102.06
2022-03-22 09:00:00+01:00,100.77
2022-03-22 10:00:00+01:00,100.16
2022-03-22 11:00:00+01:00,100.01
2022-03-22 12:00:00+01:00,100.46
2022-03-22 13:00:00+01:00,100.8
2022-03-22 14:00:00+01:00,101.17
2022-03-22 15:00:00+01:00,101.24
2022-03-22 16:00:00+01:00,101.11
2022-03-22 17:00:00+01:00,100.54
2022-03-22 18:00:00+01:00,100.44
2022-03-22 19:00:00+01:00,100.6
2022-03-22 20:00:00+01:00,100.88
2022-03-22 21:00:00+01:00,101.09
2022-03-22 22:00:00+01:00,101.12
2022-03-22 23:00:00+01:00,100.96
2022-03-23 00:00:00+01:00,100.55
2022-03-23 01:00:00+01:00,100.16
2022-03-23 02:00:00+01:00,100.25
2022-03-23 03:00:00+01:00,100.29
2022-03-23 04:00:00+01:00,100.77
2022-03-23 05:00:00+01:00,100.92
2022-03-23 06:00:00+01:00,101.15
2022-03-23 07:00:00+01:00,101.12
2022-03-23 08:00:00+01:00,101.51
2022-03-23 09:00:00+01:00,101.24
2022-03-23 10:00:00+01:00,101.16
2022-03-23 11:00:00+01:00,101.09
2022-03-23 12:00:00+01:00,101.1
2022-03-23 13:00:00+01:00,100.8
2022-03-23 14:00:00+01:00,100.59
2022-03-23 15:00:00+01:00,100.39
2022-03-23 16:00:00+01:00,100.55
2022-03-23 17:00:00+01:00,100.77
2022-03-23 18:00:00+01:00,101.08
2022-03-23 19:00:00+01:00,101.27
2022-03-23 20:00:00+01:00,101.18
2022-03-23 21:00:00+01:00,101.11
2022-03-23 22:00:00+01:00,100.95
2022-03-23 23:00:00+01:00,101.01
2022-03-24 00:00:00+01:00,100.65
2022-03-24 01:00:00+01:00,100.19
2022-03-24 02:00:00+01:00,100.28
2022-03-24 03:00:00+01:00,100.17
