sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
71,1,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.7405706900543478,0.003,"Stay because utility uncertainty is too high: current_std=0.0191, candidate_std=0.0394, threshold=0.0030."
95,2,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.6579599803335554,0.003,"Stay because utility uncertainty is too high: current_std=0.0162, candidate_std=0.0461, threshold=0.0030."
119,3,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.4253368575752932,0.003,"Stay because utility uncertainty is too high: current_std=0.1745, candidate_std=0.0042, threshold=0.0030."
143,4,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.15888387272490534,0.003,"Stay because utility uncertainty is too high: current_std=0.0990, candidate_std=0.0028, threshold=0.0030."
167,5,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.09180612519761472,0.003,"Stay because utility uncertainty is too high: current_std=0.0845, candidate_std=0.0554, threshold=0.0030."
191,6,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.12791959675508435,0.003,"Stay because utility uncertainty is too high: current_std=0.0711, candidate_std=0.0641, threshold=0.0030."
215,7,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.1309626018468223,0.003,"Stay because utility uncertainty is too high: current_std=0.0101, candidate_std=0.0141, threshold=0.0030."
239,8,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.08898084440891241,0.003,"Stay because utility uncertainty is too high: current_std=0.0886, candidate_std=0.0506, threshold=0.0030."
263,9,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.03962466448105384,0.003,"Stay because utility uncertainty is too high: current_std=0.0003, candidate_std=0.0117, threshold=0.0030."
287,10,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.030071192219127685,0.003,"Stay because utility uncertainty is too high: current_std=0.0695, candidate_std=0.0677, threshold=0.0030."
311,11,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.03402865806252442,0.003,"Stay because utility uncertainty is too high: current_std=0.0540, candidate_std=0.0518, threshold=0.0030."
335,12,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.048285920948539895,0.003,"Stay because utility uncertainty is too high: current_std=0.0486, candidate_std=0.0365, threshold=0.0030."
359,13,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.04618159278321954,0.003,"Stay because utility uncertainty is too high: current_std=0.0127, candidate_std=0.0269, threshold=0.0030."
383,14,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.023072324936785904,0.003,"Stay because utility uncertainty is too high: current_std=0.0098, candidate_std=0.0187, threshold=0.0030."
407,15,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.01629217096005786,0.003,"Stay because utility uncertainty is too high: current_std=0.0101, candidate_std=0.0080, threshold=0.0030."
431,16,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.01144307074494022,0.003,"Stay because utility uncertainty is too high: current_std=0.0025, candidate_std=0.0094, threshold=0.0030."
455,17,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0013139050724215728,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0013, threshold=0.0030."
479,18,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,0.0002907564913889882,0.003,"Stay because utility uncertainty is too high: current_std=0.0031, candidate_std=0.0046, threshold=0.0030."
503,19,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.0011146121834595402,0.003,"Stay because utility uncertainty is too high: current_std=0.0100, candidate_std=0.0099, threshold=0.0030."
527,20,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.000873309072568218,0.003,"Stay because utility uncertainty is too high: current_std=0.0047, candidate_std=0.0048, threshold=0.0030."
551,21,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.00016662704099934533,0.003,"Stay because utility uncertainty is too high: current_std=0.0041, candidate_std=0.0047, threshold=0.0030."
575,22,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,0.0011214184479554357,0.003,"Stay because utility uncertainty is too high: current_std=0.0041, candidate_std=0.0034, threshold=0.0030."
599,23,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,0.0007823738719409112,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0008, threshold=0.0030."
623,24,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0019914502683643365,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0020, threshold=0.0030."
647,25,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0036588767442075065,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0037, threshold=0.0030."
671,26,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0026561337546561203,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0027, threshold=0.0030."
695,27,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0013978780001460134,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0014, threshold=0.0030."
719,28,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0007527330002643495,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0008, threshold=0.0030."
743,29,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.00016144615059643375,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0002, threshold=0.0030."
767,30,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,3.8424809484793876e-05,0.003,"Stay because utility uncertainty is too high: current_std=0.0042, candidate_std=0.0041, threshold=0.0030."
791,31,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.00012120271624949108,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0001, threshold=0.0030."
815,32,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,3.441970276973905e-05,0.003,"Stay because utility uncertainty is too high: current_std=0.0034, candidate_std=0.0032, threshold=0.0030."
839,33,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,0.0002560928282934194,0.003,"Stay because utility uncertainty is too high: current_std=0.0097, candidate_std=0.0097, threshold=0.0030."
863,34,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.00015000689616639917,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0002, threshold=0.0030."
887,35,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.0008376142399083575,0.003,"Stay because utility uncertainty is too high: current_std=0.1090, candidate_std=0.1093, threshold=0.0030."
911,36,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,0.008299363741326116,0.003,"Stay because utility uncertainty is too high: current_std=0.1306, candidate_std=0.1212, threshold=0.0030."
935,37,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.017459047856183907,0.003,"Stay because utility uncertainty is too high: current_std=0.0602, candidate_std=0.0250, threshold=0.0030."
959,38,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.07442901379397626,0.003,"Stay because utility uncertainty is too high: current_std=0.0770, candidate_std=0.0552, threshold=0.0030."
983,39,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.07132297088940709,0.003,"Stay because utility uncertainty is too high: current_std=0.0296, candidate_std=0.0544, threshold=0.0030."
1007,40,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.039762743933483446,0.003,"Stay because utility uncertainty is too high: current_std=0.0496, candidate_std=0.0563, threshold=0.0030."
1031,41,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.028872813669067132,0.003,"Stay because utility uncertainty is too high: current_std=0.0237, candidate_std=0.0279, threshold=0.0030."
1055,42,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.024374138478568952,0.003,"Stay because utility uncertainty is too high: current_std=0.0034, candidate_std=0.0037, threshold=0.0030."
1079,43,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.02074375181570509,0.003,"Stay because utility uncertainty is too high: current_std=0.0014, candidate_std=0.0047, threshold=0.0030."
1103,44,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.013956109654348903,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0140, threshold=0.0030."
1127,45,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.008680097838794198,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0087, threshold=0.0030."
1151,46,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.005809210679781351,0.003,"Stay because utility uncertainty is too high: current_std=0.0029, candidate_std=0.0039, threshold=0.0030."
1175,47,tree_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.0034010769281278552,0.003,"Stay because utility uncertainty is too high: current_std=0.0017, candidate_std=0.0031, threshold=0.0030."
1199,48,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0008296180508675643,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0008, threshold=0.0030."
1223,49,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-5.930424783773258e-05,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0001, threshold=0.0030."
1247,50,tree_regressor,lin_lr_0_002,stay,False,no_candidate_improvement,-0.0009142711900020917,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0009, threshold=0.0030."
