sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
71,1,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.0003702395476274656,0.003,"Stay because utility uncertainty is too high: current_std=0.0398, candidate_std=0.0402, threshold=0.0030."
95,2,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.0048704910215987,0.003,"Stay because utility uncertainty is too high: current_std=0.0398, candidate_std=0.0439, threshold=0.0030."
119,3,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.03628989493709933,0.003,"Stay because utility uncertainty is too high: current_std=0.0237, candidate_std=0.0470, threshold=0.0030."
143,4,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.16183121992117344,0.003,"Stay because utility uncertainty is too high: current_std=0.0314, candidate_std=0.1337, threshold=0.0030."
167,5,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.3256296621168909,0.003,"Stay because utility uncertainty is too high: current_std=0.0547, candidate_std=0.1163, threshold=0.0030."
191,6,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.33494078052946197,0.003,"Stay because utility uncertainty is too high: current_std=0.0552, candidate_std=0.0029, threshold=0.0030."
215,7,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.2374661164341989,0.003,"Stay because utility uncertainty is too high: current_std=0.0017, candidate_std=0.0469, threshold=0.0030."
239,8,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.17378355644590937,0.003,"Stay because utility uncertainty is too high: current_std=0.0077, candidate_std=0.0262, threshold=0.0030."
263,9,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.1496007504580572,0.003,"Stay because utility uncertainty is too high: current_std=0.0540, candidate_std=0.0482, threshold=0.0030."
287,10,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.12342252957325273,0.003,"Stay because utility uncertainty is too high: current_std=0.0471, candidate_std=0.0266, threshold=0.0030."
311,11,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.08122938960543946,0.003,"Stay because utility uncertainty is too high: current_std=0.0229, candidate_std=0.0012, threshold=0.0030."
335,12,lin_lr_0_001,pa_regressor,stay,False,high_uncertainty,0.04067236886262959,0.003,"Stay because utility uncertainty is too high: current_std=0.0100, candidate_std=0.0088, threshold=0.0030."
359,13,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.011995664035437725,0.003,"Stay because utility uncertainty is too high: current_std=0.0111, candidate_std=0.0064, threshold=0.0030."
383,14,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.006116305116934173,0.003,"Stay because utility uncertainty is too high: current_std=0.0115, candidate_std=0.0103, threshold=0.0030."
407,15,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.004217194671767621,0.003,"Stay because utility uncertainty is too high: current_std=0.0038, candidate_std=0.0031, threshold=0.0030."
431,16,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.0016894047115579847,0.003,"Stay because utility uncertainty is too high: current_std=0.0040, candidate_std=0.0022, threshold=0.0030."
455,17,lin_lr_0_001,lin_lr_0_002,stay,False,no_candidate_improvement,-0.00013184415708145103,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0001, threshold=0.0030."
479,18,lin_lr_0_001,lin_lr_0_002,stay,False,high_uncertainty,0.000993486802073451,0.003,"Stay because utility uncertainty is too high: current_std=0.0042, candidate_std=0.0030, threshold=0.0030."
503,19,lin_lr_0_001,lin_lr_0_002,stay,False,no_candidate_improvement,0.0010238946680444228,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0010, threshold=0.0030."
