evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.060000000000000005,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.060000000000000005,True
2,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0067, threshold=0.0600.",0.986108293909386,0.9793698361000135,0.986108293909386,0.9793698361000135,False,no_candidate_improvement,-0.0067384578093725445,0.060000000000000005,False
3,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0023, threshold=0.0600.",1.0168389568033285,1.0145836784375926,1.0168389568033285,1.0145836784375926,False,no_candidate_improvement,-0.0022552783657359132,0.060000000000000005,False
4,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0009, threshold=0.0600.",1.0295211839188554,1.028584346495044,1.0295211839188554,1.028584346495044,False,no_candidate_improvement,-0.0009368374238114541,0.060000000000000005,False
5,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0004, threshold=0.0600.",1.0358929639250207,1.035503803823107,1.0358929639250207,1.035503803823107,False,no_candidate_improvement,-0.0003891601019136992,0.060000000000000005,False
6,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0002, threshold=0.0600.",1.0387274378389533,1.0385657816315128,1.0387274378389533,1.0385657816315128,False,no_candidate_improvement,-0.00016165620744046372,0.060000000000000005,False
7,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0001, threshold=0.0600.",1.02316112118393,1.0230939570388944,1.02316112118393,1.0230939570388944,False,no_candidate_improvement,-6.716414503560308e-05,0.060000000000000005,False
8,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.983990517395207,0.9839625783929024,0.983990517395207,0.9839625783929024,False,no_candidate_improvement,-2.793900230468882e-05,0.060000000000000005,False
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.9183983700584805,0.918386689548737,0.9183983700584805,0.918386689548737,False,no_candidate_improvement,-1.1680509743428047e-05,0.060000000000000005,False
10,stay,fixed,adaptive_meta,"Stay because utility uncertainty is too high: current_std=0.0683, candidate_std=0.0683, threshold=0.0600.",0.8403970966895336,0.8403921412965417,0.8403970966895336,0.8403921412965417,False,high_uncertainty,-4.955392991834451e-06,0.060000000000000005,True
11,stay,fixed,adaptive_meta,"Stay because utility uncertainty is too high: current_std=0.0736, candidate_std=0.0736, threshold=0.0600.",0.7537578709308449,0.7537556910849222,0.7537578709308449,0.7537556910849222,False,high_uncertainty,-2.1798459226562983e-06,0.060000000000000005,True
12,stay,fixed,adaptive_meta,"Stay because utility uncertainty is too high: current_std=0.0764, candidate_std=0.0764, threshold=0.0600.",0.6620884894104672,0.6620874511369151,0.6620884894104672,0.6620874511369151,False,high_uncertainty,-1.0382735520231279e-06,0.060000000000000005,True
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.5843445034453315,0.5843439447293889,0.5843445034453315,0.5843439447293889,False,no_candidate_improvement,-5.587159426223565e-07,0.060000000000000005,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.5274043179188009,0.5274039805245447,0.5274043179188009,0.5274039805245447,False,no_candidate_improvement,-3.3739425620016306e-07,0.060000000000000005,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.4954791807303495,0.4954789679587594,0.4954791807303495,0.4954789679587594,False,no_candidate_improvement,-2.1277159012456082e-07,0.060000000000000005,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.4750609046830913,0.47506077050253337,0.4750609046830913,0.47506077050253337,False,no_candidate_improvement,-1.3418055794245376e-07,0.060000000000000005,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.46174688774074396,0.46174680312220007,0.46174688774074396,0.46174680312220007,False,no_candidate_improvement,-8.461854389407719e-08,0.060000000000000005,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0600.",0.45355899307404357,0.45355893971088806,0.45355899307404357,0.45355893971088806,False,no_candidate_improvement,-5.336315550552584e-08,0.060000000000000005,False
