episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.686419133674885,True,fixed,8,0.05,0.041245368433414635,False
1,0.8943146585560261,True,fixed,8,0.05,0.017133230777345534,False
2,0.9808110147015594,True,fixed,8,0.05,0.0071171044900150415,False
3,1.0131776026813946,True,fixed,8,0.05,0.002956428765832561,False
4,1.0212838075911759,True,fixed,8,0.05,0.0012280936804714288,False
5,1.0391656316383158,True,fixed,8,0.05,0.0005101472781770672,False
6,1.0393715628280304,True,fixed,8,0.05,0.00021191400099997149,False
7,1.0328435440886135,True,fixed,8,0.05,8.802858652952328e-05,False
8,1.0424816321067891,True,fixed,8,0.05,3.656687151305793e-05,False
9,1.0412581878230613,True,fixed,8,0.05,1.5189793963199527e-05,False
10,1.0462246451552581,True,fixed,8,0.05,6.309805326412676e-06,False
11,1.0371647393833527,True,fixed,8,0.05,2.621078558001644e-06,False
12,0.7362379177284935,False,fixed,8,0.05,-0.018006005603135505,False
13,0.6329072132461009,False,fixed,8,0.05,-0.011355162021304238,False
14,0.5648929559877577,False,fixed,8,0.05,-0.007160927713341217,False
15,0.5147602741435613,False,fixed,8,0.05,-0.0045159096470389695,False
16,0.4908051712973931,False,fixed,8,0.05,-0.0028478768054347736,False
17,0.46903325955391856,False,fixed,8,0.05,-0.0017959620392873285,False
18,0.4603971240433518,False,fixed,8,0.05,-0.001132591002674592,False
19,0.45195614728312555,False,fixed,8,0.05,-0.0007142480471627605,False
20,0.44703234624374905,False,fixed,8,0.05,-0.00045042762274388054,False
21,0.44604298099989764,False,fixed,8,0.05,-0.00028405403996081824,False
22,0.43773076922281384,False,fixed,8,0.05,-0.00017913354675394566,False
23,0.4434428507715537,False,fixed,8,0.05,-0.0001129673338815182,False
