window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,5,0.9391953081405595,0.014974650224171462,1.0,5.635171848843357,0,0.05000000000000001,0.0,0.011698395570876046,0.9391953081405595,0.014974650224171462,0.05000000000000001,0.0
1,1,6,0.9980207129994171,0.0025374699049809566,1.0,5.988124277996502,0,0.05000000000000001,0.0,0.004859486498806934,0.9980207129994171,0.0025374699049809566,0.05000000000000001,0.0
2,2,7,1.0211088605881817,0.00041402131870890555,1.0,6.12665316352909,0,0.05000000000000001,0.0,0.0020186194670042657,1.0211088605881817,0.00041402131870890555,0.05000000000000001,0.0
3,3,8,1.0313872968223865,0.00011385489716906312,1.0,6.1883237809343195,0,0.05000000000000001,0.0,0.0008385298639206016,1.0313872968223865,0.00011385489716906312,0.05000000000000001,0.0
4,4,9,1.0360673943459977,5.292517241167298e-05,1.0,6.216404366075986,0,0.05000000000000001,0.0,0.00034832336860904134,1.0360673943459977,5.292517241167298e-05,0.05000000000000001,0.0
5,5,10,1.040224200606678,1.6415351900321428e-05,1.0,6.241345203640068,0,0.05000000000000001,0.0,0.0001446927227515387,1.040224200606678,1.6415351900321428e-05,0.05000000000000001,0.0
6,6,11,1.0398907185641841,1.767743074703083e-05,1.0,6.239344311385105,0,0.05000000000000001,0.0,6.0105022815027755e-05,1.0398907185641841,1.767743074703083e-05,0.05000000000000001,0.0
7,7,12,0.989368444380928,0.012832636230879135,0.8333333333333334,5.936210666285568,0,0.05000000000000001,0.0,-0.0029762149112075517,0.989368444380928,0.012832636230879135,0.05000000000000001,0.0
8,8,13,0.9227123892405092,0.029252027378590503,0.6666666666666666,5.536274335443055,0,0.05000000000000001,0.0,-0.004883413345846512,0.9227123892405092,0.029252027378590503,0.05000000000000001,0.0
9,9,14,0.8431142765540041,0.041864513714763324,0.5,5.058685659324024,0,0.05000000000000001,0.0,-0.0060829957766555575,0.8431142765540041,0.041864513714763324,0.05000000000000001,0.0
10,10,15,0.7553646242740873,0.04559040246050987,0.3333333333333333,4.532187745644524,0,0.05000000000000001,0.0,-0.006838179016822586,0.7553646242740873,0.04559040246050987,0.05000000000000001,0.0
11,11,16,0.6627947119644432,0.034586572530883423,0.16666666666666666,3.9767682717866593,0,0.05000000000000001,0.0,-0.007313876785282784,0.6627947119644432,0.034586572530883423,0.05000000000000001,0.0
12,12,17,0.5681061319928709,0.008519075855617385,0.0,3.408636791957225,0,0.05000000000000001,0.0,-0.007613640638257005,0.5681061319928709,0.008519075855617385,0.05000000000000001,0.0
13,13,18,0.5221326663786806,0.0036276718181749565,0.0,3.1327959982720834,0,0.05000000000000001,0.0,-0.00480140487151352,0.5221326663786806,0.0036276718181749565,0.05000000000000001,0.0
14,14,19,0.49197415538485134,0.0014937599659244536,0.0,2.951844932309108,0,0.05000000000000001,0.0,-0.003027919209156607,0.49197415538485134,0.0014937599659244536,0.05000000000000001,0.0
15,15,20,0.4723307204275165,0.0005583312169195534,0.0,2.833984322565099,0,0.05000000000000001,0.0,-0.0019095025273903842,0.4723307204275165,0.0005583312169195534,0.05000000000000001,0.0
16,16,21,0.4608778382369059,0.00024229240905949192,0.0,2.7652670294214357,0,0.05000000000000001,0.0,-0.0012041932595440255,0.4608778382369059,0.00024229240905949192,0.05000000000000001,0.0
17,17,22,0.45203210455780946,0.00010406899470962513,0.0,2.7121926273468566,0,0.05000000000000001,0.0,-0.0007594027164305543,0.45203210455780946,0.00010406899470962513,0.05000000000000001,0.0
18,18,23,0.4477670364274153,5.0000856786551485e-05,0.0,2.6866022185644916,0,0.05000000000000001,0.0,-0.0004789035988629192,0.4477670364274153,5.0000856786551485e-05,0.05000000000000001,0.0
