sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
383,1,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.0012507491519246905,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0013, threshold=0.0100."
511,2,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0012841702141814793,0.01,"Stay because utility uncertainty is too high: current_std=0.0120, candidate_std=0.0124, threshold=0.0100."
639,3,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00046587341067350074,0.01,"Stay because utility uncertainty is too high: current_std=0.0127, candidate_std=0.0114, threshold=0.0100."
767,4,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0017583762654242996,0.01,"Stay because utility uncertainty is too high: current_std=0.0102, candidate_std=0.0101, threshold=0.0100."
895,5,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00010309980504896732,0.01,"Stay because utility uncertainty is too high: current_std=0.0223, candidate_std=0.0239, threshold=0.0100."
1023,6,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0006052341363196323,0.01,"Stay because utility uncertainty is too high: current_std=0.0163, candidate_std=0.0154, threshold=0.0100."
1151,7,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0008697934178384381,0.01,"Stay because utility uncertainty is too high: current_std=0.0284, candidate_std=0.0290, threshold=0.0100."
1279,8,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00042565955003692757,0.01,"Stay because utility uncertainty is too high: current_std=0.0120, candidate_std=0.0110, threshold=0.0100."
1407,9,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,-2.1526888342560113e-05,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0100."
1535,10,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.001464224306596984,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0015, threshold=0.0100."
1663,11,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.001722961861333916,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0017, threshold=0.0100."
1791,12,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.001612827444720466,0.01,"Stay because utility uncertainty is too high: current_std=0.0347, candidate_std=0.0341, threshold=0.0100."
1919,13,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.00017308637882096356,0.01,"Stay because utility uncertainty is too high: current_std=0.0194, candidate_std=0.0217, threshold=0.0100."
2047,14,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0036172020275867522,0.01,"Stay because utility uncertainty is too high: current_std=0.0581, candidate_std=0.0570, threshold=0.0100."
2175,15,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0013007673839136036,0.01,"Stay because utility uncertainty is too high: current_std=0.0413, candidate_std=0.0448, threshold=0.0100."
2303,16,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.001685169978571821,0.01,"Stay because utility uncertainty is too high: current_std=0.0168, candidate_std=0.0164, threshold=0.0100."
2431,17,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0017647132129819942,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0018, threshold=0.0100."
2559,18,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0018030440841125817,0.01,"Stay because utility uncertainty is too high: current_std=0.0653, candidate_std=0.0658, threshold=0.0100."
2687,19,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0019946355797004767,0.01,"Stay because utility uncertainty is too high: current_std=0.0838, candidate_std=0.0784, threshold=0.0100."
2815,20,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.0055045140786483815,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0055, threshold=0.0100."
2943,21,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.004681598278077903,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0047, threshold=0.0100."
3071,22,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.007273861318037422,0.01,"Stay because utility uncertainty is too high: current_std=0.0205, candidate_std=0.0190, threshold=0.0100."
3199,23,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.006921743100307687,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0069, threshold=0.0100."
3327,24,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0037137203229908877,0.01,"Stay because utility uncertainty is too high: current_std=0.0121, candidate_std=0.0108, threshold=0.0100."
3455,25,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.004609513153689737,0.01,"Stay because utility uncertainty is too high: current_std=0.0567, candidate_std=0.0625, threshold=0.0100."
3583,26,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00997026336126039,0.01,"Stay because utility uncertainty is too high: current_std=0.0191, candidate_std=0.0187, threshold=0.0100."
3711,27,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.006311345608514873,0.01,"Stay because utility uncertainty is too high: current_std=0.0223, candidate_std=0.0255, threshold=0.0100."
3839,28,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.004887846462582224,0.01,"Stay because utility uncertainty is too high: current_std=0.0527, candidate_std=0.0545, threshold=0.0100."
3967,29,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00541120150370189,0.01,"Stay because utility uncertainty is too high: current_std=0.0350, candidate_std=0.0337, threshold=0.0100."
4095,30,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.002162021559781735,0.01,"Stay because utility uncertainty is too high: current_std=0.0126, candidate_std=0.0145, threshold=0.0100."
