sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_0_0005,sgd_lr_0_001,stay,False,hedge_margin_too_small,0.001145181362026626,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0011, threshold=0.0100."
255,1,sgd_lr_0_0005,sgd_lr_0_0001,switch,True,warmup_leader,,0.01,Switch after warmup because cumulative reward leader differs from the starting strategy: sgd_lr_0_0001.
255,1,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
383,2,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
511,3,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
639,4,sgd_lr_0_0001,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.04812554893705717,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3522 - 0.3040 = 0.0481 >= 0.0100.
767,5,sgd_lr_0_001,sgd_lr_0_0005,stay,False,hedge_margin_too_small,0.008069327277680893,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0081, threshold=0.0100."
895,6,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.054117596855641825,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3894 - 0.3352 = 0.0541 >= 0.0100.
1023,7,sgd_lr_0_0005,sgd_lr_0_001,stay,False,hedge_margin_too_small,0.00451718771586429,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0045, threshold=0.0100."
1151,8,sgd_lr_0_0005,sgd_lr_0_001,stay,False,hedge_margin_too_small,0.006498245442005779,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0065, threshold=0.0100."
1279,9,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1407,10,sgd_lr_0_0005,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.032080048424292795,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4198 - 0.3877 = 0.0321 >= 0.0100.
1535,11,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1663,12,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1791,13,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1919,14,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.04140419482006796,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4990 - 0.4576 = 0.0414 >= 0.0100.
2047,15,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
