sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,1,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.0,0.002,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0156, threshold=0.0020."
383,2,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,-0.00390625,0.002,"Stay because utility uncertainty is too high: current_std=0.0000, candidate_std=0.0039, threshold=0.0020."
511,3,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.0,0.002,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0078, threshold=0.0020."
639,4,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,-0.00390625,0.002,"Stay because utility uncertainty is too high: current_std=0.0117, candidate_std=0.0156, threshold=0.0020."
767,5,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,-0.00390625,0.002,"Stay because utility uncertainty is too high: current_std=0.0312, candidate_std=0.0352, threshold=0.0020."
895,6,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.00390625,0.002,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0195, threshold=0.0020."
1023,7,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.00390625,0.002,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0195, threshold=0.0020."
1151,8,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.0078125,0.002,"Stay because utility uncertainty is too high: current_std=0.0273, candidate_std=0.0195, threshold=0.0020."
1279,9,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.01171875,0.002,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0039, threshold=0.0020."
1407,10,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.015625,0.002,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0156, threshold=0.0020."
1535,11,sgd_lr_1_0,sgd_lr_0_5,stay,False,high_uncertainty,0.01171875,0.002,"Stay because utility uncertainty is too high: current_std=0.0156, candidate_std=0.0039, threshold=0.0020."
