sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_1_0,sgd_lr_0_5,switch,True,hedge_weight_advantage,0.1437302620750987,0.015,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4867 - 0.3430 = 0.1437 >= 0.0150.
255,1,sgd_lr_0_5,sgd_lr_1_0,stay,False,hedge_margin_too_small,0.0,0.015,"Stay because candidate Hedge weight advantage is too small: margin=0.0000, threshold=0.0150."
383,2,sgd_lr_0_5,sgd_lr_1_0,stay,False,hedge_margin_too_small,0.0,0.015,"Stay because candidate Hedge weight advantage is too small: margin=0.0000, threshold=0.0150."
511,3,sgd_lr_0_5,sgd_lr_1_0,stay,False,hedge_margin_too_small,0.0,0.015,"Stay because candidate Hedge weight advantage is too small: margin=0.0000, threshold=0.0150."
639,4,sgd_lr_0_5,sgd_lr_1_0,switch,True,hedge_weight_advantage,0.17172455378121504,0.015,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.5815 - 0.4098 = 0.1717 >= 0.0150.
767,5,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
895,6,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1023,7,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1151,8,sgd_lr_1_0,sgd_lr_0_5,switch,True,hedge_weight_advantage,0.3363578588401424,0.015,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.6682 - 0.3318 = 0.3364 >= 0.0150.
1279,9,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1407,10,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1535,11,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1663,12,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1791,13,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1919,14,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
2047,15,sgd_lr_0_5,sgd_lr_0_5,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
2175,16,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2303,17,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2431,18,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2559,19,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2687,20,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2815,21,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
2943,22,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3071,23,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3199,24,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3327,25,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3455,26,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3583,27,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3711,28,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3839,29,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
3967,30,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4095,31,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4223,32,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4351,33,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4479,34,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4607,35,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4735,36,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4863,37,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
4991,38,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5119,39,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5247,40,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5375,41,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5503,42,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5631,43,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5759,44,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
5887,45,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6015,46,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6143,47,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6271,48,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6399,49,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6527,50,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6655,51,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6783,52,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
6911,53,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7039,54,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7167,55,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7295,56,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7423,57,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7551,58,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7679,59,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7807,60,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
7935,61,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8063,62,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8191,63,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8319,64,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8447,65,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8575,66,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8703,67,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8831,68,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
8959,69,sgd_lr_0_5,sgd_lr_0_1,stay,False,hedge_margin_too_small,nan,0.015,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0150."
