sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.08589421767048439,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3932 - 0.3073 = 0.0859 >= 0.0150.
255,1,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.036143041497983086,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4129 - 0.3767 = 0.0361 >= 0.0150.
383,2,sgd_lr_1_0,sgd_lr_0_1,switch,True,fixed_share_weight_advantage,0.052420881261191044,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3692 - 0.3167 = 0.0524 >= 0.0150.
511,3,sgd_lr_0_1,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.11646503128673341,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3845 - 0.2681 = 0.1165 >= 0.0150.
639,4,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
767,5,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
895,6,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.22329207888171765,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5256 - 0.3023 = 0.2233 >= 0.0150.
1023,7,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,8,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1279,9,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1407,10,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1535,11,sgd_lr_0_5,sgd_lr_0_1,stay,False,fixed_share_margin_too_small,0.011161086698020295,0.015,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0112, threshold=0.0150."
1663,12,sgd_lr_0_5,sgd_lr_0_1,switch,True,fixed_share_weight_advantage,0.07832493153592829,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3793 - 0.3010 = 0.0783 >= 0.0150.
1791,13,sgd_lr_0_1,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.161800439518052,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3973 - 0.2355 = 0.1618 >= 0.0150.
1919,14,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2047,15,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.017086699305570774,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3970 - 0.3799 = 0.0171 >= 0.0150.
2175,16,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2303,17,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2431,18,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2559,19,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2687,20,sgd_lr_1_0,sgd_lr_0_1,switch,True,fixed_share_weight_advantage,0.10487170404436286,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4216 - 0.3167 = 0.1049 >= 0.0150.
2815,21,sgd_lr_0_1,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.12357828218437178,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3858 - 0.2622 = 0.1236 >= 0.0150.
2943,22,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3071,23,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3199,24,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.05358697595699191,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4100 - 0.3564 = 0.0536 >= 0.0150.
3327,25,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.021991663999545996,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3767 - 0.3548 = 0.0220 >= 0.0150.
3455,26,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3583,27,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.10765014767423559,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4077 - 0.3001 = 0.1077 >= 0.0150.
3711,28,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.07344593190499765,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4532 - 0.3797 = 0.0734 >= 0.0150.
3839,29,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3967,30,sgd_lr_0_5,sgd_lr_0_1,switch,True,fixed_share_weight_advantage,0.021368384854361988,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3456 - 0.3242 = 0.0214 >= 0.0150.
4095,31,sgd_lr_0_1,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.03469964469708747,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3544 - 0.3197 = 0.0347 >= 0.0150.
4223,32,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.08875435460575892,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4204 - 0.3317 = 0.0888 >= 0.0150.
4351,33,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
