sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
255,1,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
383,2,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,4,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.019586689473533037,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3566 - 0.3370 = 0.0196 >= 0.0150.
767,5,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.02507091258479266,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3899 - 0.3649 = 0.0251 >= 0.0150.
895,6,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,7,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,8,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1279,9,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1407,10,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1535,11,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.017376223940413826,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3958 - 0.3784 = 0.0174 >= 0.0150.
1663,12,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1791,13,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.045992914028201826,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4197 - 0.3737 = 0.0460 >= 0.0150.
1919,14,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2047,15,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.021169394658857976,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4303 - 0.4091 = 0.0212 >= 0.0150.
2175,16,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.20759767558955516,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5274 - 0.3198 = 0.2076 >= 0.0150.
2303,17,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2431,18,sgd_lr_1_0,sgd_lr_0_5,stay,False,fixed_share_margin_too_small,0.007939900996777771,0.015,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0079, threshold=0.0150."
2559,19,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2687,20,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.14901594766586493,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3989 - 0.2499 = 0.1490 >= 0.0150.
2815,21,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.07083341976786539,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4357 - 0.3649 = 0.0708 >= 0.0150.
2943,22,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3071,23,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3199,24,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3327,25,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3455,26,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3583,27,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3711,28,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3839,29,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.017947227213932715,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3752 - 0.3573 = 0.0179 >= 0.0150.
3967,30,sgd_lr_0_5,sgd_lr_0_1,switch,True,fixed_share_weight_advantage,0.02338812284948988,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3493 - 0.3259 = 0.0234 >= 0.0150.
4095,31,sgd_lr_0_1,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.031632979314142995,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3439 - 0.3123 = 0.0316 >= 0.0150.
4223,32,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.043073798467043456,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3795 - 0.3365 = 0.0431 >= 0.0150.
4351,33,sgd_lr_1_0,sgd_lr_0_5,stay,False,fixed_share_margin_too_small,0.001918719443726291,0.015,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0019, threshold=0.0150."
4479,34,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.03907406758888826,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3942 - 0.3551 = 0.0391 >= 0.0150.
4607,35,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.02573245239899591,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3755 - 0.3498 = 0.0257 >= 0.0150.
4735,36,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.017660786517513793,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3658 - 0.3482 = 0.0177 >= 0.0150.
