sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_1_0,sgd_lr_0_5,switch,True,hedge_weight_advantage,0.1513422704321572,0.015,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.5125 - 0.3611 = 0.1513 >= 0.0150.
255,1,sgd_lr_0_5,sgd_lr_1_0,switch,True,warmup_leader,,0.015,Switch after warmup because cumulative reward leader differs from the starting strategy: sgd_lr_1_0.
255,1,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
383,2,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
511,3,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
639,4,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
767,5,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
895,6,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1023,7,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1151,8,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1279,9,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1407,10,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1535,11,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1663,12,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
1791,13,sgd_lr_1_0,sgd_lr_1_0,stay,False,hedge_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Hedge expert.
