episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7195982962120624,True,drift_aware,20,0.18,0.021065874272527475,False
1,0.8863514173422896,True,drift_aware,20,0.18,0.0027986468327036995,False
2,0.9092046341497891,True,drift_aware,20,0.18,0.00037180626794193207,False
3,0.9148837712038294,True,drift_aware,20,0.18,4.939526462056642e-05,False
4,0.9120570538763223,True,drift_aware,20,0.18,6.562267442244973e-06,False
5,0.9145973640576021,True,drift_aware,20,0.18,8.718113834182972e-07,False
6,0.9115519656264365,True,drift_aware,20,0.18,1.1582202264492913e-07,False
7,0.9109813322924687,True,drift_aware,20,0.18,1.5387205515304815e-08,False
8,0.9146573224692334,True,drift_aware,20,0.18,2.0442234405226857e-09,False
9,0.9133755260380116,True,drift_aware,20,0.18,2.715794922281134e-10,False
10,0.9143448552330911,True,drift_aware,20,0.18,3.607992793419612e-11,False
11,0.9181932951348866,True,drift_aware,20,0.18,4.79329353986202e-12,False
12,0.9126602637293185,True,drift_aware,20,0.18,6.367961713493742e-13,False
13,0.9106731976872322,True,drift_aware,20,0.18,8.459899447643693e-14,False
14,0.9116909302065178,True,drift_aware,20,0.18,1.124100812432971e-14,False
15,0.9143503055903318,True,drift_aware,20,0.18,1.4932499681208355e-15,False
16,0.9181530149360583,True,drift_aware,20,0.18,1.9984014443252818e-16,False
17,0.9145284508538551,True,drift_aware,20,0.18,0.0,False
18,0.9117907220284576,True,drift_aware,20,0.18,0.0,False
19,0.9140558710794521,True,drift_aware,20,0.18,0.0,False
20,0.9141007908167014,True,drift_aware,20,0.18,0.0,False
21,0.912722160568468,True,drift_aware,20,0.18,0.0,False
22,0.9123199906903624,True,drift_aware,20,0.18,0.0,False
23,0.9146639526267363,True,drift_aware,20,0.18,0.0,False
24,0.9123722103966669,True,drift_aware,20,0.18,0.0,False
25,0.9130324806033961,True,drift_aware,20,0.18,0.0,False
26,0.9142679536744437,True,drift_aware,20,0.18,0.0,False
27,0.9136756914456526,True,drift_aware,20,0.18,0.0,False
28,0.9170928196560297,True,drift_aware,20,0.18,0.0,False
29,0.9126158353089731,True,drift_aware,20,0.18,0.0,False
30,0.9106294544181243,True,drift_aware,20,0.18,0.0,False
31,0.9130246096635017,True,drift_aware,20,0.18,0.0,False
32,0.9120302922727254,True,drift_aware,20,0.18,0.0,False
33,0.9135893370525927,True,drift_aware,20,0.18,0.0,False
34,0.9127209310351452,True,drift_aware,20,0.18,0.0,False
35,0.9130458867172339,True,drift_aware,20,0.18,0.0,False
36,0.9149890739746116,True,drift_aware,20,0.18,0.0,False
37,0.9163243306488619,True,drift_aware,20,0.18,0.0,False
38,0.9199055757878265,True,drift_aware,20,0.18,0.0,False
39,0.9163351881698809,True,drift_aware,20,0.18,0.0,False
40,0.9164971445545413,True,drift_aware,20,0.18,0.0,False
41,0.9138325206660085,True,drift_aware,20,0.18,0.0,False
42,0.9127964195170006,True,drift_aware,20,0.18,0.0,False
43,0.919508831397493,True,drift_aware,20,0.18,0.0,False
44,0.9172142252880231,True,drift_aware,20,0.18,0.0,False
45,0.9117763497727861,True,drift_aware,20,0.18,0.0,False
46,0.9120916928949871,True,drift_aware,20,0.18,0.0,False
47,0.9172501769467178,True,drift_aware,20,0.18,0.0,False
48,0.9110980069341007,True,drift_aware,20,0.18,0.0,False
49,0.9156525887635482,True,drift_aware,20,0.18,0.0,False
50,0.9164157996783905,True,drift_aware,20,0.18,0.0,False
51,0.9137882915677883,True,drift_aware,20,0.18,0.0,False
52,0.9151649881148766,True,drift_aware,20,0.18,0.0,False
53,0.9136042218052562,True,drift_aware,20,0.18,0.0,False
54,0.9127209187895321,True,drift_aware,20,0.18,0.0,False
55,0.9168393963897138,True,drift_aware,20,0.18,0.0,False
56,0.9139227846038949,True,drift_aware,20,0.18,0.0,False
57,0.9128783202803741,True,drift_aware,20,0.18,0.0,False
58,0.9158995579282655,True,drift_aware,20,0.18,0.0,False
59,0.9160554151992931,True,drift_aware,20,0.18,0.0,False
