window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.8849032293451,0.003978312969242505,1.0,7.0792258347608,0,0.18,0.0,0.003036660990730937,0.8849032293451,0.003978312969242505,0.18,0.0
1,1,8,0.9092856076272464,7.876074098901731e-05,1.0,7.274284861017971,0,0.18,0.0,0.0004034269621929328,0.9092856076272464,7.876074098901731e-05,0.18,0.0
2,2,9,0.9126636212142116,3.6935587678094104e-06,1.0,7.301308969713693,0,0.18,0.0,5.3596142052406845e-05,0.9126636212142116,3.6935587678094104e-06,0.18,0.0
3,3,10,0.9133061488496244,2.138461544839742e-06,1.0,7.306449190796995,0,0.18,0.0,7.120363069656326e-06,0.9133061488496244,2.138461544839742e-06,0.18,0.0
4,4,11,0.9137198393410065,4.641735037312838e-06,1.0,7.309758714728052,0,0.18,0.0,9.459555912472162e-07,0.9137198393410065,4.641735037312838e-06,0.18,0.0
5,5,12,0.9137952405726311,4.430780313497202e-06,1.0,7.3103619245810485,0,0.18,0.0,1.256722405661159e-07,0.9137952405726311,4.430780313497202e-06,0.18,0.0
6,6,13,0.9133047197763349,5.32813837353905e-06,1.0,7.306437758210679,0,0.18,0.0,1.6695828213703078e-08,0.9133047197763349,5.32813837353905e-06,0.18,0.0
7,7,14,0.913322090348845,5.269357844957756e-06,1.0,7.30657672279076,0,0.18,0.0,2.2180767882129526e-09,0.913322090348845,5.269357844957756e-06,0.18,0.0
8,8,15,0.9137432120110779,4.539274178597877e-06,1.0,7.309945696088623,0,0.18,0.0,2.9467628545609695e-10,0.9137432120110779,4.539274178597877e-06,0.18,0.0
9,9,16,0.914180173569431,6.674684263551554e-06,1.0,7.313441388555448,0,0.18,0.0,3.914838037077928e-11,0.914180173569431,6.674684263551554e-06,0.18,0.0
10,10,17,0.9143242891714114,6.588144883945698e-06,1.0,7.314594313371291,0,0.18,0.0,5.2009438422651044e-12,0.9143242891714114,6.588144883945698e-06,0.18,0.0
11,11,18,0.9140050225208323,7.2885311278939405e-06,1.0,7.312040180166658,0,0.18,0.0,6.909528504905893e-13,0.9140050225208323,7.2885311278939405e-06,0.18,0.0
12,12,19,0.913487844513903,4.828677797827095e-06,1.0,7.307902756111224,0,0.18,0.0,9.179115800783677e-14,0.913487844513903,4.828677797827095e-06,0.18,0.0
13,13,20,0.9136679103998258,4.75760572644153e-06,1.0,7.309343283198606,0,0.18,0.0,1.2191636589165e-14,0.9136679103998258,4.75760572644153e-06,0.18,0.0
14,14,21,0.9139240307599803,3.6827754016238336e-06,1.0,7.311392246079842,0,0.18,0.0,1.6167622796103842e-15,0.9139240307599803,3.6827754016238336e-06,0.18,0.0
15,15,22,0.9140026633204609,3.3748681299392744e-06,1.0,7.312021306563687,0,0.18,0.0,2.1163626406917047e-16,0.9140026633204609,3.3748681299392744e-06,0.18,0.0
16,16,23,0.9140418692000114,3.412887078797093e-06,1.0,7.312334953600091,0,0.18,0.0,2.4980018054066023e-17,0.9140418692000114,3.412887078797093e-06,0.18,0.0
17,17,24,0.9133192686325875,1.1265156558268666e-06,1.0,7.3065541490607,0,0.18,0.0,0.0,0.9133192686325875,1.1265156558268666e-06,0.18,0.0
18,18,25,0.9131322723512801,9.190637627862821e-07,1.0,7.305058178810241,0,0.18,0.0,0.0,0.9131322723512801,9.190637627862821e-07,0.18,0.0
19,19,26,0.9134419263070284,7.594300403654055e-07,1.0,7.307535410456227,0,0.18,0.0,0.0,0.9134419263070284,7.594300403654055e-07,0.18,0.0
20,20,27,0.9133944038528035,7.168864012660475e-07,1.0,7.307155230822428,0,0.18,0.0,0.0,0.9133944038528035,7.168864012660475e-07,0.18,0.0
21,21,28,0.9137684074577195,2.224419818624488e-06,1.0,7.310147259661756,0,0.18,0.0,0.0,0.9137684074577195,2.224419818624488e-06,0.18,0.0
22,22,29,0.9137551168002827,2.2534669276490776e-06,1.0,7.310040934402261,0,0.18,0.0,0.0,0.9137551168002827,2.2534669276490776e-06,0.18,0.0
23,23,30,0.9135437997662529,3.172584335761076e-06,1.0,7.308350398130023,0,0.18,0.0,0.0,0.9135437997662529,3.172584335761076e-06,0.18,0.0
24,24,31,0.9133388818958486,3.007444993643221e-06,1.0,7.306711055166788,0,0.18,0.0,0.0,0.9133388818958486,3.007444993643221e-06,0.18,0.0
25,25,32,0.9132961421303558,3.1028624328908056e-06,1.0,7.3063691370428465,0,0.18,0.0,0.0,0.9132961421303558,3.1028624328908056e-06,0.18,0.0
26,26,33,0.9133657491865054,3.1000730233283437e-06,1.0,7.306925993492043,0,0.18,0.0,0.0,0.9133657491865054,3.1000730233283437e-06,0.18,0.0
27,27,34,0.9131723713565931,3.0129052270102004e-06,1.0,7.305378970852745,0,0.18,0.0,0.0,0.9131723713565931,3.0129052270102004e-06,0.18,0.0
28,28,35,0.9130936457655408,2.9770409148165233e-06,1.0,7.304749166124326,0,0.18,0.0,0.0,0.9130936457655408,2.9770409148165233e-06,0.18,0.0
29,29,36,0.9128306775553635,1.357795671424273e-06,1.0,7.302645420442908,0,0.18,0.0,0.0,0.9128306775553635,1.357795671424273e-06,0.18,0.0
30,30,37,0.9132942394728496,2.6628378634404914e-06,1.0,7.306353915782797,0,0.18,0.0,0.0,0.9132942394728496,2.6628378634404914e-06,0.18,0.0
31,31,38,0.9144537546440623,5.894448491398557e-06,1.0,7.3156300371524985,0,0.18,0.0,0.0,0.9144537546440623,5.894448491398557e-06,0.18,0.0
32,32,39,0.9148675769573598,5.910366676492305e-06,1.0,7.318940615658878,0,0.18,0.0,0.0,0.9148675769573598,5.910366676492305e-06,0.18,0.0
33,33,40,0.9154259334925867,4.924267927577026e-06,1.0,7.323407467940694,0,0.18,0.0,0.0,0.9154259334925867,4.924267927577026e-06,0.18,0.0
34,34,41,0.9154563314442637,4.819078636174031e-06,1.0,7.32365065155411,0,0.18,0.0,0.0,0.9154563314442637,4.819078636174031e-06,0.18,0.0
35,35,42,0.9154657675044957,4.768079104765147e-06,1.0,7.323726140035966,0,0.18,0.0,0.0,0.9154657675044957,4.768079104765147e-06,0.18,0.0
36,36,43,0.916273635589528,5.426746089238715e-06,1.0,7.330189084716224,0,0.18,0.0,0.0,0.916273635589528,5.426746089238715e-06,0.18,0.0
37,37,44,0.9165517795037045,5.253708357045112e-06,1.0,7.332414236029636,0,0.18,0.0,0.0,0.9165517795037045,5.253708357045112e-06,0.18,0.0
38,38,45,0.915983281894195,7.774643341698374e-06,1.0,7.32786625515356,0,0.18,0.0,0.0,0.915983281894195,7.774643341698374e-06,0.18,0.0
39,39,46,0.9150065465325901,6.790640818930968e-06,1.0,7.3200523722607205,0,0.18,0.0,0.0,0.9150065465325901,6.790640818930968e-06,0.18,0.0
40,40,47,0.9151209201296947,7.186133103573351e-06,1.0,7.320967361037558,0,0.18,0.0,0.0,0.9151209201296947,7.186133103573351e-06,0.18,0.0
41,41,48,0.9144460279271396,8.516883232471189e-06,1.0,7.315568223417117,0,0.18,0.0,0.0,0.9144460279271396,8.516883232471189e-06,0.18,0.0
42,42,49,0.9146735364393321,8.600047845912945e-06,1.0,7.317388291514657,0,0.18,0.0,0.0,0.9146735364393321,8.600047845912945e-06,0.18,0.0
43,43,50,0.9151259589595058,8.334350865911497e-06,1.0,7.321007671676046,0,0.18,0.0,0.0,0.9151259589595058,8.334350865911497e-06,0.18,0.0
44,44,51,0.9144108914807927,5.645502272198036e-06,1.0,7.3152871318463415,0,0.18,0.0,0.0,0.9144108914807927,5.645502272198036e-06,0.18,0.0
