window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.9996626732835382,0.005975197669292159,1.0,7.997301386268306,0,0.08,0.0,0.00344291119653513,0.9996626732835382,0.005975197669292159,0.08,0.0
1,1,8,1.0294460744111995,7.625899510898045e-05,1.0,8.235568595289596,0,0.08,0.0,0.00042232246217614386,1.0294460744111995,7.625899510898045e-05,0.08,0.0
2,2,9,1.0327636686845472,3.2737746263576838e-06,1.0,8.262109349476377,0,0.08,0.0,4.69682494811538e-05,1.0327636686845472,3.2737746263576838e-06,0.08,0.0
3,3,10,1.0333281961660643,2.190799957555089e-06,1.0,8.266625569328514,0,0.08,0.0,5.223535702923721e-06,1.0333281961660643,2.190799957555089e-06,0.08,0.0
4,4,11,1.0337237421430878,4.631431057760899e-06,1.0,8.269789937144703,0,0.08,0.0,5.809312789192834e-07,1.0337237421430878,4.631431057760899e-06,0.08,0.0
5,5,12,1.0337958673651824,4.431205395974694e-06,1.0,8.270366938921459,0,0.08,0.0,6.460780016051548e-08,1.0337958673651824,4.431205395974694e-06,0.08,0.0
6,6,13,1.0333048150912263,5.327802465809067e-06,1.0,8.26643852072981,0,0.08,0.0,7.185303999707183e-09,1.0333048150912263,5.327802465809067e-06,0.08,0.0
7,7,14,1.0333221043511143,5.2693064488435e-06,1.0,8.266576834808914,0,0.08,0.0,7.991077459468254e-10,1.0333221043511143,5.2693064488435e-06,0.08,0.0
8,8,15,1.0337432140202787,4.539277235042276e-06,1.0,8.26994571216223,0,0.08,0.0,8.887211869201827e-11,1.0337432140202787,4.539277235042276e-06,0.08,0.0
9,9,16,1.034180173852925,6.674683917251972e-06,1.0,8.2734413908234,0,0.08,0.0,9.88383819233718e-12,1.034180173852925,6.674683917251972e-06,0.08,0.0
10,10,17,1.0343242892109168,6.588144918909126e-06,1.0,8.274594313687334,0,0.08,0.0,1.0992207144511212e-12,1.0343242892109168,6.588144918909126e-06,0.08,0.0
11,11,18,1.0340050225262856,7.288531164938773e-06,1.0,8.272040180210285,0,0.08,0.0,1.2224665724147598e-13,1.0340050225262856,7.288531164938773e-06,0.08,0.0
12,12,19,1.0334878445146503,4.828677796224984e-06,1.0,8.267902756117202,0,0.08,0.0,1.359329315775426e-14,1.0334878445146503,4.828677796224984e-06,0.08,0.0
13,13,20,1.0336679103999278,4.7576057258711915e-06,1.0,8.269343283199422,0,0.08,0.0,1.5092094240998222e-15,1.0336679103999278,4.7576057258711915e-06,0.08,0.0
14,14,21,1.0339240307599942,3.682775401573115e-06,1.0,8.271392246079953,0,0.08,0.0,1.6514567491299204e-16,1.0339240307599942,3.682775401573115e-06,0.08,0.0
15,15,22,1.0340026633204629,3.3748681299415694e-06,1.0,8.272021306563703,0,0.08,0.0,1.5959455978986624e-17,1.0340026633204629,3.3748681299415694e-06,0.08,0.0
16,16,23,1.034041869200012,3.412887078798267e-06,1.0,8.272334953600096,0,0.08,0.0,0.0,1.034041869200012,3.412887078798267e-06,0.08,0.0
