episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7395982962120624,True,greedy_reward,20,0.08,0.021065874272527475,False
1,0.9063514173422895,True,greedy_reward,20,0.08,0.0027986468327036995,False
2,0.929204634149789,True,greedy_reward,20,0.08,0.00037180626794193207,False
3,0.9348837712038295,True,greedy_reward,20,0.08,4.939526462056642e-05,False
4,0.9320570538763222,True,greedy_reward,20,0.08,6.562267442244973e-06,False
5,0.9345973640576022,True,greedy_reward,20,0.08,8.718113834182972e-07,False
6,0.9315519656264366,True,greedy_reward,20,0.08,1.1582202264492913e-07,False
7,0.9309813322924686,True,greedy_reward,20,0.08,1.5387205515304815e-08,False
8,0.9346573224692332,True,greedy_reward,20,0.08,2.0442234405226857e-09,False
9,0.9333755260380118,True,greedy_reward,20,0.08,2.715794922281134e-10,False
10,0.9343448552330912,True,greedy_reward,20,0.08,3.607992793419612e-11,False
11,0.9381932951348869,True,greedy_reward,20,0.08,4.79329353986202e-12,False
12,0.9326602637293187,True,greedy_reward,20,0.08,6.367961713493742e-13,False
13,0.9306731976872321,True,greedy_reward,20,0.08,8.459899447643693e-14,False
14,0.9316909302065177,True,greedy_reward,20,0.08,1.124100812432971e-14,False
15,0.9343503055903317,True,greedy_reward,20,0.08,1.4932499681208355e-15,False
16,0.9381530149360581,True,greedy_reward,20,0.08,1.9984014443252818e-16,False
17,0.9345284508538555,True,greedy_reward,20,0.08,0.0,False
18,0.9317907220284576,True,greedy_reward,20,0.08,0.0,False
19,0.934055871079452,True,greedy_reward,20,0.08,0.0,False
20,0.9341007908167013,True,greedy_reward,20,0.08,0.0,False
21,0.9327221605684681,True,greedy_reward,20,0.08,0.0,False
22,0.9323199906903623,True,greedy_reward,20,0.08,0.0,False
23,0.9346639526267362,True,greedy_reward,20,0.08,0.0,False
24,0.9323722103966668,True,greedy_reward,20,0.08,0.0,False
25,0.9330324806033963,True,greedy_reward,20,0.08,0.0,False
26,0.9342679536744436,True,greedy_reward,20,0.08,0.0,False
27,0.9336756914456525,True,greedy_reward,20,0.08,0.0,False
28,0.9370928196560298,True,greedy_reward,20,0.08,0.0,False
29,0.932615835308973,True,greedy_reward,20,0.08,0.0,False
30,0.9306294544181245,True,greedy_reward,20,0.08,0.0,False
31,0.9330246096635019,True,greedy_reward,20,0.08,0.0,False
32,0.9320302922727253,True,greedy_reward,20,0.08,0.0,False
33,0.9335893370525927,True,greedy_reward,20,0.08,0.0,False
34,0.9327209310351451,True,greedy_reward,20,0.08,0.0,False
35,0.9330458867172338,True,greedy_reward,20,0.08,0.0,False
36,0.9349890739746114,True,greedy_reward,20,0.08,0.0,False
37,0.936324330648862,True,greedy_reward,20,0.08,0.0,False
38,0.9399055757878267,True,greedy_reward,20,0.08,0.0,False
39,0.9363351881698809,True,greedy_reward,20,0.08,0.0,False
40,0.9364971445545415,True,greedy_reward,20,0.08,0.0,False
41,0.9338325206660087,True,greedy_reward,20,0.08,0.0,False
42,0.9327964195170008,True,greedy_reward,20,0.08,0.0,False
43,0.9395088313974931,True,greedy_reward,20,0.08,0.0,False
44,0.9372142252880231,True,greedy_reward,20,0.08,0.0,False
45,0.9317763497727862,True,greedy_reward,20,0.08,0.0,False
46,0.9320916928949871,True,greedy_reward,20,0.08,0.0,False
47,0.937250176946718,True,greedy_reward,20,0.08,0.0,False
48,0.931098006934101,True,greedy_reward,20,0.08,0.0,False
49,0.9356525887635483,True,greedy_reward,20,0.08,0.0,False
50,0.9364157996783902,True,greedy_reward,20,0.08,0.0,False
51,0.9337882915677881,True,greedy_reward,20,0.08,0.0,False
52,0.9351649881148765,True,greedy_reward,20,0.08,0.0,False
53,0.9336042218052562,True,greedy_reward,20,0.08,0.0,False
54,0.9327209187895322,True,greedy_reward,20,0.08,0.0,False
55,0.9368393963897137,True,greedy_reward,20,0.08,0.0,False
56,0.933922784603895,True,greedy_reward,20,0.08,0.0,False
57,0.9328783202803745,True,greedy_reward,20,0.08,0.0,False
58,0.9358995579282654,True,greedy_reward,20,0.08,0.0,False
59,0.936055415199293,True,greedy_reward,20,0.08,0.0,False
