window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.9049032293451,0.003978312969242505,1.0,7.2392258347608,0,0.08,0.0,0.003036660990730937,0.9049032293451,0.003978312969242505,0.08,0.0
1,1,8,0.9292856076272463,7.876074098901789e-05,1.0,7.434284861017971,0,0.08,0.0,0.0004034269621929328,0.9292856076272463,7.876074098901789e-05,0.08,0.0
2,2,9,0.9326636212142116,3.6935587678095633e-06,1.0,7.461308969713693,0,0.08,0.0,5.3596142052406845e-05,0.9326636212142116,3.6935587678095633e-06,0.08,0.0
3,3,10,0.9333061488496244,2.138461544839828e-06,1.0,7.466449190796995,0,0.08,0.0,7.120363069656326e-06,0.9333061488496244,2.138461544839828e-06,0.08,0.0
4,4,11,0.9337198393410066,4.641735037313253e-06,1.0,7.469758714728052,0,0.08,0.0,9.459555912472162e-07,0.9337198393410066,4.641735037313253e-06,0.08,0.0
5,5,12,0.9337952405726311,4.43078031349753e-06,1.0,7.470361924581049,0,0.08,0.0,1.256722405661159e-07,0.9337952405726311,4.43078031349753e-06,0.08,0.0
6,6,13,0.9333047197763349,5.328138373539484e-06,1.0,7.466437758210679,0,0.08,0.0,1.6695828213703078e-08,0.9333047197763349,5.328138373539484e-06,0.08,0.0
7,7,14,0.9333220903488451,5.269357844958283e-06,1.0,7.4665767227907605,0,0.08,0.0,2.2180767882129526e-09,0.9333220903488451,5.269357844958283e-06,0.08,0.0
8,8,15,0.9337432120110779,4.539274178598299e-06,1.0,7.469945696088623,0,0.08,0.0,2.9467628545609695e-10,0.9337432120110779,4.539274178598299e-06,0.08,0.0
9,9,16,0.9341801735694311,6.674684263551769e-06,1.0,7.4734413885554485,0,0.08,0.0,3.914838037077928e-11,0.9341801735694311,6.674684263551769e-06,0.08,0.0
10,10,17,0.9343242891714115,6.588144883945952e-06,1.0,7.474594313371292,0,0.08,0.0,5.2009438422651044e-12,0.9343242891714115,6.588144883945952e-06,0.08,0.0
11,11,18,0.9340050225208323,7.288531127894212e-06,1.0,7.472040180166658,0,0.08,0.0,6.909528504905893e-13,0.9340050225208323,7.288531127894212e-06,0.08,0.0
12,12,19,0.9334878445139029,4.828677797826989e-06,1.0,7.467902756111223,0,0.08,0.0,9.179115800783677e-14,0.9334878445139029,4.828677797826989e-06,0.08,0.0
13,13,20,0.9336679103998258,4.757605726441449e-06,1.0,7.469343283198606,0,0.08,0.0,1.2191636589165e-14,0.9336679103998258,4.757605726441449e-06,0.08,0.0
14,14,21,0.9339240307599802,3.6827754016236574e-06,1.0,7.471392246079842,0,0.08,0.0,1.6167622796103842e-15,0.9339240307599802,3.6827754016236574e-06,0.08,0.0
15,15,22,0.9340026633204608,3.3748681299390855e-06,1.0,7.472021306563686,0,0.08,0.0,2.1163626406917047e-16,0.9340026633204608,3.3748681299390855e-06,0.08,0.0
16,16,23,0.9340418692000114,3.4128870787968974e-06,1.0,7.472334953600091,0,0.08,0.0,2.4980018054066023e-17,0.9340418692000114,3.4128870787968974e-06,0.08,0.0
17,17,24,0.9333192686325875,1.1265156558269253e-06,1.0,7.4665541490607,0,0.08,0.0,0.0,0.9333192686325875,1.1265156558269253e-06,0.08,0.0
18,18,25,0.93313227235128,9.190637627862166e-07,1.0,7.46505817881024,0,0.08,0.0,0.0,0.93313227235128,9.190637627862166e-07,0.08,0.0
19,19,26,0.9334419263070284,7.594300403653428e-07,1.0,7.467535410456227,0,0.08,0.0,0.0,0.9334419263070284,7.594300403653428e-07,0.08,0.0
20,20,27,0.9333944038528034,7.168864012659901e-07,1.0,7.467155230822427,0,0.08,0.0,0.0,0.9333944038528034,7.168864012659901e-07,0.08,0.0
21,21,28,0.9337684074577195,2.2244198186244813e-06,1.0,7.470147259661756,0,0.08,0.0,0.0,0.9337684074577195,2.2244198186244813e-06,0.08,0.0
22,22,29,0.9337551168002826,2.25346692764913e-06,1.0,7.4700409344022605,0,0.08,0.0,0.0,0.9337551168002826,2.25346692764913e-06,0.08,0.0
23,23,30,0.9335437997662528,3.1725843357609036e-06,1.0,7.468350398130022,0,0.08,0.0,0.0,0.9335437997662528,3.1725843357609036e-06,0.08,0.0
24,24,31,0.9333388818958486,3.0074449936430647e-06,1.0,7.466711055166789,0,0.08,0.0,0.0,0.9333388818958486,3.0074449936430647e-06,0.08,0.0
25,25,32,0.9332961421303558,3.1028624328906594e-06,1.0,7.466369137042847,0,0.08,0.0,0.0,0.9332961421303558,3.1028624328906594e-06,0.08,0.0
26,26,33,0.9333657491865054,3.1000730233282065e-06,1.0,7.466925993492043,0,0.08,0.0,0.0,0.9333657491865054,3.1000730233282065e-06,0.08,0.0
27,27,34,0.9331723713565931,3.012905227010101e-06,1.0,7.465378970852745,0,0.08,0.0,0.0,0.9331723713565931,3.012905227010101e-06,0.08,0.0
28,28,35,0.9330936457655408,2.9770409148164394e-06,1.0,7.464749166124326,0,0.08,0.0,0.0,0.9330936457655408,2.9770409148164394e-06,0.08,0.0
29,29,36,0.9328306775553634,1.3577956714240618e-06,1.0,7.462645420442907,0,0.08,0.0,0.0,0.9328306775553634,1.3577956714240618e-06,0.08,0.0
30,30,37,0.9332942394728496,2.662837863440384e-06,1.0,7.466353915782797,0,0.08,0.0,0.0,0.9332942394728496,2.662837863440384e-06,0.08,0.0
31,31,38,0.9344537546440623,5.894448491398996e-06,1.0,7.475630037152499,0,0.08,0.0,0.0,0.9344537546440623,5.894448491398996e-06,0.08,0.0
32,32,39,0.9348675769573598,5.910366676492807e-06,1.0,7.478940615658878,0,0.08,0.0,0.0,0.9348675769573598,5.910366676492807e-06,0.08,0.0
33,33,40,0.9354259334925867,4.924267927577495e-06,1.0,7.483407467940694,0,0.08,0.0,0.0,0.9354259334925867,4.924267927577495e-06,0.08,0.0
34,34,41,0.9354563314442638,4.819078636174409e-06,1.0,7.48365065155411,0,0.08,0.0,0.0,0.9354563314442638,4.819078636174409e-06,0.08,0.0
35,35,42,0.9354657675044957,4.7680791047653745e-06,1.0,7.483726140035966,0,0.08,0.0,0.0,0.9354657675044957,4.7680791047653745e-06,0.08,0.0
36,36,43,0.9362736355895281,5.426746089238853e-06,1.0,7.490189084716225,0,0.08,0.0,0.0,0.9362736355895281,5.426746089238853e-06,0.08,0.0
37,37,44,0.9365517795037046,5.253708357045117e-06,1.0,7.492414236029637,0,0.08,0.0,0.0,0.9365517795037046,5.253708357045117e-06,0.08,0.0
38,38,45,0.9359832818941951,7.774643341698379e-06,1.0,7.487866255153561,0,0.08,0.0,0.0,0.9359832818941951,7.774643341698379e-06,0.08,0.0
39,39,46,0.9350065465325902,6.790640818931e-06,1.0,7.4800523722607215,0,0.08,0.0,0.0,0.9350065465325902,6.790640818931e-06,0.08,0.0
40,40,47,0.9351209201296948,7.186133103573424e-06,1.0,7.480967361037559,0,0.08,0.0,0.0,0.9351209201296948,7.186133103573424e-06,0.08,0.0
41,41,48,0.9344460279271397,8.51688323247104e-06,1.0,7.475568223417118,0,0.08,0.0,0.0,0.9344460279271397,8.51688323247104e-06,0.08,0.0
42,42,49,0.9346735364393322,8.60004784591282e-06,1.0,7.477388291514657,0,0.08,0.0,0.0,0.9346735364393322,8.60004784591282e-06,0.08,0.0
