episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7093519568431017,True,adaptive_meta,20,0.22,0.021153219113448096,False
1,0.8759929439371834,True,adaptive_meta,20,0.22,0.0028102507832083456,False
2,0.905279713849918,True,adaptive_meta,20,0.22,0.0003733478777942778,False
3,0.9108509683916786,True,adaptive_meta,20,0.22,4.9600070814442844e-05,False
4,0.9061373990902981,True,adaptive_meta,20,0.22,6.5894763868257215e-06,False
5,0.9089879077627814,True,adaptive_meta,20,0.22,8.75426150404035e-07,False
6,0.9000344503933521,True,adaptive_meta,20,0.22,1.1630225222880597e-07,False
7,0.9093057233754521,True,adaptive_meta,20,0.22,1.545100505873087e-08,False
8,0.9068583421470997,True,adaptive_meta,20,0.22,2.052699338284114e-09,False
9,0.9085953815489081,True,adaptive_meta,20,0.22,2.7270554148195457e-10,False
10,0.9045135949599423,True,adaptive_meta,20,0.22,3.622951383341899e-11,False
11,0.9087587425510193,True,adaptive_meta,20,0.22,4.813172083117933e-12,False
12,0.9065511359267593,True,adaptive_meta,20,0.22,6.394385021479821e-13,False
13,0.9030862835886871,True,adaptive_meta,20,0.22,8.495426584431698e-14,False
14,0.9051124977141957,True,adaptive_meta,20,0.22,1.1285417045314717e-14,False
15,0.9059735013857395,True,adaptive_meta,20,0.22,1.4932499681208355e-15,False
16,0.9048796262351659,True,adaptive_meta,20,0.22,2.0539125955565397e-16,False
17,0.9095885631664824,True,adaptive_meta,20,0.22,0.0,False
18,0.9079964610954502,True,adaptive_meta,20,0.22,0.0,False
19,0.9074946478955743,True,adaptive_meta,20,0.22,0.0,False
20,0.9078511113773298,True,adaptive_meta,20,0.22,0.0,False
21,0.9249946896711061,True,adaptive_meta,20,0.22,0.0006806893815311077,False
22,0.9474153866376855,True,adaptive_meta,20,0.22,0.0007720262306514791,False
23,0.9748326533911718,True,adaptive_meta,20,0.22,0.0007835528875685616,False
24,0.9890949711297597,True,adaptive_meta,20,0.22,0.000784743607662991,False
25,1.0175829732637047,True,adaptive_meta,20,0.22,0.0007846646539910629,False
26,1.0475492568936358,True,adaptive_meta,20,0.22,0.0007844476239744546,False
27,1.071420472044529,True,adaptive_meta,20,0.22,0.0007842269000404356,False
28,1.0932882980469998,True,adaptive_meta,20,0.22,0.0007840170128895263,False
29,1.1166824954272676,True,adaptive_meta,20,0.22,0.0007838187747839897,False
30,1.1399178827717038,True,adaptive_meta,20,0.22,0.0007836315541584149,False
31,1.1621122587868005,True,adaptive_meta,20,0.22,0.0007834546275691301,False
32,1.1899735399992015,True,adaptive_meta,20,0.22,0.0007832873167802568,False
33,1.1933219655117502,True,adaptive_meta,20,0.22,6.209332105157061e-05,False
34,1.176544047851038,True,adaptive_meta,20,0.22,-0.0007105120719395897,False
35,1.150383252319759,True,adaptive_meta,20,0.22,-0.0007711426887460404,False
36,1.1320269165332486,True,adaptive_meta,20,0.22,-0.0007759658020923931,False
37,1.1085541598082984,True,adaptive_meta,20,0.22,-0.0007762140691924491,False
38,1.076788330581519,True,adaptive_meta,20,0.22,-0.0007760622426399799,False
39,1.0532917940708937,True,adaptive_meta,20,0.22,-0.0007758647582201961,False
40,1.02848154274935,True,adaptive_meta,20,0.22,-0.0007756523726432929,False
41,1.0097922434139837,True,adaptive_meta,20,0.22,-0.0007754271735556373,False
42,0.9837758656571374,True,adaptive_meta,20,0.22,-0.0007751885370099632,False
43,0.9593317803131297,True,adaptive_meta,20,0.22,-0.0007749355027000637,False
44,0.9391185096950517,True,adaptive_meta,20,0.22,-0.0007746669928695215,False
45,0.9102570195659755,True,adaptive_meta,20,0.22,-0.0007743818246174373,False
46,0.9085283459034864,True,adaptive_meta,20,0.22,-0.00010287829561363981,False
47,0.9042343580245207,True,adaptive_meta,20,0.22,-1.3667603463701772e-05,False
48,0.9051435722971446,True,adaptive_meta,20,0.22,-1.8157705989008122e-06,False
49,0.9075266881398798,True,adaptive_meta,20,0.22,-2.4122904038748063e-07,False
50,0.9060264147382856,True,adaptive_meta,20,0.22,-3.20477983040135e-08,False
51,0.90646481111719,True,adaptive_meta,20,0.22,-4.257619129477419e-09,False
52,0.9047274841606002,True,adaptive_meta,20,0.22,-5.656338841752983e-10,False
53,0.9066607966666975,True,adaptive_meta,20,0.22,-7.514568411970402e-11,False
54,0.9087309505683022,True,adaptive_meta,20,0.22,-9.983258664192362e-12,False
55,0.9037226785935966,True,adaptive_meta,20,0.22,-1.3263057319079507e-12,False
56,0.9060347786243869,True,adaptive_meta,20,0.22,-1.7619794512313546e-13,False
57,0.9042878178522378,True,adaptive_meta,20,0.22,-2.3414603589344552e-14,False
58,0.9020052487127334,True,adaptive_meta,20,0.22,-3.1030733538273125e-15,False
59,0.9039704473727003,True,adaptive_meta,20,0.22,-4.1078251911130794e-16,False
