window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.8782426329554707,0.0041858272069956156,1.0,7.025941063643765,0,0.22,0.0,0.00304925181263246,0.8782426329554707,0.0041858272069956156,0.22,0.0
1,1,8,0.9029309311184704,0.00011316493266628452,1.0,7.223447448947764,0,0.22,0.0,0.00040509968003886524,0.9029309311184704,0.00011316493266628452,0.22,0.0
2,2,9,0.907006235819936,9.86067991895979e-06,1.0,7.256049886559488,0,0.22,0.0,5.3818366226014716e-05,0.907006235819936,9.86067991895979e-06,0.22,0.0
3,3,10,0.906910470958689,1.0255556553304542e-05,1.0,7.255283767669512,0,0.22,0.0,7.149886030419217e-06,0.906910470958689,1.0255556553304542e-05,0.22,0.0
4,4,11,0.9066489427286066,8.673233020626755e-06,1.0,7.253191541828853,0,0.22,0.0,9.49877780260372e-07,0.9066489427286066,8.673233020626755e-06,0.22,0.0
5,5,12,0.9067006598331643,8.639044521297139e-06,1.0,7.253605278665314,0,0.22,0.0,1.2619331183696957e-07,0.9067006598331643,8.639044521297139e-06,0.22,0.0
6,6,13,0.9059629568114025,9.073865341118547e-06,1.0,7.24770365449122,0,0.22,0.0,1.676505365574843e-08,0.9059629568114025,9.073865341118547e-06,0.22,0.0
7,7,14,0.9065977127265079,4.367961810251763e-06,1.0,7.252781701812063,0,0.22,0.0,2.2272735378248144e-09,0.9065977127265079,4.367961810251763e-06,0.22,0.0
8,8,15,0.9061811849777939,3.3265062101965584e-06,1.0,7.249449479822351,0,0.22,0.0,2.958980921397014e-10,0.9061811849777939,3.3265062101965584e-06,0.22,0.0
9,9,16,0.9059338454888022,3.4197685534529894e-06,1.0,7.2474707639104174,0,0.22,0.0,3.93107005280946e-11,0.9059338454888022,3.4197685534529894e-06,0.22,0.0
10,10,17,0.9060579931909989,4.1885042895302956e-06,1.0,7.248463945527991,0,0.22,0.0,5.222507842850277e-12,0.9060579931909989,4.1885042895302956e-06,0.22,0.0
11,11,18,0.9064933514579374,4.1705289590007105e-06,1.0,7.251946811663499,0,0.22,0.0,6.938186136729029e-13,0.9064933514579374,4.1705289590007105e-06,0.22,0.0
12,12,19,0.9063353396260068,3.62938593889685e-06,1.0,7.250682717008054,0,0.22,0.0,9.217210328316127e-14,0.9063353396260068,3.62938593889685e-06,0.22,0.0
13,13,20,0.9064978365573281,3.884355181044285e-06,1.0,7.251982692458625,0,0.22,0.0,1.2242290514663524e-14,0.9064978365573281,3.884355181044285e-06,0.22,0.0
14,14,21,0.9092363873176305,3.7696555096145996e-05,1.0,7.273891098541044,0,0.22,0.0,8.508617269301147e-05,0.9092363873176305,3.7696555096145996e-05,0.22,0.0
15,15,22,0.9145242484330667,0.0001898137703724343,1.0,7.316193987464533,0,0.22,0.0,0.0001815894515230357,0.9145242484330667,0.0001898137703724343,0.22,0.0
16,16,23,0.9231316424337458,0.0005612250930799355,1.0,7.385053139469966,0,0.22,0.0,0.0002795335624689192,0.9231316424337458,0.0005612250930799355,0.22,0.0
17,17,24,0.93365856054557,0.0009526621678150281,1.0,7.46926848436456,0,0.22,0.0,0.0003776265134267674,0.93365856054557,0.0009526621678150281,0.22,0.0
18,18,25,0.9471578618077228,0.001578423817780485,1.0,7.577262894461782,0,0.22,0.0,0.0004757095951756503,0.9471578618077228,0.001578423817780485,0.22,0.0
19,19,26,0.964601961282496,0.002342229323988289,1.0,7.716815690259968,0,0.22,0.0,0.0005737655481724571,0.964601961282496,0.002342229323988289,0.22,0.0
20,20,27,0.9850926893011153,0.00294097801414857,1.0,7.880741514408922,0,0.22,0.0,0.0006717939106775115,0.9850926893011153,0.00294097801414857,0.22,0.0
21,21,28,1.0082723376348242,0.003121185466241198,1.0,8.066178701078593,0,0.22,0.0,0.0007697960372887024,1.0082723376348242,0.003121185466241198,0.22,0.0
22,22,29,1.0322333133543442,0.003149256566586458,1.0,8.257866506834754,0,0.22,0.0,0.0007826872114453127,1.0322333133543442,0.003149256566586458,0.22,0.0
23,23,30,1.0562961253710965,0.0031204733691941053,1.0,8.450369002968772,0,0.22,0.0,0.0007841378768836796,1.0562961253710965,0.0031204733691941053,0.22,0.0
24,24,31,1.0797060760455501,0.0031425421816170134,1.0,8.637648608364401,0,0.22,0.0,0.0007841255943837507,1.0797060760455501,0.0031425421816170134,0.22,0.0
25,25,32,1.1048158971542303,0.003005606724595771,1.0,8.838527177233843,0,0.22,0.0,0.0007839435580234089,1.1048158971542303,0.003005606724595771,0.22,0.0
26,26,33,1.1267832711852361,0.0025510088434796355,1.0,9.014266169481889,0,0.22,0.0,0.0006936221414059723,1.1267832711852361,0.0025510088434796355,0.22,0.0
27,27,34,1.1429076200549113,0.001815777451211426,1.0,9.14326096043929,0,0.22,0.0,0.0005067521794167168,1.1429076200549113,0.001815777451211426,0.22,0.0
28,28,35,1.152777967589315,0.0010865377841491326,1.0,9.22222374071452,0,0.22,0.0,0.00031233098081840727,1.152777967589315,0.0010865377841491326,0.22,0.0
29,29,36,1.1576202949000962,0.0006745378175740964,1.0,9.26096235920077,0,0.22,0.0,0.00011733312894566736,1.1576202949000962,0.0006745378175740964,0.22,0.0
30,30,37,1.156604252947725,0.0007649532497212463,1.0,9.2528340235818,0,0.22,0.0,-7.767097655138749e-05,1.156604252947725,0.0007649532497212463,0.22,0.0
31,31,38,1.1487130589239518,0.0014642006207900426,1.0,9.189704471391615,0,0.22,0.0,-0.00027263270115118684,1.1487130589239518,0.0014642006207900426,0.22,0.0
32,32,39,1.1351105008344635,0.002394880937861253,1.0,9.080884006675708,0,0.22,0.0,-0.0004675476243748526,1.1351105008344635,0.002394880937861253,0.22,0.0
33,33,40,1.1149240011782322,0.0030323588739808844,1.0,8.919392009425858,0,0.22,0.0,-0.0006624150855527964,1.1149240011782322,0.0030323588739808844,0.22,0.0
34,34,41,1.0919827859160114,0.0031193652261434623,1.0,8.735862287328091,0,0.22,0.0,-0.0007671051473786973,1.0919827859160114,0.0031193652261434623,0.22,0.0
35,35,42,1.0678867631417737,0.003108513234090148,1.0,8.54309410513419,0,0.22,0.0,-0.000775189705512494,1.0678867631417737,0.003108513234090148,0.22,0.0
36,36,43,1.044005329140945,0.0031605045404334317,1.0,8.35204263312756,0,0.22,0.0,-0.0007756638072567469,1.044005329140945,0.0031605045404334317,0.22,0.0
37,37,44,1.0198917782861705,0.0029857218364094423,1.0,8.159134226289364,0,0.22,0.0,-0.000775501456103888,1.0198917782861705,0.0029857218364094423,0.22,0.0
38,38,45,0.99510463575588,0.002891164704400011,1.0,7.96083708604704,0,0.22,0.0,-0.0007752724255320115,0.99510463575588,0.002891164704400011,0.22,0.0
39,39,46,0.974072137671126,0.0025517022242445265,1.0,7.792577101369008,0,0.22,0.0,-0.0006911244321537189,0.974072137671126,0.0025517022242445265,0.22,0.0
