window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.9022426329554707,0.004185827206995617,1.0,7.2179410636437655,0,0.1,0.0,0.00304925181263246,0.9022426329554707,0.004185827206995617,0.1,0.0
1,1,8,0.9269309311184705,0.00011316493266628494,1.0,7.415447448947764,0,0.1,0.0,0.00040509968003886524,0.9269309311184705,0.00011316493266628494,0.1,0.0
2,2,9,0.931006235819936,9.860679918960244e-06,1.0,7.448049886559488,0,0.1,0.0,5.3818366226014716e-05,0.931006235819936,9.860679918960244e-06,0.1,0.0
3,3,10,0.9309104709586891,1.0255556553304945e-05,1.0,7.4472837676695125,0,0.1,0.0,7.149886030419217e-06,0.9309104709586891,1.0255556553304945e-05,0.1,0.0
4,4,11,0.9306489427286065,8.673233020626904e-06,1.0,7.445191541828852,0,0.1,0.0,9.49877780260372e-07,0.9306489427286065,8.673233020626904e-06,0.1,0.0
5,5,12,0.9307006598331643,8.639044521297242e-06,1.0,7.445605278665314,0,0.1,0.0,1.2619331183696957e-07,0.9307006598331643,8.639044521297242e-06,0.1,0.0
6,6,13,0.9299629568114025,9.073865341118429e-06,1.0,7.43970365449122,0,0.1,0.0,1.676505365574843e-08,0.9299629568114025,9.073865341118429e-06,0.1,0.0
7,7,14,0.9305977127265079,4.36796181025148e-06,1.0,7.4447817018120634,0,0.1,0.0,2.2272735378248144e-09,0.9305977127265079,4.36796181025148e-06,0.1,0.0
8,8,15,0.9301811849777939,3.326506210196102e-06,1.0,7.441449479822351,0,0.1,0.0,2.958980921397014e-10,0.9301811849777939,3.326506210196102e-06,0.1,0.0
9,9,16,0.9299338454888022,3.419768553452512e-06,1.0,7.439470763910418,0,0.1,0.0,3.93107005280946e-11,0.9299338454888022,3.419768553452512e-06,0.1,0.0
10,10,17,0.930057993190999,4.1885042895299525e-06,1.0,7.440463945527992,0,0.1,0.0,5.222507842850277e-12,0.930057993190999,4.1885042895299525e-06,0.1,0.0
11,11,18,0.9304933514579374,4.1705289590004284e-06,1.0,7.4439468116634995,0,0.1,0.0,6.938186136729029e-13,0.9304933514579374,4.1705289590004284e-06,0.1,0.0
12,12,19,0.9303353396260068,3.6293859388965123e-06,1.0,7.442682717008054,0,0.1,0.0,9.217210328316127e-14,0.9303353396260068,3.6293859388965123e-06,0.1,0.0
13,13,20,0.9304978365573282,3.884355181043988e-06,1.0,7.443982692458626,0,0.1,0.0,1.2242290514663524e-14,0.9304978365573282,3.884355181043988e-06,0.1,0.0
14,14,21,0.9332363873176305,3.769655509614581e-05,1.0,7.465891098541044,0,0.1,0.0,8.508617269301147e-05,0.9332363873176305,3.769655509614581e-05,0.1,0.0
15,15,22,0.9385242484330668,0.00018981377037243579,1.0,7.5081939874645345,0,0.1,0.0,0.0001815894515230357,0.9385242484330668,0.00018981377037243579,0.1,0.0
16,16,23,0.9471316424337458,0.0005612250930799364,1.0,7.5770531394699665,0,0.1,0.0,0.0002795335624689192,0.9471316424337458,0.0005612250930799364,0.1,0.0
17,17,24,0.9576585605455701,0.0009526621678150311,1.0,7.661268484364561,0,0.1,0.0,0.0003776265134267674,0.9576585605455701,0.0009526621678150311,0.1,0.0
18,18,25,0.9711578618077228,0.0015784238177804872,1.0,7.769262894461782,0,0.1,0.0,0.0004757095951756503,0.9711578618077228,0.0015784238177804872,0.1,0.0
19,19,26,0.988601961282496,0.00234222932398829,1.0,7.908815690259968,0,0.1,0.0,0.0005737655481724571,0.988601961282496,0.00234222932398829,0.1,0.0
20,20,27,1.0090926893011154,0.0029409780141485655,1.0,8.072741514408923,0,0.1,0.0,0.0006717939106775115,1.0090926893011154,0.0029409780141485655,0.1,0.0
21,21,28,1.0322723376348242,0.003121185466241194,1.0,8.258178701078593,0,0.1,0.0,0.0007697960372887024,1.0322723376348242,0.003121185466241194,0.1,0.0
22,22,29,1.0562333133543444,0.0031492565665864614,1.0,8.449866506834756,0,0.1,0.0,0.0007826872114453127,1.0562333133543444,0.0031492565665864614,0.1,0.0
23,23,30,1.0802961253710965,0.00312047336919411,1.0,8.642369002968772,0,0.1,0.0,0.0007841378768836796,1.0802961253710965,0.00312047336919411,0.1,0.0
24,24,31,1.1037060760455502,0.0031425421816170195,1.0,8.829648608364401,0,0.1,0.0,0.0007841255943837507,1.1037060760455502,0.0031425421816170195,0.1,0.0
25,25,32,1.1288158971542304,0.00300560672459578,1.0,9.030527177233843,0,0.1,0.0,0.0007839435580234089,1.1288158971542304,0.00300560672459578,0.1,0.0
26,26,33,1.1507832711852362,0.0025510088434796438,1.0,9.20626616948189,0,0.1,0.0,0.0006936221414059723,1.1507832711852362,0.0025510088434796438,0.1,0.0
27,27,34,1.1669076200549113,0.0018157774512114239,1.0,9.33526096043929,0,0.1,0.0,0.0005067521794167168,1.1669076200549113,0.0018157774512114239,0.1,0.0
28,28,35,1.176777967589315,0.0010865377841491294,1.0,9.41422374071452,0,0.1,0.0,0.00031233098081840727,1.176777967589315,0.0010865377841491294,0.1,0.0
29,29,36,1.1816202949000962,0.0006745378175740923,1.0,9.45296235920077,0,0.1,0.0,0.00011733312894566736,1.1816202949000962,0.0006745378175740923,0.1,0.0
30,30,37,1.1806042529477252,0.0007649532497212442,1.0,9.444834023581802,0,0.1,0.0,-7.767097655138749e-05,1.1806042529477252,0.0007649532497212442,0.1,0.0
31,31,38,1.1727130589239518,0.0014642006207900454,1.0,9.381704471391615,0,0.1,0.0,-0.00027263270115118684,1.1727130589239518,0.0014642006207900454,0.1,0.0
32,32,39,1.1591105008344635,0.0023948809378612637,1.0,9.272884006675708,0,0.1,0.0,-0.0004675476243748526,1.1591105008344635,0.0023948809378612637,0.1,0.0
33,33,40,1.138924001178232,0.0030323588739808987,1.0,9.111392009425856,0,0.1,0.0,-0.0006624150855527964,1.138924001178232,0.0030323588739808987,0.1,0.0
34,34,41,1.1159827859160112,0.0031193652261434644,1.0,8.92786228732809,0,0.1,0.0,-0.0007671051473786973,1.1159827859160112,0.0031193652261434644,0.1,0.0
35,35,42,1.0918867631417737,0.003108513234090165,1.0,8.73509410513419,0,0.1,0.0,-0.000775189705512494,1.0918867631417737,0.003108513234090165,0.1,0.0
36,36,43,1.068005329140945,0.0031605045404334373,1.0,8.54404263312756,0,0.1,0.0,-0.0007756638072567469,1.068005329140945,0.0031605045404334373,0.1,0.0
37,37,44,1.0438917782861703,0.002985721836409439,1.0,8.351134226289362,0,0.1,0.0,-0.000775501456103888,1.0438917782861703,0.002985721836409439,0.1,0.0
38,38,45,1.01910463575588,0.002891164704399998,1.0,8.15283708604704,0,0.1,0.0,-0.0007752724255320115,1.01910463575588,0.002891164704399998,0.1,0.0
39,39,46,0.9980721376711259,0.00255170222424451,1.0,7.984577101369007,0,0.1,0.0,-0.0006911244321537189,0.9980721376711259,0.00255170222424451,0.1,0.0
40,40,47,0.9794399581653294,0.0020297392993421075,1.0,7.835519665322635,0,0.1,0.0,-0.0005958497878091572,0.9794399581653294,0.0020297392993421075,0.1,0.0
41,41,48,0.9640227118588037,0.0014413794847731192,1.0,7.71218169487043,0,0.1,0.0,-0.0004991202125536082,0.9640227118588037,0.0014413794847731192,0.1,0.0
42,42,49,0.9512395174495407,0.0008014949284820589,1.0,7.609916139596326,0,0.1,0.0,-0.00040222196948920194,0.9512395174495407,0.0008014949284820589,0.1,0.0
43,43,50,0.9415208360846843,0.0003637467932589097,1.0,7.532166688677474,0,0.1,0.0,-0.00030532740833774457,0.9415208360846843,0.0003637467932589097,0.1,0.0
44,44,51,0.9349124649351919,0.00011683630286042548,1.0,7.479299719481535,0,0.1,0.0,-0.00020846100270262776,0.9349124649351919,0.00011683630286042548,0.1,0.0
45,45,52,0.9306135867433855,3.6900774257919222e-06,1.0,7.444908693947084,0,0.1,0.0,-0.0001116276992981731,0.9306135867433855,3.6900774257919222e-06,0.1,0.0
46,46,53,0.9301640588809758,1.8289553822259517e-06,1.0,7.441312471047806,0,0.1,0.0,-1.4829980614203957e-05,0.9301640588809758,1.8289553822259517e-06,0.1,0.0
47,47,54,0.9301893844640776,1.9531989732729676e-06,1.0,7.441515075712621,0,0.1,0.0,-1.9701949104063143e-06,0.9301893844640776,1.9531989732729676e-06,0.1,0.0
48,48,55,0.9301254245352122,2.231921784784868e-06,1.0,7.4410033962816975,0,0.1,0.0,-2.617446432318094e-07,0.9301254245352122,2.231921784784868e-06,0.1,0.0
49,49,56,0.9302368253261174,2.1000345065394937e-06,1.0,7.441894602608939,0,0.1,0.0,-3.477334039395097e-08,0.9302368253261174,2.1000345065394937e-06,0.1,0.0
50,50,57,0.9298319665401622,2.2029843768382314e-06,1.0,7.438655732321298,0,0.1,0.0,-4.619713272341342e-09,0.9298319665401622,2.2029843768382314e-06,0.1,0.0
