window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,1.0137146197471687,0.004946661583663825,1.0,8.10971695797735,0,0.03,0.0,0.0035276432178261894,1.0137146197471687,0.004946661583663825,0.03,0.0
1,1,8,1.0405060579945833,7.710058461977466e-05,1.0,8.324048463956666,0,0.03,0.0,0.00039232397415379027,1.0405060579945833,7.710058461977466e-05,0.03,0.0
2,2,9,1.0440242399633548,7.175576763348771e-07,1.0,8.352193919706838,0,0.03,0.0,4.363199201042542e-05,1.0440242399633548,7.175576763348771e-07,0.03,0.0
3,3,10,1.0445478403935105,1.3917883471420632e-06,1.0,8.356382723148084,0,0.03,0.0,4.85249653912681e-06,1.0445478403935105,1.3917883471420632e-06,0.03,0.0
4,4,11,1.052490490814857,0.00042178325218203405,1.0,8.419923926518855,1,0.0325,0.0,5.396663884993379e-07,1.052490490814857,0.00042178325218203405,0.0325,0.01
5,5,12,1.060195800137318,0.000703351415780027,1.0,8.481566401098544,1,0.035,0.0,6.001848723152791e-08,1.060195800137318,0.000703351415780027,0.035,0.01
6,6,13,1.068096180064909,0.0008987172516651771,1.0,8.544769440519271,1,0.0375,0.0,6.6748355842527475e-09,1.068096180064909,0.0008987172516651771,0.0375,0.01
7,7,14,1.0761309949180098,0.0009727657613546669,1.0,8.609047959344078,1,0.04,0.0,7.422647059496246e-10,1.0761309949180098,0.0009727657613546669,0.04,0.01
8,8,15,1.084077314734293,0.0009038442544612144,1.0,8.672618517874344,1,0.0425,0.0,8.247865238009133e-11,1.084077314734293,0.0009038442544612144,0.0425,0.01
9,9,16,1.0923667334094023,0.0007104138340278084,1.0,8.738933867275218,1,0.045,0.0,9.101083081608508e-12,1.0923667334094023,0.0007104138340278084,0.045,0.01
10,10,17,1.1003649454581899,0.0004082320590626163,1.0,8.802919563665519,1,0.0475,0.0,9.404567402615527e-13,1.1003649454581899,0.0004082320590626163,0.0475,0.01
11,11,18,1.107683989660538,2.4055787161382444e-06,1.0,8.861471917284304,0,0.05,0.0,3.287856098488362e-14,1.107683989660538,2.4055787161382444e-06,0.05,0.0
12,12,19,1.1072685039528987,4.386815798306547e-06,1.0,8.85814803162319,0,0.05,0.0,3.241851231905457e-15,1.1072685039528987,4.386815798306547e-06,0.05,0.0
13,13,20,1.1075063994024128,3.910816301089648e-06,1.0,8.860051195219302,0,0.05,0.0,3.1710745140856036e-16,1.1075063994024128,3.910816301089648e-06,0.05,0.0
14,14,21,1.1073724195576071,3.87423641446114e-06,1.0,8.858979356460857,0,0.05,0.0,2.8449465006019634e-17,1.1073724195576071,3.87423641446114e-06,0.05,0.0
15,15,22,1.106574414881196,5.956406859048646e-06,1.0,8.852595319049568,0,0.05,0.0,0.0,1.106574414881196,5.956406859048646e-06,0.05,0.0
16,16,23,1.1063710657648964,5.847979561015723e-06,1.0,8.850968526119171,0,0.05,0.0,0.0,1.1063710657648964,5.847979561015723e-06,0.05,0.0
17,17,24,1.1061117690094449,4.585834333730232e-06,1.0,8.848894152075559,0,0.05,0.0,0.0,1.1061117690094449,4.585834333730232e-06,0.05,0.0
18,18,25,1.105463159707473,3.1767913386484875e-06,1.0,8.843705277659785,0,0.05,0.0,0.0,1.105463159707473,3.1767913386484875e-06,0.05,0.0
19,19,26,1.1054492653788286,3.1749893417656118e-06,1.0,8.843594123030629,0,0.05,0.0,0.0,1.1054492653788286,3.1749893417656118e-06,0.05,0.0
20,20,27,1.1057627457593653,2.5969175821432033e-06,1.0,8.846101966074922,0,0.05,0.0,0.0,1.1057627457593653,2.5969175821432033e-06,0.05,0.0
21,21,28,1.1055542028967735,2.2440842160654652e-06,1.0,8.844433623174188,0,0.05,0.0,0.0,1.1055542028967735,2.2440842160654652e-06,0.05,0.0
22,22,29,1.1058371270678249,3.6451442046464834e-06,1.0,8.846697016542599,0,0.05,0.0,0.0,1.1058371270678249,3.6451442046464834e-06,0.05,0.0
23,23,30,1.1061947854735226,2.136873985079546e-06,1.0,8.84955828378818,0,0.05,0.0,0.0,1.1061947854735226,2.136873985079546e-06,0.05,0.0
24,24,31,1.106575689049767,2.9476841620698642e-06,1.0,8.852605512398137,0,0.05,0.0,0.0,1.106575689049767,2.9476841620698642e-06,0.05,0.0
25,25,32,1.106439697175802,2.7882051351247293e-06,1.0,8.851517577406415,0,0.05,0.0,0.0,1.106439697175802,2.7882051351247293e-06,0.05,0.0
26,26,33,1.106918868925606,2.3249747550439506e-06,1.0,8.855350951404848,0,0.05,0.0,0.0,1.106918868925606,2.3249747550439506e-06,0.05,0.0
27,27,34,1.1067614686296305,2.955925880410964e-06,1.0,8.854091749037044,0,0.05,0.0,0.0,1.1067614686296305,2.955925880410964e-06,0.05,0.0
28,28,35,1.1068267469274768,2.8782329915427874e-06,1.0,8.854613975419815,0,0.05,0.0,0.0,1.1068267469274768,2.8782329915427874e-06,0.05,0.0
29,29,36,1.1068005278213038,2.9436896009139852e-06,1.0,8.85440422257043,0,0.05,0.0,0.0,1.1068005278213038,2.9436896009139852e-06,0.05,0.0
30,30,37,1.1061463479757303,2.6646965035671968e-06,1.0,8.849170783805842,0,0.05,0.0,0.0,1.1061463479757303,2.6646965035671968e-06,0.05,0.0
31,31,38,1.1067210569638228,4.047663355253179e-06,1.0,8.853768455710583,0,0.05,0.0,0.0,1.1067210569638228,4.047663355253179e-06,0.05,0.0
32,32,39,1.1061188707440686,3.873670626725487e-06,1.0,8.848950965952548,0,0.05,0.0,0.0,1.1061188707440686,3.873670626725487e-06,0.05,0.0
33,33,40,1.0770091260599632,0.005910409501799862,1.0,8.616073008479706,0,0.05,0.0,-0.0011130564484290082,1.0770091260599632,0.005910409501799862,0.05,0.0
34,34,41,1.0371632022939556,0.014545599337862087,1.0,8.297305618351645,0,0.05,0.0,-0.0013112368421704587,1.0371632022939556,0.014545599337862087,0.05,0.0
35,35,42,0.9957141228595954,0.021014034986662114,1.0,7.965712982876763,0,0.05,0.0,-0.0013465229846827734,0.9957141228595954,0.021014034986662114,0.05,0.0
36,36,43,0.9540168331677623,0.02394906597261269,1.0,7.6321346653420985,0,0.05,0.0,-0.001352805704329723,0.9540168331677623,0.02394906597261269,0.05,0.0
37,37,44,0.91202199822665,0.02357432558040424,1.0,7.2961759858132,0,0.05,0.0,-0.0013539243464751021,0.91202199822665,0.02357432558040424,0.05,0.0
38,38,45,0.8702171268373745,0.019750776019903195,1.0,6.961737014698996,0,0.05,0.0,-0.001354123521405664,0.8702171268373745,0.019750776019903195,0.05,0.0
39,39,46,0.8283930850451824,0.0119435277998509,1.0,6.627144680361459,0,0.05,0.0,-0.0013541589846260763,0.8283930850451824,0.0119435277998509,0.05,0.0
40,40,47,0.7872142783946591,0.0011022369249048146,1.0,6.297714227157273,0,0.05,0.0,-0.0013541652988745545,0.7872142783946591,0.0011022369249048146,0.05,0.0
41,41,48,0.774731565887202,3.450686599672271e-05,1.0,6.197852527097616,0,0.05,0.0,-0.00024110997470141795,0.774731565887202,3.450686599672271e-05,0.05,0.0
42,42,49,0.7725961197700139,4.014459660057911e-06,1.0,6.180768958160111,0,0.05,0.0,-4.292978113442578e-05,0.7725961197700139,4.014459660057911e-06,0.05,0.0
43,43,50,0.7727035036900985,4.098942418444684e-06,1.0,6.181628029520788,0,0.05,0.0,-7.643674263298899e-06,0.7727035036900985,4.098942418444684e-06,0.05,0.0
44,44,51,0.814404996539564,0.012192072071445549,1.0,6.515239972316512,1,0.052500000000000005,0.0,-1.3609546057842536e-06,0.814404996539564,0.012192072071445549,0.052500000000000005,0.01
45,45,52,0.855611505508201,0.020377300428786636,1.0,6.844892044065608,1,0.05500000000000001,0.0,-2.4231245936215394e-07,0.855611505508201,0.020377300428786636,0.05500000000000001,0.01
46,46,53,0.897376426085726,0.02540552144763172,1.0,7.179011408685808,1,0.0575,0.0,-4.313752869702925e-08,0.897376426085726,0.02540552144763172,0.0575,0.01
47,47,54,0.9384117592993642,0.027177479091512587,1.0,7.507294074394913,1,0.060000000000000005,0.0,-7.674308276361951e-09,0.9384117592993642,0.027177479091512587,0.060000000000000005,0.01
48,48,55,0.9794049223460496,0.02552049811106024,1.0,7.835239378768397,1,0.0625,0.0,-1.3600597981167084e-09,0.9794049223460496,0.02552049811106024,0.0625,0.01
49,49,56,1.0210820780368097,0.02054220734548722,1.0,8.168656624294478,1,0.065,0.0,-2.3580392638500316e-10,1.0210820780368097,0.02054220734548722,0.065,0.01
50,50,57,1.0624315186816604,0.011933469606027373,1.0,8.499452149453283,1,0.0675,0.0,-3.562946812585288e-11,1.0624315186816604,0.011933469606027373,0.0675,0.01
51,51,58,1.1035711613173629,5.437159025475019e-06,1.0,8.828569290538903,0,0.07,0.0,1.1719791803699309e-14,1.1035711613173629,5.437159025475019e-06,0.07,0.0
52,52,59,1.1032004460518618,4.232266380756299e-06,1.0,8.825603568414895,0,0.07,0.0,1.1546319456101628e-15,1.1032004460518618,4.232266380756299e-06,0.07,0.0
53,53,60,1.103636628881601,2.0339793961578147e-06,1.0,8.829093031052809,0,0.07,0.0,1.1171619185290639e-16,1.103636628881601,2.0339793961578147e-06,0.07,0.0
54,54,61,1.1033179343372734,2.6724577373379616e-06,1.0,8.826543474698187,0,0.07,0.0,8.326672684688674e-18,1.1033179343372734,2.6724577373379616e-06,0.07,0.0
55,55,62,1.1026693133399137,5.217710381495358e-06,1.0,8.82135450671931,0,0.07,0.0,0.0,1.1026693133399137,5.217710381495358e-06,0.07,0.0
56,56,63,1.1024141114440265,5.672981523069843e-06,1.0,8.819312891552212,0,0.07,0.0,0.0,1.1024141114440265,5.672981523069843e-06,0.07,0.0
57,57,64,1.1015209135382091,2.658680677965108e-06,1.0,8.812167308305673,0,0.07,0.0,0.0,1.1015209135382091,2.658680677965108e-06,0.07,0.0
58,58,65,1.1011531256959588,2.475522734614483e-06,1.0,8.80922500556767,0,0.07,0.0,0.0,1.1011531256959588,2.475522734614483e-06,0.07,0.0
59,59,66,1.101515098834984,4.432810397554287e-06,1.0,8.812120790679872,0,0.07,0.0,0.0,1.101515098834984,4.432810397554287e-06,0.07,0.0
60,60,67,1.1011039439040529,3.96089228807682e-06,1.0,8.808831551232423,0,0.07,0.0,0.0,1.1011039439040529,3.96089228807682e-06,0.07,0.0
61,61,68,1.101557615409303,6.7983902664892725e-06,1.0,8.812460923274424,0,0.07,0.0,0.0,1.101557615409303,6.7983902664892725e-06,0.07,0.0
62,62,69,1.1016652670137665,6.802687656040679e-06,1.0,8.813322136110132,0,0.07,0.0,0.0,1.1016652670137665,6.802687656040679e-06,0.07,0.0
63,63,70,1.1026795673493934,7.4556430708451525e-06,1.0,8.821436538795147,0,0.07,0.0,0.0,1.1026795673493934,7.4556430708451525e-06,0.07,0.0
64,64,71,1.1026424895045346,7.617333418499403e-06,1.0,8.821139916036277,0,0.07,0.0,0.0,1.1026424895045346,7.617333418499403e-06,0.07,0.0
65,65,72,1.1030526615001306,6.694608717785902e-06,1.0,8.824421292001045,0,0.07,0.0,0.0,1.1030526615001306,6.694608717785902e-06,0.07,0.0
66,66,73,1.1031139910630523,6.360590705549484e-06,1.0,8.824911928504418,0,0.07,0.0,0.0,1.1031139910630523,6.360590705549484e-06,0.07,0.0
67,67,74,1.1027490986147583,5.561821576424954e-06,1.0,8.821992788918067,0,0.07,0.0,0.0,1.1027490986147583,5.561821576424954e-06,0.07,0.0
68,68,75,1.1025880920911086,6.551633819336328e-06,1.0,8.82070473672887,0,0.07,0.0,0.0,1.1025880920911086,6.551633819336328e-06,0.07,0.0
69,69,76,1.1022049859016763,4.755814018943777e-06,1.0,8.81763988721341,0,0.07,0.0,0.0,1.1022049859016763,4.755814018943777e-06,0.07,0.0
70,70,77,1.101973309841023,5.197780018770922e-06,1.0,8.815786478728183,0,0.07,0.0,0.0,1.101973309841023,5.197780018770922e-06,0.07,0.0
71,71,78,1.1014494948533722,2.3222127690996797e-06,1.0,8.811595958826977,0,0.07,0.0,0.0,1.1014494948533722,2.3222127690996797e-06,0.07,0.0
72,72,79,1.1019461106609287,2.9389701066666763e-06,1.0,8.81556888528743,0,0.07,0.0,0.0,1.1019461106609287,2.9389701066666763e-06,0.07,0.0
