episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7412559421294025,True,fixed_low,20,0.03,0.02165367574481151,False
1,0.9142805991226132,True,fixed_low,20,0.03,0.0028767375260869642,False
2,0.9419094124408846,True,fixed_low,20,0.03,0.0003821807849865855,False
3,0.9430318801160438,True,fixed_low,20,0.03,5.0773541586057735e-05,False
4,0.9437624967419239,True,fixed_low,20,0.03,6.745374509825597e-06,False
5,0.9449040400659248,True,fixed_low,20,0.03,8.961375522753556e-07,False
6,0.9445815944734506,True,fixed_low,20,0.03,1.1905380664645193e-07,False
7,0.9439820786025015,True,fixed_low,20,0.03,1.581655498794632e-08,False
8,0.9433970255087594,True,fixed_low,20,0.03,2.101263441023349e-09,False
9,0.9454824063069773,True,fixed_low,20,0.03,2.791573860960739e-10,False
10,0.947024282442116,True,fixed_low,20,0.03,3.7086661519580845e-11,False
11,0.9440872807660146,True,fixed_low,20,0.03,4.927042107638613e-12,False
12,0.9427687647828759,True,fixed_low,20,0.03,6.545652908584998e-13,False
13,0.9454451748391774,True,fixed_low,20,0.03,8.696376951888851e-14,False
14,0.9461941588304542,True,fixed_low,20,0.03,1.1551870571224753e-14,False
15,0.94488607393083,True,fixed_low,20,0.03,1.5376588891058418e-15,False
16,0.9470457229724547,True,fixed_low,20,0.03,2.0539125955565397e-16,False
17,0.9468014380968872,True,fixed_low,20,0.03,0.0,False
18,0.9429099696809132,True,fixed_low,20,0.03,0.0,False
19,0.9407633951493661,True,fixed_low,20,0.03,0.0,False
20,0.9446719283849617,True,fixed_low,20,0.03,0.0,False
21,0.9443733360815323,True,fixed_low,20,0.03,0.0,False
22,0.9398101214192716,True,fixed_low,20,0.03,0.0,False
23,0.9432592810004478,True,fixed_low,20,0.03,0.0,False
24,0.9449713489288435,True,fixed_low,20,0.03,0.0,False
25,0.9416125636811132,True,fixed_low,20,0.03,0.0,False
26,0.942798815051758,True,fixed_low,20,0.03,0.0,False
27,0.943271238193659,True,fixed_low,20,0.03,0.0,False
28,0.9430035854842277,True,fixed_low,20,0.03,0.0,False
29,0.9466367294499429,True,fixed_low,20,0.03,0.0,False
30,0.9426713886648532,True,fixed_low,20,0.03,0.0,False
31,0.9463065096104039,True,fixed_low,20,0.03,0.0,False
32,0.9438834139371209,True,fixed_low,20,0.03,0.0,False
33,0.9454459376795479,True,fixed_low,20,0.03,0.0,False
34,0.9415396126839536,True,fixed_low,20,0.03,0.0,False
35,0.9437934645764287,True,fixed_low,20,0.03,0.0,False
36,0.9427938326348434,True,fixed_low,20,0.03,0.0,False
37,0.9414032906853562,True,fixed_low,20,0.03,0.0,False
38,0.9472690605695929,True,fixed_low,20,0.03,0.0,False
39,0.9414890198523708,True,fixed_low,20,0.03,0.0,False
40,0.9455281012144953,True,fixed_low,20,0.03,0.0,False
41,0.942418576253319,True,fixed_low,20,0.03,0.0,False
42,0.9401478116974407,True,fixed_low,20,0.03,0.0,False
43,0.9429907370051491,True,fixed_low,20,0.03,0.0,False
44,0.9400691798849522,True,fixed_low,20,0.03,0.0,False
45,0.9402799713106491,True,fixed_low,20,0.03,0.0,False
46,0.9460069113465958,True,fixed_low,20,0.03,0.0,False
47,0.9453913394392007,True,fixed_low,20,0.03,0.0,False
48,0.9444769899330476,True,fixed_low,20,0.03,0.0,False
49,0.9429282941769864,True,fixed_low,20,0.03,0.0,False
50,0.9441393787390646,True,fixed_low,20,0.03,0.0,False
51,0.9478270898381762,True,fixed_low,20,0.03,0.0,False
52,0.9404872248551083,True,fixed_low,20,0.03,0.0,False
53,0.9450836841913592,True,fixed_low,20,0.03,0.0,False
54,0.9449593919411603,True,fixed_low,20,0.03,0.0,False
55,0.9440038710216678,True,fixed_low,20,0.03,0.0,False
56,0.9485610019307046,True,fixed_low,20,0.03,0.0,False
57,0.9443905037727853,True,fixed_low,20,0.03,0.0,False
58,0.9439231896553693,True,fixed_low,20,0.03,0.0,False
59,0.9448613677134791,True,fixed_low,20,0.03,0.0,False
60,0.9439766874929543,True,fixed_low,20,0.03,0.0,False
61,0.9425341278367314,True,fixed_low,20,0.03,0.0,False
62,0.939770423962282,True,fixed_low,20,0.03,0.0,False
63,0.9419622558545699,True,fixed_low,20,0.03,0.0,False
64,0.9414154186841662,True,fixed_low,20,0.03,0.0,False
65,0.9414482010347831,True,fixed_low,20,0.03,0.0,False
66,0.9468189747675708,True,fixed_low,20,0.03,0.0,False
67,0.9415721282660318,True,fixed_low,20,0.03,0.0,False
68,0.9476060595349542,True,fixed_low,20,0.03,0.0,False
69,0.9433953406724394,True,fixed_low,20,0.03,0.0,False
70,0.9478848266472986,True,fixed_low,20,0.03,0.0,False
71,0.9416656330956983,True,fixed_low,20,0.03,0.0,False
72,0.9446967946489355,True,fixed_low,20,0.03,0.0,False
73,0.9419388375381548,True,fixed_low,20,0.03,0.0,False
74,0.9438998351812204,True,fixed_low,20,0.03,0.0,False
75,0.9402840760768338,True,fixed_low,20,0.03,0.0,False
76,0.9445412100194941,True,fixed_low,20,0.03,0.0,False
77,0.9415419321872127,True,fixed_low,20,0.03,0.0,False
78,0.9436943067460939,True,fixed_low,20,0.03,0.0,False
79,0.9456385595561493,True,fixed_low,20,0.03,0.0,False
