window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.9147135054615931,0.004391665721695048,1.0,7.317708043692745,0,0.03,0.0,0.0031213929974868563,0.9147135054615931,0.004391665721695048,0.03,0.0
1,1,8,0.9399811408840127,9.51145774991431e-05,1.0,7.519849127072102,0,0.03,0.0,0.00041468379204334795,0.9399811408840127,9.51145774991431e-05,0.03,0.0
2,2,9,0.9438813667820583,1.1210747464161954e-06,1.0,7.551050934256466,0,0.03,0.0,5.509163617715071e-05,0.9438813667820583,1.1210747464161954e-06,0.03,0.0
3,3,10,0.9445207255322121,1.4609595003381429e-06,1.0,7.556165804257697,0,0.03,0.0,7.3190426896602155e-06,0.9445207255322121,1.4609595003381429e-06,0.03,0.0
4,4,11,0.9446526506134585,1.189956984788599e-06,1.0,7.557221204907668,0,0.03,0.0,9.72350607283262e-07,0.9446526506134585,1.189956984788599e-06,0.03,0.0
5,5,12,0.9445284341185775,1.5191087356458324e-06,1.0,7.55622747294862,0,0.03,0.0,1.2917887537572393e-07,0.9445284341185775,1.5191087356458324e-06,0.03,0.0
6,6,13,0.9445960759652341,1.6019500313671547e-06,1.0,7.556768607721873,0,0.03,0.0,1.716169221177566e-08,0.9445960759652341,1.6019500313671547e-06,0.03,0.0
7,7,14,0.9447976465098595,1.8805267382197915e-06,1.0,7.558381172078876,0,0.03,0.0,2.279967824952989e-09,0.9447976465098595,1.8805267382197915e-06,0.03,0.0
8,8,15,0.9449106459259006,1.7855914198525598e-06,1.0,7.559285167407205,0,0.03,0.0,3.0289864366706e-10,0.9449106459259006,1.7855914198525598e-06,0.03,0.0
9,9,16,0.9453667331088625,1.8610143048323488e-06,1.0,7.5629338648709,0,0.03,0.0,4.024073921304883e-11,0.9453667331088625,1.8610143048323488e-06,0.03,0.0
10,10,17,0.9455316120826013,2.0894539930888156e-06,1.0,7.56425289666081,0,0.03,0.0,5.346065951039592e-12,0.9455316120826013,2.0894539930888156e-06,0.03,0.0
11,11,18,0.9450173229874509,2.4055787297175836e-06,1.0,7.560138583899607,0,0.03,0.0,7.102332610919859e-13,0.9450173229874509,2.4055787297175836e-06,0.03,0.0
12,12,19,0.9446018372853698,4.38681580083109e-06,1.0,7.556814698282959,0,0.03,0.0,9.435299763715932e-14,0.9446018372853698,4.38681580083109e-06,0.03,0.0
13,13,20,0.9448397327356306,3.910816300931632e-06,1.0,7.558717861885045,0,0.03,0.0,1.2532336279846845e-14,0.9448397327356306,3.910816300931632e-06,0.03,0.0
14,14,21,0.944705752890925,3.874236414420138e-06,1.0,7.5576460231274,0,0.03,0.0,1.6618650899857812e-15,0.944705752890925,3.874236414420138e-06,0.03,0.0
15,15,22,0.943907748214527,5.956406859044459e-06,1.0,7.551261985716216,0,0.03,0.0,2.1788126858268696e-16,0.943907748214527,5.956406859044459e-06,0.03,0.0
16,16,23,0.9437043990982293,5.847979561014899e-06,1.0,7.549635192785835,0,0.03,0.0,2.5673907444456746e-17,0.9437043990982293,5.847979561014899e-06,0.03,0.0
17,17,24,0.9434451023427779,4.5858343337303695e-06,1.0,7.547560818742223,0,0.03,0.0,0.0,0.9434451023427779,4.5858343337303695e-06,0.03,0.0
18,18,25,0.9427964930408061,3.176791338649021e-06,1.0,7.542371944326449,0,0.03,0.0,0.0,0.9427964930408061,3.176791338649021e-06,0.03,0.0
19,19,26,0.9427825987121617,3.1749893417661518e-06,1.0,7.542260789697294,0,0.03,0.0,0.0,0.9427825987121617,3.1749893417661518e-06,0.03,0.0
20,20,27,0.9430960790926983,2.596917582143683e-06,1.0,7.544768632741587,0,0.03,0.0,0.0,0.9430960790926983,2.596917582143683e-06,0.03,0.0
21,21,28,0.9428875362301066,2.2440842160658515e-06,1.0,7.543100289840853,0,0.03,0.0,0.0,0.9428875362301066,2.2440842160658515e-06,0.03,0.0
22,22,29,0.9431704604011579,3.6451442046470145e-06,1.0,7.545363683209263,0,0.03,0.0,0.0,0.9431704604011579,3.6451442046470145e-06,0.03,0.0
23,23,30,0.9435281188068556,2.1368739850799025e-06,1.0,7.548224950454845,0,0.03,0.0,0.0,0.9435281188068556,2.1368739850799025e-06,0.03,0.0
24,24,31,0.9439090223831001,2.9476841620699125e-06,1.0,7.551272179064801,0,0.03,0.0,0.0,0.9439090223831001,2.9476841620699125e-06,0.03,0.0
25,25,32,0.9437730305091349,2.7882051351246324e-06,1.0,7.550184244073079,0,0.03,0.0,0.0,0.9437730305091349,2.7882051351246324e-06,0.03,0.0
26,26,33,0.9442522022589392,2.324974755043773e-06,1.0,7.554017618071514,0,0.03,0.0,0.0,0.9442522022589392,2.324974755043773e-06,0.03,0.0
27,27,34,0.9440948019629636,2.955925880410911e-06,1.0,7.552758415703709,0,0.03,0.0,0.0,0.9440948019629636,2.955925880410911e-06,0.03,0.0
28,28,35,0.9441600802608099,2.8782329915427696e-06,1.0,7.553280642086479,0,0.03,0.0,0.0,0.9441600802608099,2.8782329915427696e-06,0.03,0.0
29,29,36,0.9441338611546368,2.9436896009139e-06,1.0,7.553070889237095,0,0.03,0.0,0.0,0.9441338611546368,2.9436896009139e-06,0.03,0.0
30,30,37,0.9434796813090635,2.6646965035668753e-06,1.0,7.547837450472508,0,0.03,0.0,0.0,0.9434796813090635,2.6646965035668753e-06,0.03,0.0
31,31,38,0.9440543902971559,4.04766335525341e-06,1.0,7.552435122377247,0,0.03,0.0,0.0,0.9440543902971559,4.04766335525341e-06,0.03,0.0
32,32,39,0.9434522040774018,3.8736706267257495e-06,1.0,7.547617632619215,0,0.03,0.0,0.0,0.9434522040774018,3.8736706267257495e-06,0.03,0.0
33,33,40,0.9436577899870736,4.346830933054403e-06,1.0,7.549262319896589,0,0.03,0.0,0.0,0.9436577899870736,4.346830933054403e-06,0.03,0.0
34,34,41,0.943279369808795,3.995901415204087e-06,1.0,7.54623495847036,0,0.03,0.0,0.0,0.943279369808795,3.995901415204087e-06,0.03,0.0
35,35,42,0.9431053946854808,4.813121740591006e-06,1.0,7.544843157483847,0,0.03,0.0,0.0,0.9431053946854808,4.813121740591006e-06,0.03,0.0
36,36,43,0.943005053739071,4.7455167111683324e-06,1.0,7.544040429912568,0,0.03,0.0,0.0,0.943005053739071,4.7455167111683324e-06,0.03,0.0
37,37,44,0.9426644721453346,5.701363505729662e-06,1.0,7.541315777162676,0,0.03,0.0,0.0,0.9426644721453346,5.701363505729662e-06,0.03,0.0
38,38,45,0.9425240572234961,6.193555349907586e-06,1.0,7.540192457787969,0,0.03,0.0,0.0,0.9425240572234961,6.193555349907586e-06,0.03,0.0
39,39,46,0.9423662885706214,4.870566413117995e-06,1.0,7.5389303085649715,0,0.03,0.0,0.0,0.9423662885706214,4.870566413117995e-06,0.03,0.0
40,40,47,0.9428540785189752,5.680293923586888e-06,1.0,7.542832628151801,0,0.03,0.0,0.0,0.9428540785189752,5.680293923586888e-06,0.03,0.0
41,41,48,0.9427226896087942,5.09846138808963e-06,1.0,7.541781516870354,0,0.03,0.0,0.0,0.9427226896087942,5.09846138808963e-06,0.03,0.0
42,42,49,0.9427864043492526,5.088125358123329e-06,1.0,7.542291234794021,0,0.03,0.0,0.0,0.9427864043492526,5.088125358123329e-06,0.03,0.0
43,43,50,0.9432853502294557,4.1977244314130885e-06,1.0,7.546282801835646,0,0.03,0.0,0.0,0.9432853502294557,4.1977244314130885e-06,0.03,0.0
44,44,51,0.9438898943335841,6.399826072762246e-06,1.0,7.5511191546686725,0,0.03,0.0,0.0,0.9438898943335841,6.399826072762246e-06,0.03,0.0
45,45,52,0.9439421499548536,6.019633008028784e-06,1.0,7.551537199638829,0,0.03,0.0,0.0,0.9439421499548536,6.019633008028784e-06,0.03,0.0
46,46,53,0.9445426140649423,4.145519359404983e-06,1.0,7.556340912519539,0,0.03,0.0,0.0,0.9445426140649423,4.145519359404983e-06,0.03,0.0
47,47,54,0.944411674139263,3.882066253898948e-06,1.0,7.555293393114104,0,0.03,0.0,0.0,0.944411674139263,3.882066253898948e-06,0.03,0.0
48,48,55,0.9442382405870713,3.752806967225405e-06,1.0,7.55390592469657,0,0.03,0.0,0.0,0.9442382405870713,3.752806967225405e-06,0.03,0.0
49,49,56,0.9447487420867784,5.820853233997935e-06,1.0,7.557989936694227,0,0.03,0.0,0.0,0.9447487420867784,5.820853233997935e-06,0.03,0.0
50,50,57,0.9449315182862533,5.389234107071777e-06,1.0,7.559452146290027,0,0.03,0.0,0.0,0.9449315182862533,5.389234107071777e-06,0.03,0.0
51,51,58,0.9449044946507914,5.437159025903223e-06,1.0,7.559235957206331,0,0.03,0.0,0.0,0.9449044946507914,5.437159025903223e-06,0.03,0.0
52,52,59,0.9445337793852042,4.232266380688499e-06,1.0,7.556270235081634,0,0.03,0.0,0.0,0.9445337793852042,4.232266380688499e-06,0.03,0.0
53,53,60,0.944969962214935,2.033979396157887e-06,1.0,7.55975969771948,0,0.03,0.0,0.0,0.944969962214935,2.033979396157887e-06,0.03,0.0
54,54,61,0.9446512676706065,2.672457737337721e-06,1.0,7.557210141364852,0,0.03,0.0,0.0,0.9446512676706065,2.672457737337721e-06,0.03,0.0
55,55,62,0.9440026466732467,5.217710381494983e-06,1.0,7.552021173385974,0,0.03,0.0,0.0,0.9440026466732467,5.217710381494983e-06,0.03,0.0
56,56,63,0.9437474447773595,5.672981523069474e-06,1.0,7.549979558218876,0,0.03,0.0,0.0,0.9437474447773595,5.672981523069474e-06,0.03,0.0
57,57,64,0.9428542468715422,2.6586806779648825e-06,1.0,7.542833974972337,0,0.03,0.0,0.0,0.9428542468715422,2.6586806779648825e-06,0.03,0.0
58,58,65,0.942486459029292,2.4755227346140675e-06,1.0,7.539891672234336,0,0.03,0.0,0.0,0.942486459029292,2.4755227346140675e-06,0.03,0.0
59,59,66,0.9428484321683172,4.432810397554041e-06,1.0,7.542787457346537,0,0.03,0.0,0.0,0.9428484321683172,4.432810397554041e-06,0.03,0.0
60,60,67,0.9424372772373862,3.960892288076785e-06,1.0,7.53949821789909,0,0.03,0.0,0.0,0.9424372772373862,3.960892288076785e-06,0.03,0.0
61,61,68,0.9428909487426362,6.7983902664890735e-06,1.0,7.54312758994109,0,0.03,0.0,0.0,0.9428909487426362,6.7983902664890735e-06,0.03,0.0
62,62,69,0.9429986003470997,6.802687656040489e-06,1.0,7.543988802776798,0,0.03,0.0,0.0,0.9429986003470997,6.802687656040489e-06,0.03,0.0
63,63,70,0.9440129006827267,7.455643070844929e-06,1.0,7.552103205461814,0,0.03,0.0,0.0,0.9440129006827267,7.455643070844929e-06,0.03,0.0
64,64,71,0.9439758228378679,7.617333418499065e-06,1.0,7.551806582702943,0,0.03,0.0,0.0,0.9439758228378679,7.617333418499065e-06,0.03,0.0
65,65,72,0.944385994833464,6.694608717785482e-06,1.0,7.555087958667712,0,0.03,0.0,0.0,0.944385994833464,6.694608717785482e-06,0.03,0.0
66,66,73,0.9444473243963855,6.360590705549507e-06,1.0,7.555578595171084,0,0.03,0.0,0.0,0.9444473243963855,6.360590705549507e-06,0.03,0.0
67,67,74,0.9440824319480916,5.561821576424927e-06,1.0,7.552659455584733,0,0.03,0.0,0.0,0.9440824319480916,5.561821576424927e-06,0.03,0.0
68,68,75,0.9439214254244419,6.551633819336546e-06,1.0,7.551371403395535,0,0.03,0.0,0.0,0.9439214254244419,6.551633819336546e-06,0.03,0.0
69,69,76,0.9435383192350093,4.755814018944135e-06,1.0,7.548306553880074,0,0.03,0.0,0.0,0.9435383192350093,4.755814018944135e-06,0.03,0.0
70,70,77,0.943306643174356,5.197780018771242e-06,1.0,7.546453145394848,0,0.03,0.0,0.0,0.943306643174356,5.197780018771242e-06,0.03,0.0
71,71,78,0.9427828281867054,2.3222127690999122e-06,1.0,7.542262625493644,0,0.03,0.0,0.0,0.9427828281867054,2.3222127690999122e-06,0.03,0.0
