window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,1.0137146197471687,0.004946661583663825,1.0,8.10971695797735,0,0.03,0.0,0.0035276432178261894,1.0137146197471687,0.004946661583663825,0.03,0.0
1,1,8,1.0405060579945833,7.710058461977466e-05,1.0,8.324048463956666,0,0.03,0.0,0.00039232397415379027,1.0405060579945833,7.710058461977466e-05,0.03,0.0
2,2,9,1.0440242399633548,7.175576763348771e-07,1.0,8.352193919706838,0,0.03,0.0,4.363199201042542e-05,1.0440242399633548,7.175576763348771e-07,0.03,0.0
3,3,10,1.0445478403935105,1.3917883471420632e-06,1.0,8.356382723148084,0,0.03,0.0,4.85249653912681e-06,1.0445478403935105,1.3917883471420632e-06,0.03,0.0
4,4,11,1.0446571574808954,1.1835422513262934e-06,1.0,8.357257259847163,0,0.03,0.0,5.396664597978607e-07,1.0446571574808954,1.1835422513262934e-06,0.03,0.0
5,5,12,1.04452913346995,1.5195501384198295e-06,1.0,8.3562330677596,0,0.03,0.0,6.001856683174323e-08,1.04452913346995,1.5195501384198295e-06,0.03,0.0
6,6,13,1.0445961800641994,1.601927834310537e-06,1.0,8.356769440513595,0,0.03,0.0,6.674916143423193e-09,1.0445961800641994,1.601927834310537e-06,0.03,0.0
7,7,14,1.0447976615839658,1.8805009898431715e-06,1.0,8.358381292671726,0,0.03,0.0,7.423453761423726e-10,1.0447976615839658,1.8805009898431715e-06,0.03,0.0
8,8,15,1.044910648066916,1.7855862821245315e-06,1.0,8.359285184535327,0,0.03,0.0,8.255933645062718e-11,1.044910648066916,1.7855862821245315e-06,0.03,0.0
9,9,16,1.0453667334086918,1.861014467300192e-06,1.0,8.362933867269534,0,0.03,0.0,9.181767152144359e-12,1.0453667334086918,1.861014467300192e-06,0.03,0.0
10,10,17,1.045531612124146,2.0894540821034216e-06,1.0,8.364252896993168,0,0.03,0.0,1.0211408107974051e-12,1.045531612124146,2.0894540821034216e-06,0.03,0.0
11,11,18,1.0450173229931607,2.4055787176253086e-06,1.0,8.360138583945286,0,0.03,0.0,1.1356263152073608e-13,1.0450173229931607,2.4055787176253086e-06,0.03,0.0
12,12,19,1.0446018372861496,4.386815798556851e-06,1.0,8.356814698289197,0,0.03,0.0,1.2627399126330375e-14,1.0446018372861496,4.386815798556851e-06,0.03,0.0
13,13,20,1.0448397327357366,3.910816301077248e-06,1.0,8.358717861885893,0,0.03,0.0,1.4009626791988694e-15,1.0448397327357366,3.910816301077248e-06,0.03,0.0
14,14,21,1.0447057528909394,3.874236414458623e-06,1.0,8.357646023127515,0,0.03,0.0,1.5334955527634976e-16,1.0447057528909394,3.874236414458623e-06,0.03,0.0
15,15,22,1.0439077482145291,5.956406859048578e-06,1.0,8.351261985716233,0,0.03,0.0,1.3877787807814457e-17,1.0439077482145291,5.956406859048578e-06,0.03,0.0
16,16,23,1.0437043990982298,5.847979561015935e-06,1.0,8.349635192785838,0,0.03,0.0,0.0,1.0437043990982298,5.847979561015935e-06,0.03,0.0
17,17,24,1.0434451023427782,4.5858343337301874e-06,1.0,8.347560818742226,0,0.03,0.0,0.0,1.0434451023427782,4.5858343337301874e-06,0.03,0.0
18,18,25,1.0427964930408065,3.1767913386488386e-06,1.0,8.342371944326452,0,0.03,0.0,0.0,1.0427964930408065,3.1767913386488386e-06,0.03,0.0
19,19,26,1.042782598712162,3.174989341765964e-06,1.0,8.342260789697296,0,0.03,0.0,0.0,1.042782598712162,3.174989341765964e-06,0.03,0.0
20,20,27,1.0430960790926986,2.5969175821433816e-06,1.0,8.344768632741589,0,0.03,0.0,0.0,1.0430960790926986,2.5969175821433816e-06,0.03,0.0
21,21,28,1.0428875362301069,2.244084216065574e-06,1.0,8.343100289840855,0,0.03,0.0,0.0,1.0428875362301069,2.244084216065574e-06,0.03,0.0
22,22,29,1.0431704604011582,3.645144204646494e-06,1.0,8.345363683209266,0,0.03,0.0,0.0,1.0431704604011582,3.645144204646494e-06,0.03,0.0
23,23,30,1.0435281188068557,2.136873985079743e-06,1.0,8.348224950454846,0,0.03,0.0,0.0,1.0435281188068557,2.136873985079743e-06,0.03,0.0
24,24,31,1.0439090223831002,2.947684162069831e-06,1.0,8.351272179064802,0,0.03,0.0,0.0,1.0439090223831002,2.947684162069831e-06,0.03,0.0
25,25,32,1.043773030509135,2.788205135124601e-06,1.0,8.35018424407308,0,0.03,0.0,0.0,1.043773030509135,2.788205135124601e-06,0.03,0.0
26,26,33,1.0442522022589393,2.3249747550438752e-06,1.0,8.354017618071515,0,0.03,0.0,0.0,1.0442522022589393,2.3249747550438752e-06,0.03,0.0
27,27,34,1.044094801962964,2.9559258804107904e-06,1.0,8.352758415703711,0,0.03,0.0,0.0,1.044094801962964,2.9559258804107904e-06,0.03,0.0
28,28,35,1.0441600802608102,2.878232991542551e-06,1.0,8.353280642086482,0,0.03,0.0,0.0,1.0441600802608102,2.878232991542551e-06,0.03,0.0
29,29,36,1.0441338611546371,2.943689600913812e-06,1.0,8.353070889237097,0,0.03,0.0,0.0,1.0441338611546371,2.943689600913812e-06,0.03,0.0
30,30,37,1.0434796813090637,2.664696503566987e-06,1.0,8.34783745047251,0,0.03,0.0,0.0,1.0434796813090637,2.664696503566987e-06,0.03,0.0
31,31,38,1.0440543902971562,4.0476633552530015e-06,1.0,8.35243512237725,0,0.03,0.0,0.0,1.0440543902971562,4.0476633552530015e-06,0.03,0.0
32,32,39,1.043452204077402,3.873670626725374e-06,1.0,8.347617632619215,0,0.03,0.0,0.0,1.043452204077402,3.873670626725374e-06,0.03,0.0
33,33,40,0.996770249815035,0.015218048209005025,0.875,7.97416199852028,0,0.03,0.0,-0.0016676882948790522,0.996770249815035,0.015218048209005025,0.03,0.0
34,34,41,0.9302703119486773,0.039699879925426416,0.75,7.442162495589418,0,0.03,0.0,-0.002194377923552318,0.9302703119486773,0.039699879925426416,0.03,0.0
35,35,42,0.8579003407668712,0.060256656852151085,0.625,6.863202726134969,0,0.03,0.0,-0.00236071714042144,0.8579003407668712,0.060256656852151085,0.03,0.0
36,36,43,0.7836855608688216,0.07121945720318831,0.5,6.269484486950573,0,0.03,0.0,-0.002413250422951287,0.7836855608688216,0.07121945720318831,0.03,0.0
37,37,44,0.708624657330727,0.07176062989697071,0.375,5.668997258645816,0,0.03,0.0,-0.002429841494048683,0.708624657330727,0.07176062989697071,0.03,0.0
38,38,45,0.6335725703846419,0.0612388783330477,0.25,5.068580563077135,0,0.03,0.0,-0.002435081289220485,0.6335725703846419,0.0612388783330477,0.03,0.0
39,39,46,0.558442697489562,0.03858843349219168,0.125,4.467541579916496,0,0.03,0.0,-0.002436736122309999,0.558442697489562,0.03858843349219168,0.03,0.0
40,40,47,0.48393929748135117,0.005466543026692949,0.0,3.8715143798508094,0,0.03,0.0,-0.002437258752005313,0.48393929748135117,0.005466543026692949,0.03,0.0
41,41,48,0.45569823113277175,0.0005161806192565478,0.0,3.645585849062174,0,0.03,0.0,-0.0007697355141342187,0.45569823113277175,0.0005161806192565478,0.03,0.0
42,42,49,0.4468843422961006,4.20005798566816e-05,0.0,3.5750747383688046,0,0.03,0.0,-0.00024309801379602603,0.4468843422961006,4.20005798566816e-05,0.03,0.0
43,43,50,0.4445795617569813,6.83530298512056e-06,0.0,3.5566364940558506,0,0.03,0.0,-7.677526010741939e-05,0.4445795617569813,6.83530298512056e-06,0.03,0.0
44,44,51,0.444298632459858,4.299966030554119e-06,0.0,3.554389059678864,0,0.03,0.0,-2.4247176982317155e-05,0.444298632459858,4.299966030554119e-06,0.03,0.0
45,45,52,0.4440712377062119,5.567878140105515e-06,0.0,3.552569901649695,0,0.03,0.0,-7.657747961897776e-06,0.4440712377062119,5.567878140105515e-06,0.03,0.0
46,46,53,0.4445833825826795,4.244356965620231e-06,0.0,3.556667060661436,0,0.03,0.0,-2.41847139115306e-06,0.4445833825826795,4.244356965620231e-06,0.03,0.0
47,47,54,0.44442454966014716,3.897853543029387e-06,0.0,3.5553963972811773,0,0.03,0.0,-7.638020863221656e-07,0.44442454966014716,3.897853543029387e-06,0.03,0.0
48,48,55,0.4442423069364814,3.7522705492588493e-06,0.0,3.5539384554918514,0,0.03,0.0,-2.412241175173829e-07,0.4442423069364814,3.7522705492588493e-06,0.03,0.0
49,49,56,0.44475002632200883,5.817632353867462e-06,0.0,3.5580002105760706,0,0.03,0.0,-7.618344583515403e-08,0.44475002632200883,5.817632353867462e-06,0.03,0.0
50,50,57,0.444931923873664,5.389059590365757e-06,0.0,3.559455390989312,0,0.03,0.0,-2.4060270087736257e-08,0.444931923873664,5.389059590365757e-06,0.03,0.0
51,51,58,0.4449046227434836,5.437430581407514e-06,0.0,3.5592369819478686,0,0.03,0.0,-7.59871899083664e-09,0.4449046227434836,5.437430581407514e-06,0.03,0.0
52,52,59,0.44453381983946266,4.232055568746339e-06,0.0,3.5562705587157013,0,0.03,0.0,-2.399828850224717e-09,0.44453381983946266,4.232055568746339e-06,0.03,0.0
53,53,60,0.44496997499120694,2.0339814540620013e-06,0.0,3.5597597999296555,0,0.03,0.0,-7.579143951330635e-10,0.44496997499120694,2.0339814540620013e-06,0.03,0.0
54,54,61,0.4446512717056116,2.6724603740848908e-06,0.0,3.5572101736448927,0,0.03,0.0,-2.393646655884929e-10,0.4446512717056116,2.6724603740848908e-06,0.03,0.0
55,55,62,0.4440026479475833,5.217712967223927e-06,0.0,3.5520211835806665,0,0.03,0.0,-7.559619284724928e-11,0.4440026479475833,5.217712967223927e-06,0.03,0.0
56,56,63,0.44374744517982123,5.672984311724119e-06,0.0,3.54997956143857,0,0.03,0.0,-2.3874803523060708e-11,0.44374744517982123,5.672984311724119e-06,0.03,0.0
57,57,64,0.4428542469986482,2.6586810424091518e-06,0.0,3.542833975989186,0,0.03,0.0,-7.540144550399753e-12,0.4428542469986482,2.6586810424091518e-06,0.03,0.0
58,58,65,0.442486459069435,2.4755228613408512e-06,0.0,3.53989167255548,0,0.03,0.0,-2.3813302024722203e-12,0.442486459069435,2.4755228613408512e-06,0.03,0.0
59,59,66,0.4428484321809955,4.4328104361996816e-06,0.0,3.542787457447964,0,0.03,0.0,-7.520723627196802e-13,0.4428484321809955,4.4328104361996816e-06,0.03,0.0
60,60,67,0.4424372772413907,3.960892295089169e-06,0.0,3.5394982179311256,0,0.03,0.0,-2.3751937916483e-13,0.4424372772413907,3.960892295089169e-06,0.03,0.0
61,61,68,0.44289094874390134,6.798390263922291e-06,0.0,3.5431275899512107,0,0.03,0.0,-7.501395338227468e-14,0.44289094874390134,6.798390263922291e-06,0.03,0.0
62,62,69,0.44299860034749966,6.802687654005314e-06,0.0,3.5439888027799973,0,0.03,0.0,-2.369077156672006e-14,0.44299860034749966,6.802687654005314e-06,0.03,0.0
63,63,70,0.4440129006828535,7.455643070318565e-06,0.0,3.552103205462828,0,0.03,0.0,-7.480474573107187e-15,0.4440129006828535,7.455643070318565e-06,0.03,0.0
64,64,71,0.44397582283790826,7.617333418329425e-06,0.0,3.551806582703266,0,0.03,0.0,-2.360611706109239e-15,0.44397582283790826,7.617333418329425e-06,0.03,0.0
65,65,72,0.4443859948334772,6.694608717745113e-06,0.0,3.5550879586678175,0,0.03,0.0,-7.438494264988549e-16,0.4443859948334772,6.694608717745113e-06,0.03,0.0
66,66,73,0.4444473243963901,6.360590705558689e-06,0.0,3.555578595171121,0,0.03,0.0,-2.327998904760875e-16,0.4444473243963901,6.360590705558689e-06,0.03,0.0
67,67,74,0.44408243194809366,5.561821576422341e-06,0.0,3.5526594555847493,0,0.03,0.0,-7.181755190543981e-17,0.44408243194809366,5.561821576422341e-06,0.03,0.0
68,68,75,0.44392142542444313,6.551633819337964e-06,0.0,3.551371403395545,0,0.03,0.0,-2.0816681711721685e-17,0.44392142542444313,6.551633819337964e-06,0.03,0.0
69,69,76,0.44353831923501036,4.755814018943723e-06,0.0,3.548306553880083,0,0.03,0.0,-4.8572257327350596e-18,0.44353831923501036,4.755814018943723e-06,0.03,0.0
70,70,77,0.44330664317435703,5.197780018770752e-06,0.0,3.5464531453948562,0,0.03,0.0,0.0,0.44330664317435703,5.197780018770752e-06,0.03,0.0
71,71,78,0.44278282818670645,2.3222127690996844e-06,0.0,3.5422626254936516,0,0.03,0.0,0.0,0.44278282818670645,2.3222127690996844e-06,0.03,0.0
72,72,79,0.44327944399426283,2.9389701066667017e-06,0.0,3.5462355519541027,0,0.03,0.0,0.0,0.44327944399426283,2.9389701066667017e-06,0.03,0.0
