episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.841758536292555,True,adaptive_meta_final,20,0.12,0.026139730501085374,False
1,1.083158256345918,True,adaptive_meta_final,20,0.12,0.0032178557849628477,False
2,1.1067852576480486,True,adaptive_meta_final,20,0.12,0.0003175927340896445,False
3,1.1117602258552608,True,adaptive_meta_final,20,0.12,3.1345452216313684e-05,False
4,1.1087603128726782,True,adaptive_meta_final,20,0.12,3.0937023085986228e-06,False
5,1.1112697528844229,True,adaptive_meta_final,20,0.12,3.0533915759689556e-07,False
6,1.1082194774518406,True,adaptive_meta_final,20,0.12,3.01360608856438e-08,False
7,1.1076481196253396,True,adaptive_meta_final,20,0.12,2.974339013972482e-09,False
8,1.1113240059942444,True,adaptive_meta_final,20,0.12,2.935583554020127e-10,False
9,1.1100421950260253,True,adaptive_meta_final,20,0.12,2.8973334842419263e-11,False
10,1.1110115222162151,True,adaptive_meta_final,20,0.12,2.859579240066523e-12,False
11,1.1148599618443913,True,adaptive_meta_final,20,0.12,2.8222424397483794e-13,False
12,1.1093269304017548,True,adaptive_meta_final,20,0.12,2.7855495687845178e-14,False
13,1.1073398643546732,True,adaptive_meta_final,20,0.12,2.7533531010703883e-15,False
14,1.1083575968732882,True,adaptive_meta_final,20,0.12,2.7200464103316337e-16,False
15,1.1110169722570122,True,adaptive_meta_final,20,0.12,5.551115123125783e-18,False
16,1.114819681602726,True,adaptive_meta_final,20,0.12,0.0,False
17,1.1111951175205221,True,adaptive_meta_final,20,0.12,0.0,False
18,1.1084573886951248,True,adaptive_meta_final,20,0.12,0.0,False
19,1.1107225377461192,True,adaptive_meta_final,20,0.12,0.0,False
20,1.110767457483368,True,adaptive_meta_final,20,0.12,0.0,False
21,1.1093888272351353,True,adaptive_meta_final,20,0.12,0.0,False
22,1.1089866573570293,True,adaptive_meta_final,20,0.12,0.0,False
23,1.111330619293403,True,adaptive_meta_final,20,0.12,0.0,False
24,1.1090388770633337,True,adaptive_meta_final,20,0.12,0.0,False
25,1.1096991472700628,True,adaptive_meta_final,20,0.12,0.0,False
26,1.122388567370891,True,adaptive_meta_final,20,0.12,0.00044066525443144376,False
27,1.136491689993416,True,adaptive_meta_final,20,0.12,0.0004843680401743655,False
28,1.1549220500935178,True,adaptive_meta_final,20,0.12,0.0004885477958988027,False
29,1.1654878196214473,True,adaptive_meta_final,20,0.12,0.0004888994724848661,False
30,1.1785460679689437,True,adaptive_meta_final,20,0.12,0.0004888916270095855,False
31,1.1959851728201998,True,adaptive_meta_final,20,0.12,0.0004888521683841296,False
32,1.2100339195641476,True,adaptive_meta_final,20,0.12,0.00048881120875644,False
33,1.226635150194833,True,adaptive_meta_final,20,0.12,0.0004887713897985813,False
34,1.2382010853190066,True,adaptive_meta_final,20,0.12,0.0003885786949667458,False
35,1.2294864059227808,True,adaptive_meta_final,20,0.12,-0.00041836542001049136,False
36,1.2169348150590662,True,adaptive_meta_final,20,0.12,-0.00048081752964764245,False
37,1.2033498119804915,True,adaptive_meta_final,20,0.12,-0.0004857503099748972,False
38,1.191977440838219,True,adaptive_meta_final,20,0.12,-0.000486116147630189,False
39,1.173451513856103,True,adaptive_meta_final,20,0.12,-0.00048610825599853527,False
40,1.1586586205965215,True,adaptive_meta_final,20,0.12,-0.00048606770680783006,False
41,1.141040084760105,True,adaptive_meta_final,20,0.12,-0.00048602294657826837,False
42,1.1250510590593297,True,adaptive_meta_final,20,0.12,-0.00048597635768605205,False
43,1.1168115675196884,True,adaptive_meta_final,20,0.12,-0.00048592808759179704,False
44,1.099566112711543,True,adaptive_meta_final,20,0.12,-0.0004858780838380705,False
45,1.0791784781368827,True,adaptive_meta_final,20,0.12,-0.0004858262723298645,False
46,1.0645451882931876,True,adaptive_meta_final,20,0.12,-0.00048577257315687297,False
47,1.054756203561771,True,adaptive_meta_final,20,0.12,-0.0004857169018018248,False
48,1.0336577687664392,True,adaptive_meta_final,20,0.12,-0.00048565916898030137,False
49,1.023267331458528,True,adaptive_meta_final,20,0.12,-0.0004855992803292408,False
50,1.0090868124590116,True,adaptive_meta_final,20,0.12,-0.00048553713605662964,False
51,0.9915169092802275,True,adaptive_meta_final,20,0.12,-0.0004854726305615675,False
52,0.9779525933947895,True,adaptive_meta_final,20,0.12,-0.0004854056520225858,False
53,0.9614522473734519,True,adaptive_meta_final,20,0.12,-0.0004853360819520869,False
54,0.9456308498863552,True,adaptive_meta_final,20,0.12,-0.00048526379471296454,False
55,0.934812773358245,True,adaptive_meta_final,20,0.12,-0.00048518865699411217,False
56,0.9169612056329642,True,adaptive_meta_final,20,0.12,-0.00048511052724085625,False
57,0.9009834443193183,True,adaptive_meta_final,20,0.12,-0.00048502925503554617,False
58,0.889073107786414,True,adaptive_meta_final,20,0.12,-0.0004849446804237212,False
59,0.8742991808443261,True,adaptive_meta_final,20,0.12,-0.00048485663317976435,False
60,0.8576674533836789,True,adaptive_meta_final,20,0.12,-0.00048476493200657055,False
61,0.8411252738460281,True,adaptive_meta_final,20,0.12,-0.0004846693836615346,False
62,0.8319412410816074,True,adaptive_meta_final,20,0.12,-0.00048456978200202007,False
63,0.8130484031376781,True,adaptive_meta_final,20,0.12,-0.00048446590694081195,False
