window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,1.072419992372008,0.00767514874119972,1.0,8.579359938976063,0,0.12,0.0,0.0037137445780275344,1.072419992372008,0.00767514874119972,0.12,0.0
1,1,8,1.106115676084719,7.83515097358739e-05,1.0,8.848925408677752,0,0.12,0.0,0.00044627830208665705,1.106115676084719,7.83515097358739e-05,0.12,0.0
2,2,9,1.1094761684197325,3.1054047438069525e-06,1.0,8.87580934735786,0,0.12,0.0,4.404633258796795e-05,1.1094761684197325,3.1054047438069525e-06,0.12,0.0
3,3,10,1.1100044514907534,2.2158605530808592e-06,1.0,8.880035611926028,0,0.12,0.0,4.347241184209788e-06,1.1100044514907534,2.2158605530808592e-06,0.12,0.0
4,4,11,1.1103919184893947,4.62738452494771e-06,1.0,8.883135347915157,0,0.12,0.0,4.2905969244860787e-07,1.1103919184893947,4.62738452494771e-06,0.12,0.0
5,5,12,1.1104627456805292,4.4313758762329525e-06,1.0,8.883701965444233,0,0.12,0.0,4.2346907355717e-08,1.1104627456805292,4.4313758762329525e-06,0.12,0.0
6,6,13,1.1099715096143106,5.32770389700942e-06,1.0,8.879772076914485,0,0.12,0.0,4.1795130002741925e-09,1.1099715096143106,5.32770389700942e-06,0.12,0.0
7,7,14,1.1099887745419914,5.269293023944737e-06,1.0,8.879910196335931,0,0.12,0.0,4.1250542356929817e-10,1.1099887745419914,5.269293023944737e-06,0.12,0.0
8,8,15,1.1104098811209506,4.539277910893019e-06,1.0,8.883279048967605,0,0.12,0.0,4.07130475166273e-11,1.1104098811209506,4.539277910893019e-06,0.12,0.0
9,9,16,1.1108468405720107,6.674683849658772e-06,1.0,8.886774724576085,0,0.12,0.0,4.018253091375712e-12,1.1108468405720107,6.674683849658772e-06,0.12,0.0
10,10,17,1.110990955883823,6.588144923833839e-06,1.0,8.887927647070583,0,0.12,0.0,3.965862360733041e-13,1.110990955883823,6.588144923833839e-06,0.12,0.0
11,11,18,1.1106716891936865,7.2885311701056944e-06,1.0,8.885373513549492,0,0.12,0.0,3.913883106498872e-14,1.1106716891936865,7.2885311701056944e-06,0.12,0.0
