evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
1,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
2,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
3,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
4,switch,fixed_low,fixed_mid,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 1.0896 - 1.0306 = 0.0589 > 0.0200.,1.034158123551165,1.0931764985697625,1.03062338659565,1.0895571539021218,True,switch_advantage,0.05893376730647182,0.02,False
5,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0078, threshold=0.0200.",1.1014322974013515,1.093687410086963,1.101019139111557,1.0931984566288901,False,no_candidate_improvement,-0.007820682482666763,0.02,False
6,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1020750018709486,1.0944607675070563,1.10197535005858,1.0943547970353955,False,no_candidate_improvement,-0.00762055302318454,0.02,False
7,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1021646274599166,1.0945632238148595,1.1020999050695546,1.0944982705932527,False,no_candidate_improvement,-0.007601634476301911,0.02,False
8,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1022443786767666,1.0946442400383782,1.1021790690620066,1.094578958984066,False,no_candidate_improvement,-0.007600110077940592,0.02,False
9,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1023351767128589,1.0947351630359217,1.102236975420582,1.0946369627341828,False,no_candidate_improvement,-0.007600012686399316,0.02,False
10,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1024407417242117,1.094840740373509,1.1023139825365451,1.0947139807410555,False,no_candidate_improvement,-0.007600001795489586,0.02,False
11,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1025807175978746,1.094980717464566,1.1024745155892637,1.0948745153941783,False,no_candidate_improvement,-0.007600000195085332,0.02,False
12,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1026138780240529,1.095013878010905,1.1025236739314346,1.0949236739161812,False,no_candidate_improvement,-0.007600000015253405,0.02,False
13,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1025988106514995,1.0949988106502013,1.1025051430498019,1.094905143048825,False,no_candidate_improvement,-0.007600000000976825,0.02,False
14,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1025476717785132,1.094947671778385,1.1024614094618774,1.0948614094618034,False,no_candidate_improvement,-0.007600000000073992,0.02,False
15,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.102483442997363,1.0948834429973502,1.1024216947524397,1.0948216947524296,False,no_candidate_improvement,-0.007600000000010043,0.02,False
