episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8370632591225105,True,fixed_low,20,0.03,0.024480085634161413,False
1,1.0192496741993293,True,fixed_low,20,0.03,0.0027225328329936902,False
2,1.040097206838753,True,fixed_low,20,0.03,0.0003027842768811684,False
3,1.0450587962825058,True,fixed_low,20,0.03,3.367390733196585e-05,False
4,1.0420865838060802,True,fixed_low,20,0.03,3.7450162428509513e-06,False
5,1.0446019853162487,True,fixed_low,20,0.03,4.164989385102569e-07,False
6,1.0415526572141092,True,fixed_low,20,0.03,4.6320591035042825e-08,False
7,1.040981432806441,True,fixed_low,20,0.03,5.151506893286139e-09,False
8,1.0446573367830723,True,fixed_low,20,0.03,5.729206498106265e-10,False
9,1.0433755280464394,True,fixed_low,20,0.03,6.371690397521945e-11,False
10,1.0443448555117931,True,fixed_low,20,0.03,7.08622605039011e-12,False
11,1.1108599618448018,True,fixed_mid,20,0.05,2.3180346531148644e-13,False
12,1.1053269304017956,True,fixed_mid,20,0.05,2.2876145422401352e-14,False
13,1.1033398643546768,True,fixed_mid,20,0.05,2.264854970235319e-15,False
14,1.1043575968732886,True,fixed_mid,20,0.05,2.220446049250313e-16,False
15,1.107016972257012,True,fixed_mid,20,0.05,0.0,False
16,1.1108196816027263,True,fixed_mid,20,0.05,0.0,False
17,1.1071951175205224,True,fixed_mid,20,0.05,0.0,False
18,1.1044573886951243,True,fixed_mid,20,0.05,0.0,False
19,1.1067225377461194,True,fixed_mid,20,0.05,0.0,False
20,1.1067674574833681,True,fixed_mid,20,0.05,0.0,False
21,1.105388827235135,True,fixed_mid,20,0.05,0.0,False
22,1.1049866573570295,True,fixed_mid,20,0.05,0.0,False
23,1.1073306192934032,True,fixed_mid,20,0.05,0.0,False
24,1.105038877063334,True,fixed_mid,20,0.05,0.0,False
25,1.1056991472700628,True,fixed_mid,20,0.05,0.0,False
26,1.118388567370891,True,fixed_mid,20,0.05,0.00044066525443144376,False
27,1.1324916899934159,True,fixed_mid,20,0.05,0.0004843680401743655,False
28,1.1509220500935178,True,fixed_mid,20,0.05,0.0004885477958988027,False
29,1.1614878196214475,True,fixed_mid,20,0.05,0.0004888994724848661,False
30,1.1745460679689435,True,fixed_mid,20,0.05,0.0004888916270095855,False
31,1.1919851728201998,True,fixed_mid,20,0.05,0.0004888521683841296,False
32,1.2060339195641478,True,fixed_mid,20,0.05,0.00048881120875644,False
33,1.222635150194833,True,fixed_mid,20,0.05,0.0004887713897985813,False
34,1.234201085319007,True,fixed_mid,20,0.05,0.0003885786949667458,False
35,1.2254864059227808,True,fixed_mid,20,0.05,-0.00041836542001049136,False
36,1.2129348150590666,True,fixed_mid,20,0.05,-0.00048081752964764245,False
37,1.1993498119804913,True,fixed_mid,20,0.05,-0.0004857503099748972,False
38,1.187977440838219,True,fixed_mid,20,0.05,-0.000486116147630189,False
39,1.169451513856103,True,fixed_mid,20,0.05,-0.00048610825599853527,False
40,1.1546586205965215,True,fixed_mid,20,0.05,-0.00048606770680783006,False
41,1.1370400847601052,True,fixed_mid,20,0.05,-0.00048602294657826837,False
42,1.1210510590593301,True,fixed_mid,20,0.05,-0.00048597635768605205,False
43,1.1128115675196883,True,fixed_mid,20,0.05,-0.00048592808759179704,False
44,1.0955661127115435,True,fixed_mid,20,0.05,-0.0004858780838380705,False
45,1.0751784781368827,True,fixed_mid,20,0.05,-0.0004858262723298645,False
46,1.060545188293188,True,fixed_mid,20,0.05,-0.00048577257315687297,False
47,1.0507562035617712,True,fixed_mid,20,0.05,-0.0004857169018018248,False
48,1.0296577687664397,True,fixed_mid,20,0.05,-0.00048565916898030137,False
49,1.0192673314585285,True,fixed_mid,20,0.05,-0.0004855992803292408,False
50,1.0050868124590118,True,fixed_mid,20,0.05,-0.00048553713605662964,False
51,0.9875169092802277,True,fixed_mid,20,0.05,-0.0004854726305615675,False
52,0.9739525933947893,True,fixed_mid,20,0.05,-0.0004854056520225858,False
53,0.9574522473734521,True,fixed_mid,20,0.05,-0.0004853360819520869,False
54,0.9416308498863548,True,fixed_mid,20,0.05,-0.00048526379471296454,False
55,0.9308127733582449,True,fixed_mid,20,0.05,-0.00048518865699411217,False
56,0.9129612056329641,True,fixed_mid,20,0.05,-0.00048511052724085625,False
57,0.8969834443193181,True,fixed_mid,20,0.05,-0.00048502925503554617,False
58,0.8850731077864143,True,fixed_mid,20,0.05,-0.0004849446804237212,False
59,0.870299180844326,True,fixed_mid,20,0.05,-0.00048485663317976435,False
60,0.8536674533836791,True,fixed_mid,20,0.05,-0.00048476493200657055,False
61,0.837125273846028,True,fixed_mid,20,0.05,-0.0004846693836615346,False
62,0.8279412410816075,True,fixed_mid,20,0.05,-0.00048456978200202007,False
63,0.809048403137678,True,fixed_mid,20,0.05,-0.00048446590694081195,False
64,0.7943218520089557,True,fixed_mid,20,0.05,-0.0004843575233025255,False
65,0.7767061029378711,True,fixed_mid,20,0.05,-0.00048424437956988143,False
66,0.775165594576959,True,fixed_mid,20,0.05,-8.622001332069806e-05,False
67,1.0234512614564242,True,fixed_high,20,0.07,6.052987862176229e-06,False
68,1.0273948209087436,True,fixed_high,20,0.07,6.731781268531911e-07,False
69,1.0256011956667863,True,fixed_high,20,0.07,7.486695839942214e-08,False
70,1.0235206821912333,True,fixed_high,20,0.07,8.326267947333932e-09,False
71,1.0245669392949726,True,fixed_high,20,0.07,9.259991273768975e-10,False
72,1.0249838026904188,True,fixed_high,20,0.07,1.0298424335530853e-10,False
73,1.0237624793421047,True,fixed_high,20,0.07,1.1453299419983409e-11,False
74,1.0269890068233758,True,fixed_high,20,0.07,1.2737755294978114e-12,False
75,1.0265063600071704,True,fixed_high,20,0.07,1.4165890682704685e-13,False
76,1.0249089211335751,True,fixed_high,20,0.07,1.5754064719430972e-14,False
77,1.0248291060547676,True,fixed_high,20,0.07,1.7541523789077474e-15,False
78,1.0220727698262253,True,fixed_high,20,0.07,1.942890293094024e-16,False
79,1.0270641752651706,True,fixed_high,20,0.07,0.0,False
80,1.0238314180589925,True,fixed_high,20,0.07,0.0,False
81,1.0233273413090878,True,fixed_high,20,0.07,0.0,False
82,1.0261272987495513,True,fixed_high,20,0.07,0.0,False
83,1.0234693424843184,True,fixed_high,20,0.07,0.0,False
84,1.0261997508460292,True,fixed_high,20,0.07,0.0,False
85,1.0272197693097997,True,fixed_high,20,0.07,0.0,False
86,1.0260465265351921,True,fixed_high,20,0.07,0.0,False
87,1.0280951448232556,True,fixed_high,20,0.07,0.0,False
88,1.0236912010143726,True,fixed_high,20,0.07,0.0,False
89,1.0241871033334446,True,fixed_high,20,0.07,0.0,False
