window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,1.0138364494482472,0.004524019090453072,1.0,8.110691595585978,0,0.03,0.0,0.0034429112048309407,1.0138364494482472,0.004524019090453072,0.03,0.0
1,1,8,1.0397857091558174,6.330079585299706e-05,1.0,8.318285673246539,0,0.03,0.0,0.0003829005721758455,1.0397857091558174,6.330079585299706e-05,0.03,0.0
2,2,9,1.0428014408867061,3.1009164719782836e-06,1.0,8.342411527093649,0,0.03,0.0,4.2583976016247195e-05,1.0428014408867061,3.1009164719782836e-06,0.03,0.0
3,3,10,1.0433323969708361,2.2026579735565074e-06,1.0,8.346659175766689,0,0.03,0.0,4.735942291879402e-06,1.0433323969708361,2.2026579735565074e-06,0.03,0.0
4,4,11,1.0515575426661232,0.000504173581667896,1.0,8.412460341328986,1,0.0325,0.0,5.267039043591049e-07,1.0515575426661232,0.000504173581667896,0.0325,0.01
5,5,12,1.0594625859905877,0.0007918648711737929,1.0,8.475700687924702,1,0.035,0.0,5.8576876862254105e-08,1.0594625859905877,0.0007918648711737929,0.035,0.01
6,6,13,1.066804820870391,0.0009510037211732899,1.0,8.534438566963129,1,0.0375,0.0,6.514509831578863e-09,1.066804820870391,0.0009510037211732899,0.0375,0.01
7,7,14,1.0746554383277886,0.0009859389287359141,1.0,8.59724350662231,1,0.04,0.0,7.244359799540856e-10,1.0746554383277886,0.0009859389287359141,0.04,0.01
8,8,15,1.08290988075911,0.0009069693876839824,1.0,8.66327904607288,1,0.0425,0.0,8.049761829331814e-11,1.08290988075911,0.0009069693876839824,0.0425,0.01
9,9,16,1.0911801738615667,0.0007530341224948921,1.0,8.729441390892534,1,0.045,0.0,8.882537066989826e-12,1.0911801738615667,0.0007530341224948921,0.045,0.01
10,10,17,1.099157622545827,0.00043579371734610403,1.0,8.793260980366616,1,0.0475,0.0,9.179240700873949e-13,1.099157622545827,0.00043579371734610403,0.0475,0.01
11,11,18,1.1066716891937434,7.288531170519113e-06,1.0,8.853373513549947,0,0.05,0.0,3.2145813788631016e-14,1.1066716891937434,7.288531170519113e-06,0.05,0.0
12,12,19,1.1061545111814082,4.828677796035421e-06,1.0,8.849236089451265,0,0.05,0.0,3.170380624695213e-15,1.1061545111814082,4.828677796035421e-06,0.05,0.0
13,13,20,1.1063345770666047,4.757605725811587e-06,1.0,8.850676616532837,0,0.05,0.0,3.108624468950438e-16,1.1063345770666047,4.757605725811587e-06,0.05,0.0
14,14,21,1.106590697426662,3.6827754015684656e-06,1.0,8.852725579413296,0,0.05,0.0,2.7755575615628914e-17,1.106590697426662,3.6827754015684656e-06,0.05,0.0
15,15,22,1.1066693299871297,3.3748681299415283e-06,1.0,8.853354639897038,0,0.05,0.0,0.0,1.1066693299871297,3.3748681299415283e-06,0.05,0.0
16,16,23,1.1067085358666786,3.4128870787981684e-06,1.0,8.853668286933429,0,0.05,0.0,0.0,1.1067085358666786,3.4128870787981684e-06,0.05,0.0
17,17,24,1.1059859352992545,1.126515655826955e-06,1.0,8.847887482394036,0,0.05,0.0,0.0,1.1059859352992545,1.126515655826955e-06,0.05,0.0
18,18,25,1.105798939017947,9.190637627863117e-07,1.0,8.846391512143576,0,0.05,0.0,0.0,1.105798939017947,9.190637627863117e-07,0.05,0.0
19,19,26,1.1075403363524179,1.7473972185857534e-05,1.0,8.860322690819343,0,0.05,0.0,5.508315680393047e-05,1.1075403363524179,1.7473972185857534e-05,0.05,0.0
20,20,27,1.11076148038333,8.483586006268711e-05,1.0,8.88609184306664,0,0.05,0.0,0.00011562916182572616,1.11076148038333,8.483586006268711e-05,0.05,0.0
21,21,28,1.1162808044595987,0.00025398781436898734,1.0,8.93024643567679,0,0.05,0.0,0.0001766976363130765,1.1162808044595987,0.00025398781436898734,0.05,0.0
22,22,29,1.1232931785078877,0.00044544430607404477,1.0,8.986345428063101,0,0.05,0.0,0.00023781007037368477,1.1232931785078877,0.00044544430607404477,0.05,0.0
23,23,30,1.131988104834377,0.0006563088074335165,1.0,9.055904838675016,0,0.05,0.0,0.00029892152374988293,1.131988104834377,0.0006563088074335165,0.05,0.0
24,24,31,1.1425699240252265,0.0009182909817571984,1.0,9.140559392201812,0,0.05,0.0,0.00036002804479789914,1.1425699240252265,0.0009182909817571984,0.05,0.0
25,25,32,1.1551943043378283,0.0010863034089435466,1.0,9.241554434702627,0,0.05,0.0,0.00042112944589245416,1.1551943043378283,0.0010863034089435466,0.05,0.0
26,26,33,1.1698113047034244,0.0011349588488488913,1.0,9.358490437627395,0,0.05,0.0,0.0004822258696172768,1.1698113047034244,0.0011349588488488913,0.05,0.0
27,27,34,1.184287869446939,0.0011131061636947394,1.0,9.474302955575512,0,0.05,0.0,0.0004757150496841896,1.184287869446939,0.0011131061636947394,0.05,0.0
28,28,35,1.1959122089381096,0.0008547902953099617,1.0,9.567297671504877,0,0.05,0.0,0.00036287336716108246,1.1959122089381096,0.0008547902953099617,0.05,0.0
29,29,36,1.2036638045588033,0.0005779099014291598,1.0,9.629310436470426,0,0.05,0.0,0.00024170270146777682,1.2036638045588033,0.0005779099014291598,0.05,0.0
30,30,37,1.2083965536036838,0.000335485591223552,1.0,9.66717242882947,0,0.05,0.0,0.0001198714786603064,1.2083965536036838,0.000335485591223552,0.05,0.0
31,31,38,1.2100754752123433,0.0002415524120081537,1.0,9.680603801698746,0,0.05,0.0,-2.0044931696654208e-06,1.2100754752123433,0.0002415524120081537,0.05,0.0
32,32,39,1.2072587678418312,0.0003989994710513196,1.0,9.65807014273465,0,0.05,0.0,-0.00012387454621749853,1.2072587678418312,0.0003989994710513196,0.05,0.0
33,33,40,1.2008368554708777,0.0007034179171667303,1.0,9.606694843767022,0,0.05,0.0,-0.0002457344106630323,1.2008368554708777,0.0007034179171667303,0.05,0.0
34,34,41,1.1901374722915368,0.0010382989042796759,1.0,9.521099778332294,0,0.05,0.0,-0.0003675837027101385,1.1901374722915368,0.0010382989042796759,0.05,0.0
35,35,42,1.1759937190090772,0.0011921694598966612,1.0,9.407949752072618,0,0.05,0.0,-0.00047690308429173823,1.1759937190090772,0.0011921694598966612,0.05,0.0
36,36,43,1.1619093642086906,0.0011866076858647638,1.0,9.295274913669525,0,0.05,0.0,-0.0004853484177394014,1.1619093642086906,0.0011866076858647638,0.05,0.0
37,37,44,1.1472382764152502,0.0011960956669131262,1.0,9.177906211322002,0,0.05,0.0,-0.00048598098701320495,1.1472382764152502,0.0011960956669131262,0.05,0.0
38,38,45,1.1317168596847993,0.0012648065882117545,1.0,9.053734877478394,0,0.05,0.0,-0.0004859904823075759,1.1317168596847993,0.0012648065882117545,0.05,0.0
39,39,46,1.1157878281166702,0.0012485917686326752,1.0,8.926302624933362,0,0.05,0.0,-0.0004859475354984114,1.1157878281166702,0.0012485917686326752,0.05,0.0
40,40,47,1.1009509143298788,0.0011971228860545864,1.0,8.80760731463903,0,0.05,0.0,-0.00048589861622382253,1.1009509143298788,0.0011971228860545864,0.05,0.0
41,41,48,1.0853258078511185,0.0012277532950702116,1.0,8.682606462808948,0,0.05,0.0,-0.00048584754899538146,1.0853258078511185,0.0012277532950702116,0.05,0.0
42,42,49,1.0706042136884215,0.0012221974437654336,1.0,8.564833709507372,0,0.05,0.0,-0.000485794590714253,1.0706042136884215,0.0012221974437654336,0.05,0.0
43,43,50,1.0561086828633817,0.0012305327368631422,1.0,8.448869462907053,0,0.05,0.0,-0.0004857396880105752,1.0561086828633817,0.0012305327368631422,0.05,0.0
44,44,51,1.0404468505834492,0.001171441530865435,1.0,8.323574804667594,0,0.05,0.0,-0.00048568275588179653,1.0404468505834492,0.001171441530865435,0.05,0.0
45,45,52,1.0252451606688548,0.0011132693022967157,1.0,8.201961285350839,0,0.05,0.0,-0.0004856237019048609,1.0252451606688548,0.0011132693022967157,0.05,0.0
46,46,53,1.010529381823426,0.0011595330177335376,1.0,8.084235054587408,0,0.05,0.0,-0.00048556242810763873,1.010529381823426,0.0011595330177335376,0.05,0.0
47,47,54,0.9956650895225719,0.0012192641829111737,1.0,7.9653207161805755,0,0.05,0.0,-0.00048549883080215017,0.9956650895225719,0.0012192641829111737,0.05,0.0
48,48,55,0.9806721607471311,0.0011408252778704541,1.0,7.845377285977049,0,0.05,0.0,-0.00048543280020118607,0.9806721607471311,0.0011408252778704541,0.05,0.0
49,49,56,0.9660850903554467,0.001201190611439921,1.0,7.728680722843573,0,0.05,0.0,-0.00048536421998375545,0.9660850903554467,0.001201190611439921,0.05,0.0
50,50,57,0.9507996044630453,0.0012108803719926306,1.0,7.606396835704363,0,0.05,0.0,-0.0004852929668220436,0.9507996044630453,0.0012108803719926306,0.05,0.0
51,51,58,0.9357978913789706,0.0011574379032089667,1.0,7.486383131031765,0,0.05,0.0,-0.00048521890986793006,0.9357978913789706,0.0011574379032089667,0.05,0.0
52,52,59,0.921145675324483,0.0011446535015304075,1.0,7.369165402595864,0,0.05,0.0,-0.00048514191019520466,0.921145675324483,0.0011446535015304075,0.05,0.0
53,53,60,0.9061100328230942,0.0011391754361268804,1.0,7.248880262584754,0,0.05,0.0,-0.00048506182019320275,0.9061100328230942,0.0011391754361268804,0.05,0.0
54,54,61,0.8910691611321662,0.0011783068619275368,1.0,7.128553289057329,0,0.05,0.0,-0.0004849784829068837,0.8910691611321662,0.0011783068619275368,0.05,0.0
55,55,62,0.8768579600315728,0.0011549298652353142,1.0,7.014863680252582,0,0.05,0.0,-0.0004848917313180157,0.8768579600315728,0.0011549298652353142,0.05,0.0
56,56,63,0.8616374137540019,0.0011341416018764276,1.0,6.8930993100320155,0,0.05,0.0,-0.0004848013875613531,0.8616374137540019,0.0011341416018764276,0.05,0.0
57,57,64,0.8468074945510008,0.0011513717533359006,1.0,6.774459956408006,0,0.05,0.0,-0.0004847072620690618,0.8468074945510008,0.0011513717533359006,0.05,0.0
58,58,65,0.83177282687832,0.00122490291767603,1.0,6.65418261502656,0,0.05,0.0,-0.0004846091526358537,0.83177282687832,0.00122490291767603,0.05,0.0
59,59,66,0.8180343877271381,0.0010815905578576111,1.0,6.544275101817105,0,0.05,0.0,-0.00043476856924797583,0.8180343877271381,0.0010815905578576111,0.05,0.0
60,60,67,0.8371783978036503,0.005648157862689386,1.0,6.697427182429203,1,0.052500000000000005,0.0,-0.00037340486661773323,0.8371783978036503,0.005648157862689386,0.052500000000000005,0.01
61,61,68,0.8588943187442833,0.009665376473511383,1.0,6.871154549954267,1,0.05500000000000001,0.0,-0.0003127251028510553,0.8588943187442833,0.009665376473511383,0.05500000000000001,0.01
62,62,69,0.8824538089718782,0.012524988330911284,1.0,7.059630471775026,1,0.0575,0.0,-0.0002521320715235635,0.8824538089718782,0.012524988330911284,0.0575,0.01
63,63,70,0.9069012391105814,0.014043341823261288,1.0,7.255209912884651,1,0.060000000000000005,0.0,-0.0001915598079898176,0.9069012391105814,0.014043341823261288,0.060000000000000005,0.01
64,64,71,0.9338410561302433,0.013851343018701315,1.0,7.470728449041946,1,0.0625,0.0,-0.00013100145387232517,0.9338410561302433,0.013851343018701315,0.0625,0.01
65,65,72,0.9626737999654261,0.0116251898931229,1.0,7.701390399723409,1,0.065,0.0,-7.045675058647907e-05,0.9626737999654261,0.0116251898931229,0.065,0.01
66,66,73,0.9935558470159553,0.006814969364373571,1.0,7.948446776127643,1,0.0675,0.0,-9.926201708581466e-06,0.9935558470159553,0.006814969364373571,0.0675,0.01
67,67,74,1.0250337735467574,2.043732487494339e-06,1.0,8.20027018837406,0,0.07,0.0,8.513001157277323e-07,1.0250337735467574,2.043732487494339e-06,0.07,0.0
68,68,75,1.0254156608656007,1.8559153591186505e-06,1.0,8.203325286924805,0,0.07,0.0,9.467665066306697e-08,1.0254156608656007,1.8559153591186505e-06,0.07,0.0
69,69,76,1.0251049233937046,1.3018214176332967e-06,1.0,8.200839387149637,0,0.07,0.0,1.0529386775676164e-08,1.0251049233937046,1.3018214176332967e-06,0.07,0.0
70,70,77,1.0250084121922023,1.27123063504645e-06,1.0,8.200067297537618,0,0.07,0.0,1.1710171950174431e-09,1.0250084121922023,1.27123063504645e-06,0.07,0.0
71,71,78,1.0248274231465764,2.0390555435518003e-06,1.0,8.198619385172611,0,0.07,0.0,1.3023372588683026e-10,1.0248274231465764,2.0390555435518003e-06,0.07,0.0
72,72,79,1.0251395776428511,2.5585161393934675e-06,1.0,8.201116621142809,0,0.07,0.0,1.4483834964718055e-11,1.0251395776428511,2.5585161393934675e-06,0.07,0.0
73,73,80,1.0249955295639228,2.748643247980008e-06,1.0,8.199964236511383,0,0.07,0.0,1.6108045453044894e-12,1.0249955295639228,2.748643247980008e-06,0.07,0.0
74,74,81,1.0249411373097956,2.903489631176475e-06,1.0,8.199529098478365,0,0.07,0.0,1.791421178065633e-13,1.0249411373097956,2.903489631176475e-06,0.07,0.0
75,75,82,1.0248334238005676,2.543538608170286e-06,1.0,8.198667390404541,0,0.07,0.0,1.9920176619336872e-14,1.0248334238005676,2.543538608170286e-06,0.07,0.0
76,76,83,1.024453796610211,2.2821720902594717e-06,1.0,8.195630372881688,0,0.07,0.0,2.2128132659560154e-15,1.024453796610211,2.2821720902594717e-06,0.07,0.0
77,77,84,1.0246151503242678,2.6112893019450536e-06,1.0,8.196921202594142,0,0.07,0.0,2.4355517602714373e-16,1.0246151503242678,2.6112893019450536e-06,0.07,0.0
78,78,85,1.024913983231147,3.3642710713587383e-06,1.0,8.199311865849175,0,0.07,0.0,2.42861286636753e-17,1.024913983231147,3.3642710713587383e-06,0.07,0.0
79,79,86,1.0254107028197676,2.268810812043054e-06,1.0,8.203285622558141,0,0.07,0.0,0.0,1.0254107028197676,2.268810812043054e-06,0.07,0.0
80,80,87,1.0255395740145283,2.8112352450019606e-06,1.0,8.204316592116227,0,0.07,0.0,0.0,1.0255395740145283,2.8112352450019606e-06,0.07,0.0
81,81,88,1.0255220468839508,2.873263792104685e-06,1.0,8.204176375071606,0,0.07,0.0,0.0,1.0255220468839508,2.873263792104685e-06,0.07,0.0
82,82,89,1.0256295171369954,2.4823816521530827e-06,1.0,8.205036137095963,0,0.07,0.0,0.0,1.0256295171369954,2.4823816521530827e-06,0.07,0.0
