window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,0.40855176944547783,0.0008153367001564831,0.0,3.2684141555638226,0,0.07,0.0,0.0010053117762969176,0.40855176944547783,0.0008153367001564831,0.07,0.0
1,1,8,0.4197324398771368,9.492974403958834e-05,0.0,3.3578595190170946,0,0.07,0.0,0.0003174977528981736,0.4197324398771368,9.492974403958834e-05,0.07,0.0
2,2,9,0.42347801542524255,1.0917226813909936e-05,0.0,3.3878241234019404,0,0.07,0.0,0.0001002721996023026,0.42347801542524255,1.0917226813909936e-05,0.07,0.0
3,3,10,0.4248393671914112,2.040781556586774e-06,0.0,3.3987149375312895,0,0.07,0.0,3.166798480085213e-05,0.4248393671914112,2.040781556586774e-06,0.07,0.0
4,4,11,0.4255601522484933,5.082647322379353e-06,0.0,3.4044812179879465,0,0.07,0.0,1.0001388872733774e-05,0.4255601522484933,5.082647322379353e-06,0.07,0.0
5,5,12,0.42574317833206654,4.451720820891504e-06,0.0,3.4059454266565323,0,0.07,0.0,3.158640501209342e-06,0.42574317833206654,4.451720820891504e-06,0.07,0.0
6,6,13,0.4252880609429442,5.381963688593967e-06,0.0,3.4023044875435535,0,0.07,0.0,9.975624328611986e-07,0.4252880609429442,5.381963688593967e-06,0.07,0.0
7,7,14,0.4253168003869134,5.282728265554586e-06,0.0,3.402534403095307,0,0.07,0.0,3.150503538079663e-07,0.4253168003869134,5.282728265554586e-06,0.07,0.0
8,8,15,0.42574153751267985,4.537047246458211e-06,0.0,3.4059323001014388,0,0.07,0.0,9.949926156500866e-08,0.42574153751267985,4.537047246458211e-06,0.07,0.0
9,9,16,0.42617964422132204,6.6750047652298465e-06,0.0,3.4094371537705763,0,0.07,0.0,3.142387536500535e-08,0.42617964422132204,6.6750047652298465e-06,0.07,0.0
10,10,17,0.42632412192514224,6.587929982883829e-06,0.0,3.410592975401138,0,0.07,0.0,9.924294184712746e-09,0.42632412192514224,6.587929982883829e-06,0.07,0.0
11,11,18,0.4260049696921234,7.288287178482511e-06,0.0,3.4080397575369874,0,0.07,0.0,3.134292442599773e-09,0.4260049696921234,7.288287178482511e-06,0.07,0.0
12,12,19,0.42548782782833994,4.8287193659662646e-06,0.0,3.4039026226267195,0,0.07,0.0,9.898728246804377e-10,0.42548782782833994,4.8287193659662646e-06,0.07,0.0
13,13,20,0.4256679051300302,4.757630293414361e-06,0.0,3.4053432410402418,0,0.07,0.0,3.126218204446696e-10,0.4256679051300302,4.757630293414361e-06,0.07,0.0
14,14,21,0.42592402909565175,3.6827792249164314e-06,0.0,3.407392232765214,0,0.07,0.0,9.873228172530002e-11,0.42592402909565175,3.6827792249164314e-06,0.07,0.0
15,15,22,0.42600266279482984,3.3748669500935284e-06,0.0,3.4080213023586388,0,0.07,0.0,3.11816478887339e-11,0.42600266279482984,3.3748669500935284e-06,0.07,0.0
16,16,23,0.4260418690340065,3.4128861619874876e-06,0.0,3.408334952272052,0,0.07,0.0,9.847793761008638e-12,0.4260418690340065,3.4128861619874876e-06,0.07,0.0
17,17,24,0.42531926858016017,1.1265155972464746e-06,0.0,3.4025541486412814,0,0.07,0.0,3.1101322905957573e-12,0.42531926858016017,1.1265155972464746e-06,0.07,0.0
18,18,25,0.4251322723347229,9.190637847710262e-07,0.0,3.401058178677783,0,0.07,0.0,9.82242759350882e-13,0.4251322723347229,9.190637847710262e-07,0.07,0.0
19,19,26,0.4266217657341979,1.2452736971831967e-05,0.0,3.4129741258735833,0,0.07,0.0,4.217563084353872e-05,0.4266217657341979,1.2452736971831967e-05,0.07,0.0
