episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8370632591225105,True,fixed_low,20,0.03,0.024480085634161413,False
1,1.0192496741993293,True,fixed_low,20,0.03,0.0027225328329936902,False
2,1.040097206838753,True,fixed_low,20,0.03,0.0003027842768811684,False
3,1.0450587962825058,True,fixed_low,20,0.03,3.367390733196585e-05,False
4,1.0420865838060802,True,fixed_low,20,0.03,3.7450162428509513e-06,False
5,1.0446019853162487,True,fixed_low,20,0.03,4.164989385102569e-07,False
6,1.0415526572141092,True,fixed_low,20,0.03,4.6320591035042825e-08,False
7,1.040981432806441,True,fixed_low,20,0.03,5.151506893286139e-09,False
8,1.0446573367830723,True,fixed_low,20,0.03,5.729206498106265e-10,False
9,1.0433755280464394,True,fixed_low,20,0.03,6.371690397521945e-11,False
10,1.0443448555117931,True,fixed_low,20,0.03,7.08622605039011e-12,False
11,1.0481932951732338,True,fixed_low,20,0.03,7.880862629150442e-13,False
12,1.0426602637345599,True,fixed_low,20,0.03,8.765210779415611e-14,False
13,1.0406731976879449,True,fixed_low,20,0.03,9.742207041085749e-15,False
14,1.0416909302066144,True,fixed_low,20,0.03,1.0880185641326535e-15,False
15,1.044350305590345,True,fixed_low,20,0.03,1.1102230246251565e-16,False
16,1.0481530149360596,True,fixed_low,20,0.03,0.0,False
17,1.0445284508538555,True,fixed_low,20,0.03,0.0,False
18,1.041790722028458,True,fixed_low,20,0.03,0.0,False
19,1.044055871079452,True,fixed_low,20,0.03,0.0,False
20,1.0441007908167015,True,fixed_low,20,0.03,0.0,False
21,1.0427221605684684,True,fixed_low,20,0.03,0.0,False
22,1.0423199906903626,True,fixed_low,20,0.03,0.0,False
23,1.0446639526267363,True,fixed_low,20,0.03,0.0,False
24,1.042372210396667,True,fixed_low,20,0.03,0.0,False
25,1.043032480603396,True,fixed_low,20,0.03,0.0,False
26,1.0330366494163035,True,fixed_low,20,0.03,-0.0004318122183048778,False
27,1.0179153050999017,True,fixed_low,20,0.03,-0.000479457643890957,False
28,1.006436764207796,True,fixed_low,20,0.03,-0.00048480661738247723,False
29,0.9870233258324832,True,fixed_low,20,0.03,-0.00048537195818401104,False
30,0.9700969298770217,True,fixed_low,20,0.03,-0.0004853798170419976,False
31,0.9575529159050504,True,fixed_low,20,0.03,-0.0004853189151703463,False
32,0.9416208523594252,True,fixed_low,20,0.03,-0.0004852471741358166,False
33,0.9282436944925413,True,fixed_low,20,0.03,-0.00048517153525957647,False
34,0.9124406960263673,True,fixed_low,20,0.03,-0.0004850927406063854,False
35,0.8978327319597931,True,fixed_low,20,0.03,-0.0004850107514486501,False
36,0.8848447368867383,True,fixed_low,20,0.03,-0.00048492542061268074,False
37,0.8712506165882429,True,fixed_low,20,0.03,-0.0004848365775137309,False
38,0.8599043615972333,True,fixed_low,20,0.03,-0.00048474403856023086,False
39,0.8414084259723038,True,fixed_low,20,0.03,-0.00048464760776864015,False
40,0.8266468658040914,True,fixed_low,20,0.03,-0.00048454707599699385,False
41,0.809060840473324,True,fixed_low,20,0.03,-0.0004844422199085208,False
42,0.7931055412713233,True,fixed_low,20,0.03,-0.0004843328008089509,False
43,0.7849010517099412,True,fixed_low,20,0.03,-0.00048421856336711697,False
44,0.7676919392830032,True,fixed_low,20,0.03,-0.000484099234210178,False
45,0.7473420567571469,True,fixed_low,20,0.03,-0.0004839745203791379,False
46,0.7327480024374783,True,fixed_low,20,0.03,-0.0004838441076294553,False
47,0.7229998154036024,True,fixed_low,20,0.03,-0.00048370765855831335,False
48,0.7019438244604568,True,fixed_low,20,0.03,-0.0004835648105386947,False
49,0.6915975668539012,False,fixed_low,20,0.03,-0.00048341517343694076,False
50,0.6774630592849264,False,fixed_low,20,0.03,-0.00048325832708814853,False
51,0.6599411018495557,False,fixed_low,20,0.03,-0.00048309381849938603,False
52,0.6464267758771822,False,fixed_low,20,0.03,-0.00048292115874734034,False
53,0.6299785816949861,False,fixed_low,20,0.03,-0.00048273981953199374,False
54,0.6142116243194689,False,fixed_low,20,0.03,-0.00048254922934207466,False
55,0.6034504118732189,False,fixed_low,20,0.03,-0.0004823487691827305,False
56,0.5856582780906879,False,fixed_low,20,0.03,-0.0004821377678072503,False
57,0.5697426775947656,False,fixed_low,20,0.03,-0.00048191549638700314,False
58,0.5578973979232321,False,fixed_low,20,0.03,-0.0004816811625436207,False
59,0.5431916063534755,False,fixed_low,20,0.03,-0.0004814339036552956,False
60,0.5266312898133851,False,fixed_low,20,0.03,-0.0004811727793362031,False
61,0.5101640097666755,False,fixed_low,20,0.03,-0.00048089676297121965,False
62,0.5010585956479923,False,fixed_low,20,0.03,-0.0004806047321698953,False
63,0.4822483454126115,False,fixed_low,20,0.03,-0.00048029545798074225,False
64,0.46760862225705413,False,fixed_low,20,0.03,-0.0004799675926813407,False
65,0.4500842361270222,False,fixed_low,20,0.03,-0.00047961965592766833,False
66,0.4474289088214082,False,fixed_low,20,0.03,-0.00015147356928787715,False
67,0.44230982920212014,False,fixed_low,20,0.03,-4.783841093508323e-05,False
68,0.4456553039733781,False,fixed_low,20,0.03,-1.5108335873725842e-05,False
69,0.44368227482583905,False,fixed_low,20,0.03,-4.77151745661153e-06,False
70,0.4415461566539509,False,fixed_low,20,0.03,-1.50694153406572e-06,False
71,0.44257496996733786,False,fixed_low,20,0.03,-4.759225566614012e-07,False
72,0.44298633730655074,False,fixed_low,20,0.03,-1.5030595070519847e-07,False
73,0.4417632796435087,False,fixed_low,20,0.03,-4.746965341639875e-08,False
74,0.44498925955452495,False,fixed_low,20,0.03,-1.4991874802694484e-08,False
75,0.44450643982252397,False,fixed_low,20,0.03,-4.734736697153963e-09,False
76,0.44290894634062505,False,fixed_low,20,0.03,-1.4953254329208576e-09,False
77,0.442829114015635,False,fixed_low,20,0.03,-4.722539581614171e-10,False
78,0.44007277234042463,False,fixed_low,20,0.03,-1.4914733337256791e-10,False
79,0.4450641760592056,False,fixed_low,20,0.03,-4.710373757710329e-11,False
80,0.44183141830976513,False,fixed_low,20,0.03,-1.4876305742816954e-11,False
81,0.44132734138828705,False,fixed_low,20,0.03,-4.6982417956087374e-12,False
82,0.44412729877456447,False,fixed_low,20,0.03,-1.4837964190661524e-12,False
83,0.4414693424922186,False,fixed_low,20,0.03,-4.686168120215939e-13,False
84,0.4441997508485245,False,fixed_low,20,0.03,-1.4800105585521806e-13,False
85,0.44521976931058793,False,fixed_low,20,0.03,-4.673761377915753e-14,False
86,0.44404652653544147,False,fixed_low,20,0.03,-1.4760415112391455e-14,False
87,0.4460951448233347,False,fixed_low,20,0.03,-4.668487818548783e-15,False
88,0.4416912010143978,False,fixed_low,20,0.03,-1.4654943925052066e-15,False
89,0.4421871033334529,False,fixed_low,20,0.03,-4.662936703425658e-16,False
