window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,7,1.0138364494482472,0.004524019090453072,1.0,8.110691595585978,0,0.03,0.0,0.0034429112048309407,1.0138364494482472,0.004524019090453072,0.03,0.0
1,1,8,1.0397857091558174,6.330079585299706e-05,1.0,8.318285673246539,0,0.03,0.0,0.0003829005721758455,1.0397857091558174,6.330079585299706e-05,0.03,0.0
2,2,9,1.0428014408867061,3.1009164719782836e-06,1.0,8.342411527093649,0,0.03,0.0,4.2583976016247195e-05,1.0428014408867061,3.1009164719782836e-06,0.03,0.0
3,3,10,1.0433323969708361,2.2026579735565074e-06,1.0,8.346659175766689,0,0.03,0.0,4.735942291879402e-06,1.0433323969708361,2.2026579735565074e-06,0.03,0.0
4,4,11,1.0437242093321772,4.630125640899256e-06,1.0,8.349793674657418,0,0.03,0.0,5.267039738944545e-07,1.0437242093321772,4.630125640899256e-06,0.03,0.0
5,5,12,1.0437959193232371,4.431253676952037e-06,1.0,8.350367354585897,0,0.03,0.0,5.85769544945991e-08,1.0437959193232371,4.431253676952037e-06,0.03,0.0
6,6,13,1.0433048208696991,5.327781989188771e-06,1.0,8.346438566957593,0,0.03,0.0,6.514588398592869e-09,1.0433048208696991,5.327781989188771e-06,0.03,0.0
7,7,14,1.0433221049937624,5.269303947796847e-06,1.0,8.3465768399501,0,0.03,0.0,7.245146552148362e-10,1.0433221049937624,5.269303947796847e-06,0.03,0.0
8,8,15,1.0437432140917504,4.539277347677763e-06,1.0,8.349945712734003,0,0.03,0.0,8.057630743185663e-11,1.0437432140917504,4.539277347677763e-06,0.03,0.0
9,9,16,1.0441801738608738,6.67468390680552e-06,1.0,8.35344139088699,0,0.03,0.0,8.961226205528306e-12,1.0441801738608738,6.67468390680552e-06,0.03,0.0
10,10,17,1.0443242892118008,6.5881449195769155e-06,1.0,8.354594313694406,0,0.03,0.0,9.96613208625874e-13,1.0443242892118008,6.5881449195769155e-06,0.03,0.0
11,11,18,1.044005022526384,7.28853116563688e-06,1.0,8.352040180211072,0,0.03,0.0,1.1083495232711016e-13,1.044005022526384,7.28853116563688e-06,0.03,0.0
12,12,19,1.0434878445146611,4.82867779620215e-06,1.0,8.34790275611729,0,0.03,0.0,1.2324169462729628e-14,1.0434878445146611,4.82867779620215e-06,0.03,0.0
13,13,20,1.043667910399929,4.7576057258639e-06,1.0,8.349343283199431,0,0.03,0.0,1.3676559884601147e-15,1.043667910399929,4.7576057258639e-06,0.03,0.0
14,14,21,1.0439240307599942,3.6827754015724593e-06,1.0,8.351392246079953,0,0.03,0.0,1.4988010832439614e-16,1.0439240307599942,3.6827754015724593e-06,0.03,0.0
15,15,22,1.0440026633204629,3.3748681299414225e-06,1.0,8.352021306563703,0,0.03,0.0,1.3877787807814457e-17,1.0440026633204629,3.3748681299414225e-06,0.03,0.0
16,16,23,1.0440418692000117,3.4128870787980748e-06,1.0,8.352334953600094,0,0.03,0.0,0.0,1.0440418692000117,3.4128870787980748e-06,0.03,0.0
17,17,24,1.0433192686325876,1.1265156558267138e-06,1.0,8.346554149060701,0,0.03,0.0,0.0,1.0433192686325876,1.1265156558267138e-06,0.03,0.0
18,18,25,1.0431322723512801,9.190637627860911e-07,1.0,8.345058178810241,0,0.03,0.0,0.0,1.0431322723512801,9.190637627860911e-07,0.03,0.0
19,19,26,1.0420380132747609,1.2236891483311724e-05,1.0,8.336304106198087,0,0.03,0.0,-5.397652728810973e-05,1.0420380132747609,1.2236891483311724e-05,0.03,0.0
20,20,27,1.0387704425273172,7.378903533994471e-05,1.0,8.310163540218538,0,0.03,0.0,-0.00011390873277447935,1.0387704425273172,7.378903533994471e-05,0.03,0.0
21,21,28,1.0340624392012039,0.00017875550761926753,1.0,8.272499513609631,0,0.03,0.0,-0.000174509559947289,1.0340624392012039,0.00017875550761926753,0.03,0.0
22,22,29,1.0271000848592058,0.0003974920561803151,1.0,8.216800678873646,0,0.03,0.0,-0.0002351810547202904,1.0271000848592058,0.0003974920561803151,0.03,0.0
23,23,30,1.0180722022575381,0.0006932036599625246,1.0,8.144577618060305,0,0.03,0.0,-0.00029585353185054006,1.0180722022575381,0.0006932036599625246,0.03,0.0
24,24,31,1.0071833226673275,0.0009440688153469994,1.0,8.05746658133862,0,0.03,0.0,-0.00035651839624683336,1.0071833226673275,0.0009440688153469994,0.03,0.0
25,25,32,0.9945894029126722,0.0011679844622161162,1.0,7.956715223301377,0,0.03,0.0,-0.00041717429301381045,0.9945894029126722,0.0011679844622161162,0.03,0.0
26,26,33,0.9802408046488154,0.0012189798462810028,1.0,7.841926437190523,0,0.03,0.0,-0.00047782073492125753,0.9802408046488154,0.0012189798462810028,0.03,0.0
27,27,34,0.9651663104750734,0.001217921159749702,1.0,7.721330483800587,0,0.03,0.0,-0.00048448080020894595,0.9651663104750734,0.001217921159749702,0.03,0.0
28,28,35,0.9501559888325598,0.0012115306991558963,1.0,7.6012479106604784,0,0.03,0.0,-0.0004851749386536576,0.9501559888325598,0.0012115306991558963,0.03,0.0
29,29,36,0.9349569854174276,0.0011177752385792923,1.0,7.47965588333942,0,0.03,0.0,-0.000485189789057433,0.9349569854174276,0.0011177752385792923,0.03,0.0
30,30,37,0.9204853967618976,0.0010767980635123834,1.0,7.3638831740951805,0,0.03,0.0,-0.00048512286647364803,0.9204853967618976,0.0010767980635123834,0.03,0.0
31,31,38,0.9067113257269239,0.0010381677310845393,1.0,7.253690605815391,0,0.03,0.0,-0.00048504339416342716,0.9067113257269239,0.0010381677310845393,0.03,0.0
32,32,39,0.8921932644853307,0.0010373438069350603,1.0,7.137546115882645,0,0.03,0.0,-0.0004849594807382139,0.8921932644853307,0.0010373438069350603,0.03,0.0
33,33,40,0.877821516165914,0.0010624521493069808,1.0,7.022572129327312,0,0.03,0.0,-0.00048487196847086107,0.877821516165914,0.0010624521493069808,0.03,0.0
34,34,41,0.8629236594135118,0.0011137103203042998,1.0,6.903389275308094,0,0.03,0.0,-0.0004847808040519791,0.8629236594135118,0.0011137103203042998,0.03,0.0
35,35,42,0.8480067650691312,0.0011940256716726023,1.0,6.78405412055305,0,0.03,0.0,-0.0004846858115772998,0.8480067650691312,0.0011940256716726023,0.03,0.0
36,36,43,0.8338903050378997,0.0011822142381071128,1.0,6.671122440303198,0,0.03,0.0,-0.00048458678806710816,0.8338903050378997,0.0011822142381071128,0.03,0.0
37,37,44,0.8192462053374329,0.0011909982700175408,1.0,6.553969642699463,0,0.03,0.0,-0.0004844835147667953,0.8192462053374329,0.0011909982700175408,0.03,0.0
38,38,45,0.8037576353585458,0.0012593209442157195,1.0,6.430061082868367,0,0.03,0.0,-0.00048437575762497117,0.8037576353585458,0.0012593209442157195,0.03,0.0
39,39,46,0.7878630904635765,0.0012429235243303551,1.0,6.302904723708612,0,0.03,0.0,-0.0004842632662586242,0.7878630904635765,0.0012429235243303551,0.03,0.0
40,40,47,0.7730620141424889,0.0011913693511631544,1.0,6.184496113139911,0,0.03,0.0,-0.00048414577260733337,0.7730620141424889,0.0011913693511631544,0.03,0.0
41,41,48,0.7574741339745346,0.0012216949150393426,1.0,6.0597930717962765,0,0.03,0.0,-0.000484022989425046,0.7574741339745346,0.0012216949150393426,0.03,0.0
42,42,49,0.7427912247721067,0.0012159238184184834,0.875,5.9423297981768535,0,0.03,0.0,-0.0004838946086160985,0.7427912247721067,0.0012159238184184834,0.03,0.0
43,43,50,0.7283359145238071,0.0012239976691860203,0.75,5.826687316190457,0,0.03,0.0,-0.0004837602994009982,0.7283359145238071,0.0012239976691860203,0.03,0.0
44,44,51,0.7127159207912589,0.0011647929219636456,0.625,5.701727366330071,0,0.03,0.0,-0.0004836197062925318,0.7127159207912589,0.0011647929219636456,0.03,0.0
45,45,52,0.6975577753655312,0.0011065095647454935,0.5,5.58046220292425,0,0.03,0.0,-0.0004834724468596771,0.6975577753655312,0.0011065095647454935,0.03,0.0
46,46,53,0.6828873409827612,0.0011523470127015145,0.375,5.463098727862089,0,0.03,0.0,-0.0004833181092537841,0.6828873409827612,0.0011523470127015145,0.03,0.0
47,47,54,0.66807029371801,0.0012115856853700045,0.25,5.34456234974408,0,0.03,0.0,-0.0004831562494678615,0.66807029371801,0.0012115856853700045,0.03,0.0
48,48,55,0.653126618276712,0.001133081846803502,0.125,5.225012946213696,0,0.03,0.0,-0.0004829863882959137,0.653126618276712,0.001133081846803502,0.03,0.0
49,49,56,0.6385909249804909,0.001192902630685548,0.0,5.108727399843927,0,0.03,0.0,-0.0004828080079544831,0.6385909249804909,0.001192902630685548,0.03,0.0
50,50,57,0.623359063823099,0.0012021901720412405,0.0,4.986872510584792,0,0.03,0.0,-0.0004826205483232409,0.623359063823099,0.0012021901720412405,0.03,0.0
51,51,58,0.6084133561528872,0.0011485644164593556,0.0,4.867306849223097,0,0.03,0.0,-0.0004824234027551749,0.6084133561528872,0.0011485644164593556,0.03,0.0
52,52,59,0.5938196692158771,0.0011354347268334633,0.0,4.750557353727017,0,0.03,0.0,-0.0004822159133996636,0.5938196692158771,0.0011354347268334633,0.03,0.0
53,53,60,0.5788452334579025,0.0011295473324961646,0.0,4.63076186766322,0,0.03,0.0,-0.00048199736597327145,0.5788452334579025,0.0011295473324961646,0.03,0.0
54,54,61,0.5638684119668637,0.0011680535487454098,0.0,4.510947295734909,0,0.03,0.0,-0.0004817669839031747,0.5638684119668637,0.0011680535487454098,0.03,0.0
55,55,62,0.5497242833829291,0.0011443264248503938,0.0,4.397794267063433,0,0.03,0.0,-0.00048152392175665227,0.5497242833829291,0.0011443264248503938,0.03,0.0
56,56,63,0.5345740250753532,0.0011231092633664983,0.0,4.276592200602826,0,0.03,0.0,-0.0004812672578564037,0.5345740250753532,0.0011231092633664983,0.03,0.0
57,57,64,0.519817818096149,0.001139709152513673,0.0,4.158542544769192,0,0.03,0.0,-0.00048099598596566503,0.519817818096149,0.001139709152513673,0.03,0.0
58,58,65,0.5048605129126811,0.0012122732814483159,0.0,4.038884103301449,0,0.03,0.0,-0.0004807090059082482,0.5048605129126811,0.0012122732814483159,0.03,0.0
59,59,66,0.4910519517749531,0.001082281667863231,0.0,3.9284156141996247,0,0.03,0.0,-0.00043943305675128025,0.4910519517749531,0.001082281667863231,0.03,0.0
60,60,67,0.47844172963103365,0.0008804203320114138,0.0,3.827533837048269,0,0.03,0.0,-0.0003852336201612537,0.47844172963103365,0.0008804203320114138,0.03,0.0
61,61,68,0.4683197314010328,0.0006220549834478349,0.0,3.7465578512082622,0,0.03,0.0,-0.00032697556472844404,0.4683197314010328,0.0006220549834478349,0.03,0.0
62,62,69,0.4600095145334282,0.0004100028583803601,0.0,3.6800761162674256,0,0.03,0.0,-0.000267459909039118,0.4600095145334282,0.0004100028583803601,0.03,0.0
63,63,70,0.45257045965917303,0.0001866468864376299,0.0,3.6205636772733842,0,0.03,0.0,-0.00020757268520963935,0.45257045965917303,0.0001866468864376299,0.03,0.0
64,64,71,0.44761128772851383,6.444511412297119e-05,0.0,3.5808903018281106,0,0.03,0.0,-0.00014759524328162923,0.44761128772851383,6.444511412297119e-05,0.03,0.0
65,65,72,0.4445335021097009,7.659447077507802e-06,0.0,3.556268016877607,0,0.03,0.0,-8.76180824402998e-05,0.4445335021097009,7.659447077507802e-06,0.03,0.0
66,66,73,0.44349338254926174,3.6855339251431124e-06,0.0,3.547947060394094,0,0.03,0.0,-2.7671559156018308e-05,0.44349338254926174,3.6855339251431124e-06,0.03,0.0
67,67,74,0.4431884263909013,1.936195788636209e-06,0.0,3.5455074111272102,0,0.03,0.0,-8.739236979384001e-06,0.4431884263909013,1.936195788636209e-06,0.03,0.0
68,68,75,0.4434630027184518,1.9814569272105484e-06,0.0,3.5477040217476143,0,0.03,0.0,-2.7600274545857424e-06,0.4434630027184518,1.9814569272105484e-06,0.03,0.0
69,69,76,0.4431197080143576,1.3012048830338432e-06,0.0,3.544957664114861,0,0.03,0.0,-8.716723860491272e-07,0.4431197080143576,1.3012048830338432e-06,0.03,0.0
70,70,77,0.4430130629130822,1.260827137246939e-06,0.0,3.5441045033046574,0,0.03,0.0,-2.7529173571745614e-07,0.4430130629130822,1.260827137246939e-06,0.03,0.0
71,71,78,0.44282888987389135,2.038594263704703e-06,0.0,3.542631118991131,0,0.03,0.0,-8.694268737591271e-08,0.44282888987389135,2.038594263704703e-06,0.03,0.0
72,72,79,0.4431400406353748,2.5582830937470357e-06,0.0,3.5451203250829986,0,0.03,0.0,-2.7458255760434703e-08,0.4431400406353748,2.5582830937470357e-06,0.03,0.0
73,73,80,0.44299567576077664,2.7485503364533482e-06,0.0,3.543965406086213,0,0.03,0.0,-8.671871460502745e-09,0.44299567576077664,2.7485503364533482e-06,0.03,0.0
74,74,81,0.4429411834788739,2.9036483512380245e-06,0.0,3.543529467830991,0,0.03,0.0,-2.738752063677352e-09,0.4429411834788739,2.9036483512380245e-06,0.03,0.0
75,75,82,0.4428334383813789,2.543571080580926e-06,0.0,3.542667507051031,0,0.03,0.0,-8.649531878929251e-10,0.4428334383813789,2.543571080580926e-06,0.03,0.0
76,76,83,0.4424538012150907,2.2821746741474123e-06,0.0,3.5396304097207256,0,0.03,0.0,-2.731696778501824e-10,0.4424538012150907,2.2821746741474123e-06,0.03,0.0
77,77,84,0.44261515177857813,2.611288549458435e-06,0.0,3.540921214228625,0,0.03,0.0,-8.627249886705713e-11,0.44261515177857813,2.611288549458435e-06,0.03,0.0
78,78,85,0.4429139836904472,3.364269619052894e-06,0.0,3.5433118695235777,0,0.03,0.0,-2.7246596298602378e-11,0.4429139836904472,3.364269619052894e-06,0.03,0.0
79,79,86,0.4434107029648243,2.268811001546471e-06,0.0,3.5472856237185946,0,0.03,0.0,-8.605024678920437e-12,0.4434107029648243,2.268811001546471e-06,0.03,0.0
80,80,87,0.4435395740603405,2.8112350945218963e-06,0.0,3.548316592482724,0,0.03,0.0,-2.7176410427598443e-12,0.4435395740603405,2.8112350945218963e-06,0.03,0.0
81,81,88,0.44352204689841956,2.8732637492098717e-06,0.0,3.5481763751873565,0,0.03,0.0,-8.582860117067881e-13,0.44352204689841956,2.8732637492098717e-06,0.03,0.0
82,82,89,0.4436295171415653,2.4823816517280576e-06,0.0,3.5490361371325223,0,0.03,0.0,-2.7106407396448876e-13,0.4436295171415653,2.4823816517280576e-06,0.03,0.0
